t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
106,S,1,0,0,0.0,0.0,0,0,0,0,0,0.00
126,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
146,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
166,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
186,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
393,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
522,S,1,0,0,0.0,0.0,3,0,3,3,0,0.00
525,S,1,0,0,0.0,0.0,4,0,4,4,0,0.00
545,S,1,0,0,0.0,0.0,4,0,4,4,0,0.00
565,S,1,0,0,0.0,0.0,4,0,4,4,0,0.00
585,S,1,0,0,0.0,0.0,5,0,5,5,0,0.00
705,S,1,0,0,0.0,0.0,6,0,6,6,0,0.00
809,S,1,0,0,0.0,0.0,6,0,6,6,0,0.00
915,S,1,0,0,0.0,0.0,7,0,7,7,0,0.00
935,S,1,0,0,0.0,0.0,8,0,8,8,0,0.00
955,S,1,0,0,0.0,0.0,8,0,8,8,0,0.00
975,S,1,0,0,0.0,0.0,8,0,8,8,0,0.00
995,S,1,0,0,0.0,0.0,8,0,8,8,0,0.00
1130,S,1,0,0,0.0,0.0,9,0,9,9,0,0.00
1150,S,1,0,0,0.0,0.0,10,0,10,10,0,0.00
1170,S,1,0,0,0.0,0.0,10,0,10,10,0,0.00
1190,S,1,0,0,0.0,0.0,10,0,10,10,0,0.00
1402,S,1,0,0,0.0,0.0,10,0,10,10,0,0.00
1402,S,1,0,0,0.0,0.0,10,0,10,10,0,0.00
1515,S,1,0,0,0.0,0.0,10,0,10,10,0,0.00
1535,S,1,0,0,0.0,0.0,10,0,10,10,0,0.00
1555,S,1,0,0,0.0,0.0,10,0,10,10,0,0.00
1575,S,1,0,0,0.0,0.0,10,0,10,10,0,0.00
1595,S,1,0,0,0.0,0.0,10,0,10,10,0,0.00
1719,S,1,0,0,-0.0,-0.0,10,0,10,10,0,0.00
