HB:t=106,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
HB:t=126,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=146,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=166,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=186,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=393,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=522,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=525,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=545,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=565,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=585,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=5,hd=0,OL=5,OR=5
HB:t=705,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=6,hd=0,OL=6,OR=6
HB:t=809,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=6,hd=0,OL=6,OR=6
HB:t=915,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=7,hd=0,OL=7,OR=7
HB:t=935,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=8,hd=0,OL=8,OR=8
HB:t=955,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=8,hd=0,OL=8,OR=8
HB:t=975,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=8,hd=0,OL=8,OR=8
