t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
106,S,1,0,0,0.0,0.0,0,0,0,0,0,0.00
126,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
146,S,1,3,3,0.0,0.0,0,0,0,0,0,0.00
166,S,1,0,2,0.0,0.0,0,0,0,0,0,0.00
186,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
317,S,1,0,1,0.0,0.0,1,0,1,1,0,0.00
337,S,1,1,1,0.0,0.0,1,0,1,1,0,0.00
357,S,1,1,1,0.0,0.0,0,0,0,0,0,0.00
377,S,1,1,1,0.0,0.0,1,0,1,1,0,0.00
397,S,1,2,1,0.0,0.0,0,0,0,0,0,0.00
593,S,1,0,0,-0.0,-0.0,1,0,1,1,0,0.00
593,S,1,23,22,-0.0,-0.0,0,0,0,0,0,0.00
706,S,1,7,4,-0.0,-0.0,0,0,0,0,0,0.00
726,S,1,0,0,-0.0,-0.0,1,0,1,1,0,0.00
746,S,1,3,4,-0.0,-0.0,0,0,0,0,0,0.00
766,S,1,1,1,-0.0,-0.0,0,0,0,0,0,0.00
786,S,1,0,0,-0.0,-0.0,1,0,1,1,0,0.00
910,S,1,1,1,0.0,0.1,1,0,1,1,0,0.00
930,S,1,3,2,0.0,0.1,0,0,0,0,0,0.00
950,S,1,0,1,0.0,0.1,0,0,0,0,0,0.00
970,S,1,0,0,0.0,0.1,1,0,1,1,0,0.00
990,S,1,2,1,0.0,0.1,1,0,1,1,0,0.00
1196,S,1,1,1,0.1,0.1,1,0,1,1,0,0.00
1326,S,1,37,36,0.2,0.3,0,0,0,0,0,0.00
1329,S,1,1,0,0.2,0.3,0,0,0,0,0,0.00
1349,S,1,1,1,0.2,0.3,0,0,0,0,0,0.00
1369,S,1,2,0,0.2,0.3,0,0,0,0,0,0.00
1389,S,1,1,0,0.2,0.3,1,0,1,1,0,0.00
1510,S,1,43,43,0.2,0.3,0,0,0,0,0,0.00
1613,S,1,12,9,0.3,0.3,0,0,0,0,0,0.00
