t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,0,0,0,0,0,0.00
107,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
126,S,1,2,2,0.0,0.0,1,0,1,1,0,0.00
146,S,1,3,4,0.0,0.0,1,0,1,1,0,0.00
166,S,1,2,2,0.0,0.0,1,0,1,1,0,0.00
186,S,1,4,3,0.0,0.0,2,0,2,2,0,0.00
393,S,1,112,101,0.0,0.0,1,0,1,1,0,0.00
600,S,1,89,80,1.2,1.9,1,0,1,1,0,0.00
600,S,1,78,69,1.2,1.9,1,-2,0,3,0,0.00
707,S,1,37,69,1.2,1.9,2,0,2,2,0,0.00
727,S,1,3,6,1.2,1.9,3,0,3,3,0,0.00
747,S,1,6,5,1.2,1.9,4,0,4,4,0,0.00
767,S,1,5,5,1.2,1.9,5,0,5,5,0,0.00
787,S,1,5,5,1.2,1.9,5,0,5,5,0,0.00
917,S,1,76,85,1.5,1.8,5,0,5,5,0,0.00
937,S,1,7,6,1.5,1.8,6,0,6,6,0,0.00
957,S,1,7,7,1.5,1.8,6,0,6,6,0,0.00
977,S,1,6,8,1.5,1.8,6,0,6,6,0,0.00
997,S,1,7,8,1.5,1.8,7,0,7,7,0,0.00
1193,S,1,78,88,-0.5,-1.2,7,0,7,7,0,0.00
1193,S,1,61,69,-0.5,-1.2,7,3,10,4,0,0.00
1306,S,1,89,89,-0.5,-1.2,6,0,6,6,0,0.00
1326,S,1,8,8,-0.5,-1.2,7,0,7,7,0,0.00
1346,S,1,8,8,-0.5,-1.2,7,0,7,7,0,0.00
1366,S,1,8,9,-0.5,-1.2,7,0,7,7,0,0.00
1386,S,1,8,8,-0.5,-1.2,7,0,7,7,0,0.00
1409,S,1,13,13,-2.2,-3.8,8,8,16,0,0,0.00
1515,S,1,109,30,-2.2,-3.8,7,0,7,7,0,0.00
1535,S,1,9,3,-2.2,-3.8,8,0,8,8,0,0.00
1555,S,1,9,6,-2.2,-3.8,8,0,8,8,0,0.00
1575,S,1,9,4,-2.2,-3.8,8,0,8,8,0,0.00
1595,S,1,8,4,-2.2,-3.8,8,0,8,8,0,0.00
1767,S,1,133,76,-2.4,-2.8,7,0,7,7,0,0.00
1787,S,1,8,5,-2.4,-2.8,7,0,7,7,0,0.00
1807,S,1,8,5,-2.4,-2.8,8,0,8,8,0,0.00
1949,S,1,99,63,-2.7,-2.3,7,0,7,7,0,0.00
1950,S,1,31,20,-2.7,-2.3,7,1,8,6,0,0.00
1970,S,1,9,5,-2.7,-2.3,8,0,8,8,0,0.00
1990,S,1,9,6,-2.7,-2.3,8,0,8,8,0,0.00
2115,S,1,104,68,-2.7,-2.3,7,0,7,7,0,0.00
2134,S,1,9,7,-2.7,-2.3,7,0,7,7,0,0.00
2236,S,1,87,58,10.9,22.4,7,-20,0,27,0,0.00
2342,S,1,45,178,10.9,22.4,6,-2,4,8,0,0.00
2362,S,1,5,15,10.9,22.4,6,-2,4,8,0,0.00
2382,S,1,7,13,10.9,22.4,7,-2,5,9,0,0.00
2402,S,1,6,14,10.9,22.4,7,-2,5,9,0,0.00
2422,S,1,6,13,10.9,22.4,7,-2,5,9,0,0.00
2557,S,1,82,145,15.9,23.3,6,-11,0,17,0,0.00
2577,S,1,6,12,15.9,23.3,7,-3,4,10,0,0.00
2597,S,1,7,12,15.9,23.3,7,-3,4,10,0,0.00
2617,S,1,6,10,15.9,23.3,7,-3,4,10,0,0.00
2828,S,1,72,117,6.2,3.4,6,-3,3,9,0,0.00
2828,S,1,57,87,6.2,3.4,6,14,20,0,0,0.00
2941,S,1,67,92,6.2,3.4,6,-1,5,7,0,0.00
2961,S,1,6,9,6.2,3.4,7,-1,6,8,0,0.00
2981,S,1,6,8,6.2,3.4,8,-1,7,9,0,0.00
3001,S,1,6,8,6.2,3.4,8,-1,7,9,0,0.00
3021,S,1,6,8,6.2,3.4,8,-1,7,9,0,0.00
3145,S,1,172,39,-2.9,-13.7,7,0,7,7,0,0.00
3165,S,1,15,5,-2.9,-13.7,7,0,7,7,0,0.00
3185,S,1,13,7,-2.9,-13.7,7,0,7,7,0,0.00
3205,S,1,13,7,-2.9,-13.7,7,0,7,7,0,0.00
3225,S,1,13,7,-2.9,-13.7,7,0,7,7,0,0.00
3432,S,1,212,132,-6.7,-15.6,5,7,12,0,0,0.00
3556,S,1,124,23,4.5,7.7,5,1,6,4,0,0.00
3564,S,1,4,2,4.5,7.7,7,-1,6,8,0,0.00
3584,S,1,9,7,4.5,7.7,7,-1,6,8,0,0.00
3604,S,1,9,4,4.5,7.7,7,-1,6,8,0,0.00
3624,S,1,10,6,4.5,7.7,7,-1,6,8,0,0.00
3745,S,1,102,64,4.5,7.7,7,-1,6,8,0,0.00
3818,S,1,60,40,4.9,5.9,7,-1,6,8,0,0.00
3838,S,1,9,6,4.9,5.9,7,-1,6,8,0,0.00
3945,S,1,99,70,4.9,5.9,7,-1,6,8,0,0.00
3965,S,1,8,6,4.9,5.9,7,-1,6,8,0,0.00
3985,S,1,9,6,4.9,5.9,7,-1,6,8,0,0.00
4005,S,1,8,6,4.9,5.9,8,-1,7,9,0,0.00
4121,S,1,93,71,22.4,34.4,7,-20,0,27,0,0.00
4227,S,1,46,181,22.4,34.4,6,-5,1,11,0,0.00
4247,S,1,4,17,22.4,34.4,6,-5,1,11,0,0.00
4267,S,1,6,15,22.4,34.4,6,-5,1,11,0,0.00
4287,S,1,7,15,22.4,34.4,6,-5,1,11,0,0.00
4307,S,1,6,15,22.4,34.4,7,-5,2,12,0,0.00
4438,S,1,91,177,23.2,23.7,5,-7,0,12,0,0.00
4458,S,1,7,14,23.2,23.7,6,-5,1,11,0,0.00
4478,S,1,8,14,23.2,23.7,6,-5,1,11,0,0.00
4498,S,1,7,13,23.2,23.7,7,-5,2,12,0,0.00
4518,S,1,7,14,23.2,23.7,7,-5,2,12,0,0.00
4684,S,1,86,166,23.5,15.7,5,-5,0,10,0,0.00
4684,S,1,22,77,23.5,15.7,6,-6,0,12,0,0.00
4704,S,1,4,13,23.5,15.7,7,-5,2,12,0,0.00
4827,S,1,71,149,23.5,15.7,6,-5,1,11,0,0.00
4846,S,1,7,13,23.5,15.7,6,-5,1,11,0,0.00
4866,S,1,7,13,23.5,15.7,7,-5,2,12,0,0.00
4992,S,1,74,153,-12.5,-52.8,6,20,26,0,0,0.00
5099,S,1,182,66,-12.5,-52.8,5,3,8,2,0,0.00
5119,S,1,17,4,-12.5,-52.8,6,3,9,3,0,0.00
5139,S,1,14,7,-12.5,-52.8,7,3,10,4,0,0.00
5159,S,1,13,7,-12.5,-52.8,7,3,10,4,0,0.00
5179,S,1,13,5,-12.5,-52.8,7,3,10,4,0,0.00
5310,S,1,141,81,-15.3,-39.1,6,8,14,0,0,0.00
5330,S,1,11,7,-15.3,-39.1,7,3,10,4,0,0.00
5350,S,1,11,7,-15.3,-39.1,7,3,10,4,0,0.00
5370,S,1,10,7,-15.3,-39.1,7,3,10,4,0,0.00
5390,S,1,10,7,-15.3,-39.1,7,3,10,4,0,0.00
5584,S,1,124,75,-7.4,-16.0,6,3,9,3,0,0.00
5584,S,1,100,65,-7.4,-16.0,6,-10,0,16,0,0.00
5698,S,1,108,78,-7.4,-16.0,6,1,7,5,0,0.00
5718,S,1,10,7,-7.4,-16.0,7,1,8,6,0,0.00
5738,S,1,10,7,-7.4,-16.0,7,1,8,6,0,0.00
5758,S,1,11,7,-7.4,-16.0,7,1,8,6,0,0.00
5778,S,1,10,7,-7.4,-16.0,7,1,8,6,0,0.00
5800,S,1,18,12,1.4,5.0,7,-20,0,27,0,0.00
