HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
HB:t=107,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=127,m=S,run=1,el=2,er=2,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=147,m=S,run=1,el=2,er=4,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=167,m=S,run=1,el=2,er=3,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=187,m=S,run=1,el=2,er=3,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=363,m=S,run=1,el=74,er=68,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=383,m=S,run=1,el=6,er=5,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=535,m=S,run=1,el=67,er=61,yaw=-0.0,yr=-0.0,pc=2,hd=0,OL=2,OR=2
HB:t=535,m=S,run=1,el=21,er=20,yaw=-0.0,yr=-0.0,pc=3,hd=0,OL=3,OR=3
HB:t=555,m=S,run=1,el=8,er=6,yaw=-0.0,yr=-0.0,pc=3,hd=0,OL=3,OR=3
HB:t=575,m=S,run=1,el=8,er=7,yaw=-0.0,yr=-0.0,pc=3,hd=0,OL=3,OR=3
HB:t=595,m=S,run=1,el=8,er=7,yaw=-0.0,yr=-0.0,pc=4,hd=0,OL=4,OR=4
HB:t=706,m=S,run=1,el=82,er=74,yaw=-0.0,yr=-0.0,pc=4,hd=0,OL=4,OR=4
HB:t=726,m=S,run=1,el=7,er=7,yaw=-0.0,yr=-0.0,pc=5,hd=0,OL=5,OR=5
HB:t=822,m=S,run=1,el=76,er=70,yaw=0.8,yr=1.4,pc=5,hd=-1,OL=4,OR=6
HB:t=928,m=S,run=1,el=86,er=83,yaw=0.8,yr=1.4,pc=5,hd=-1,OL=4,OR=6
HB:t=948,m=S,run=1,el=8,er=8,yaw=0.8,yr=1.4,pc=6,hd=-1,OL=5,OR=7
HB:t=968,m=S,run=1,el=9,er=8,yaw=0.8,yr=1.4,pc=7,hd=-1,OL=6,OR=8
HB:t=988,m=S,run=1,el=7,er=7,yaw=0.8,yr=1.4,pc=7,hd=-1,OL=6,OR=8
HB:t=1008,m=S,run=1,el=8,er=8,yaw=0.8,yr=1.4,pc=8,hd=-1,OL=7,OR=9
HB:t=1196,m=S,run=1,el=147,er=141,yaw=1.6,yr=2.4,pc=6,hd=-2,OL=4,OR=8
HB:t=1216,m=S,run=1,el=8,er=8,yaw=1.6,yr=2.4,pc=7,hd=-2,OL=5,OR=9
HB:t=1415,m=S,run=1,el=93,er=89,yaw=2.2,yr=2.4,pc=6,hd=-2,OL=4,OR=8
HB:t=1415,m=S,run=1,el=70,er=67,yaw=2.2,yr=2.4,pc=6,hd=-3,OL=3,OR=9
HB:t=1528,m=S,run=1,el=81,er=87,yaw=2.2,yr=2.4,pc=6,hd=-3,OL=3,OR=9
HB:t=1548,m=S,run=1,el=8,er=8,yaw=2.2,yr=2.4,pc=7,hd=-3,OL=4,OR=10
HB:t=1568,m=S,run=1,el=8,er=8,yaw=2.2,yr=2.4,pc=7,hd=-3,OL=4,OR=10
HB:t=1588,m=S,run=1,el=8,er=8,yaw=2.2,yr=2.4,pc=7,hd=-3,OL=4,OR=10
