HB:t=26522,m=S,run=0,el=0,er=0,yaw=-162.4,yr=-16.7,pc=0,hd=0,dp=0,OL=0,OR=0,hi=0.00
HB:t=0,m=T,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=139,hd=0,OL=-60,OR=200,sb=0,lp=0.00
HB:t=134,m=T,run=1,el=139,er=25,yaw=1.6,yr=0.0,pc=69,hd=48,OL=117,OR=21,sb=96,lp=187.00
HB:t=134,m=T,run=1,el=139,er=25,yaw=1.6,yr=0.0,pc=69,hd=48,OL=117,OR=21,sb=96,lp=187.00
HB:t=208,m=T,run=1,el=120,er=29,yaw=5.2,yr=25.2,pc=108,hd=26,OL=134,OR=82,sb=32,lp=168.00
HB:t=209,m=T,run=1,el=120,er=29,yaw=5.2,yr=25.2,pc=108,hd=26,OL=134,OR=82,sb=32,lp=168.00
HB:t=258,m=T,run=1,el=64,er=28,yaw=8.8,yr=46.9,pc=118,hd=18,OL=136,OR=100,sb=32,lp=150.00
HB:t=332,m=T,run=1,el=113,er=62,yaw=12.4,yr=65.5,pc=89,hd=25,OL=114,OR=64,sb=32,lp=150.00
HB:t=332,m=T,run=1,el=113,er=62,yaw=12.4,yr=65.5,pc=89,hd=25,OL=114,OR=64,sb=32,lp=150.00
HB:t=383,m=T,run=1,el=75,er=46,yaw=16.0,yr=81.5,pc=124,hd=26,OL=150,OR=98,sb=32,lp=150.00
HB:t=383,m=T,run=1,el=75,er=46,yaw=16.0,yr=81.5,pc=124,hd=26,OL=150,OR=98,sb=32,lp=150.00
HB:t=458,m=T,run=1,el=130,er=83,yaw=19.6,yr=95.3,pc=117,hd=26,OL=143,OR=91,sb=32,lp=150.00
HB:t=458,m=T,run=1,el=130,er=83,yaw=19.6,yr=95.3,pc=117,hd=26,OL=143,OR=91,sb=32,lp=150.00
HB:t=516,m=T,run=1,el=88,er=58,yaw=23.2,yr=107.2,pc=102,hd=26,OL=128,OR=76,sb=32,lp=150.00
HB:t=590,m=T,run=1,el=119,er=76,yaw=26.8,yr=117.4,pc=75,hd=26,OL=101,OR=49,sb=32,lp=150.00
HB:t=590,m=T,run=1,el=119,er=76,yaw=26.8,yr=117.4,pc=75,hd=26,OL=101,OR=49,sb=32,lp=150.00
HB:t=625,m=T,run=1,el=43,er=25,yaw=30.4,yr=126.1,pc=123,hd=-2,OL=121,OR=125,sb=48,lp=120.00
HB:t=630,m=T,run=1,el=43,er=25,yaw=30.4,yr=126.1,pc=123,hd=-2,OL=121,OR=125,sb=48,lp=120.00
HB:t=699,m=T,run=1,el=107,er=79,yaw=34.0,yr=133.7,pc=85,hd=-23,OL=62,OR=108,sb=16,lp=71.00
HB:t=774,m=T,run=1,el=105,er=90,yaw=37.6,yr=140.2,pc=68,hd=-6,OL=62,OR=74,sb=16,lp=51.00
HB:t=774,m=T,run=1,el=105,er=90,yaw=37.6,yr=140.2,pc=68,hd=-6,OL=62,OR=74,sb=16,lp=51.00
HB:t=848,m=T,run=1,el=112,er=95,yaw=39.5,yr=133.8,pc=105,hd=5,OL=110,OR=100,sb=16,lp=50.00
HB:t=849,m=T,run=1,el=112,er=95,yaw=39.5,yr=133.8,pc=105,hd=5,OL=110,OR=100,sb=16,lp=50.00
