HB:t=0,m=T,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=139,hd=0,OL=0,OR=0,sb=0,lp=0.00
HB:t=125,m=T,run=1,el=84,er=59,yaw=0.2,yr=0.0,pc=78,hd=25,OL=103,OR=53,sb=16,lp=46.00
HB:t=125,m=T,run=1,el=84,er=59,yaw=0.2,yr=0.0,pc=78,hd=25,OL=103,OR=53,sb=16,lp=46.00
HB:t=199,m=T,run=1,el=60,er=66,yaw=0.2,yr=-0.0,pc=108,hd=13,OL=121,OR=95,sb=16,lp=49.00
HB:t=200,m=T,run=1,el=60,er=66,yaw=0.2,yr=-0.0,pc=108,hd=13,OL=121,OR=95,sb=16,lp=49.00
HB:t=273,m=T,run=1,el=60,er=71,yaw=-0.8,yr=-6.7,pc=100,hd=-19,OL=81,OR=119,sb=24,lp=19.00
HB:t=348,m=T,run=1,el=75,er=89,yaw=-2.0,yr=-13.9,pc=104,hd=19,OL=123,OR=85,sb=16,lp=42.00
HB:t=348,m=T,run=1,el=75,er=89,yaw=-2.0,yr=-13.9,pc=104,hd=19,OL=123,OR=85,sb=16,lp=42.00
HB:t=377,m=T,run=1,el=29,er=29,yaw=-2.0,yr=-12.0,pc=144,hd=16,OL=160,OR=128,sb=16,lp=48.00
HB:t=417,m=T,run=1,el=41,er=48,yaw=-2.7,yr=-15.3,pc=154,hd=12,OL=166,OR=142,sb=16,lp=49.00
HB:t=417,m=T,run=1,el=0,er=1,yaw=-2.7,yr=-15.3,pc=169,hd=10,OL=179,OR=159,sb=16,lp=49.00
HB:t=498,m=T,run=1,el=119,er=131,yaw=-4.0,yr=-22.2,pc=119,hd=9,OL=128,OR=110,sb=16,lp=49.00
HB:t=557,m=T,run=1,el=74,er=73,yaw=-4.3,yr=-21.6,pc=102,hd=8,OL=110,OR=94,sb=16,lp=49.00
HB:t=557,m=T,run=1,el=74,er=73,yaw=-4.3,yr=-21.6,pc=102,hd=8,OL=110,OR=94,sb=16,lp=49.00
HB:t=631,m=T,run=1,el=99,er=95,yaw=-4.5,yr=-20.0,pc=75,hd=8,OL=83,OR=67,sb=16,lp=49.00
HB:t=632,m=T,run=1,el=99,er=95,yaw=-4.5,yr=-20.0,pc=75,hd=8,OL=83,OR=67,sb=16,lp=49.00
HB:t=666,m=T,run=1,el=33,er=31,yaw=-4.5,yr=-17.1,pc=124,hd=8,OL=132,OR=116,sb=16,lp=49.00
HB:t=740,m=T,run=1,el=109,er=110,yaw=-4.2,yr=-12.8,pc=116,hd=8,OL=124,OR=108,sb=16,lp=49.00
HB:t=740,m=T,run=1,el=109,er=110,yaw=-4.2,yr=-12.8,pc=116,hd=8,OL=124,OR=108,sb=16,lp=49.00
HB:t=814,m=T,run=1,el=107,er=100,yaw=-3.9,yr=-8.8,pc=74,hd=8,OL=82,OR=66,sb=16,lp=49.00
HB:t=815,m=T,run=1,el=107,er=100,yaw=-3.9,yr=-8.8,pc=74,hd=8,OL=82,OR=66,sb=16,lp=49.00
HB:t=888,m=T,run=1,el=110,er=101,yaw=-3.5,yr=-4.3,pc=93,hd=8,OL=101,OR=85,sb=16,lp=49.00
HB:t=938,m=T,run=1,el=54,er=49,yaw=-3.2,yr=-2.0,pc=114,hd=8,OL=122,OR=106,sb=16,lp=49.00
HB:t=939,m=T,run=1,el=54,er=49,yaw=-3.2,yr=-2.0,pc=114,hd=8,OL=122,OR=106,sb=16,lp=49.00
