HB:t=0,m=T,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=137,hd=0,OL=0,OR=0,sb=0,lp=0.00
HB:t=110,m=T,run=1,el=60,er=40,yaw=0.0,yr=0.0,pc=96,hd=25,OL=121,OR=71,sb=16,lp=46.00
HB:t=110,m=T,run=1,el=60,er=40,yaw=0.0,yr=0.0,pc=96,hd=25,OL=121,OR=71,sb=16,lp=46.00
HB:t=201,m=T,run=1,el=83,er=70,yaw=1.3,yr=9.2,pc=107,hd=16,OL=123,OR=91,sb=16,lp=49.00
HB:t=201,m=T,run=1,el=83,er=70,yaw=1.3,yr=9.2,pc=107,hd=16,OL=123,OR=91,sb=16,lp=49.00
HB:t=260,m=T,run=1,el=50,er=47,yaw=1.7,yr=10.5,pc=115,hd=10,OL=125,OR=105,sb=0,lp=49.00
HB:t=260,m=T,run=1,el=50,er=47,yaw=1.7,yr=10.5,pc=115,hd=10,OL=125,OR=105,sb=0,lp=49.00
HB:t=295,m=T,run=1,el=19,er=20,yaw=1.8,yr=9.5,pc=149,hd=9,OL=158,OR=140,sb=0,lp=49.00
HB:t=300,m=T,run=1,el=7,er=6,yaw=1.8,yr=9.5,pc=165,hd=9,OL=174,OR=156,sb=0,lp=49.00
HB:t=378,m=T,run=1,el=109,er=107,yaw=1.4,yr=6.0,pc=100,hd=8,OL=108,OR=92,sb=0,lp=49.00
HB:t=452,m=T,run=1,el=111,er=106,yaw=1.7,yr=7.1,pc=103,hd=8,OL=111,OR=95,sb=0,lp=49.00
HB:t=453,m=T,run=1,el=111,er=106,yaw=1.7,yr=7.1,pc=103,hd=8,OL=111,OR=95,sb=0,lp=49.00
HB:t=502,m=T,run=1,el=58,er=52,yaw=2.0,yr=7.9,pc=113,hd=8,OL=121,OR=105,sb=0,lp=49.00
HB:t=538,m=T,run=1,el=32,er=30,yaw=2.1,yr=7.8,pc=139,hd=-97,OL=42,OR=236,sb=4,lp=-70.00
HB:t=542,m=T,run=1,el=4,er=3,yaw=2.1,yr=7.8,pc=158,hd=-110,OL=48,OR=268,sb=4,lp=-118.00
HB:t=620,m=T,run=1,el=92,er=151,yaw=2.0,yr=5.8,pc=97,hd=-67,OL=30,OR=164,sb=0,lp=-137.00
HB:t=655,m=T,run=1,el=18,er=34,yaw=1.0,yr=-1.8,pc=138,hd=-34,OL=104,OR=172,sb=0,lp=-137.00
HB:t=660,m=T,run=1,el=6,er=10,yaw=1.0,yr=-1.8,pc=156,hd=-30,OL=126,OR=186,sb=0,lp=-137.00
HB:t=738,m=T,run=1,el=91,er=149,yaw=-2.6,yr=-26.7,pc=84,hd=58,OL=142,OR=26,sb=16,lp=-24.00
HB:t=812,m=T,run=1,el=111,er=99,yaw=-6.2,yr=-48.2,pc=98,hd=54,OL=152,OR=44,sb=16,lp=45.00
HB:t=813,m=T,run=1,el=111,er=99,yaw=-6.2,yr=-48.2,pc=98,hd=54,OL=152,OR=44,sb=16,lp=45.00
