HB:t=0,m=T,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0,sb=0,lp=0.00
HB:t=35,m=T,run=1,el=5,er=4,yaw=0.0,yr=0.0,pc=117,hd=31,OL=148,OR=86,sb=16,lp=42.00
HB:t=40,m=T,run=1,el=5,er=4,yaw=0.0,yr=0.0,pc=117,hd=31,OL=148,OR=86,sb=16,lp=42.00
HB:t=117,m=T,run=1,el=47,er=24,yaw=0.6,yr=4.5,pc=93,hd=16,OL=109,OR=77,sb=16,lp=49.00
HB:t=176,m=T,run=1,el=46,er=23,yaw=2.3,yr=15.2,pc=104,hd=10,OL=114,OR=94,sb=16,lp=49.00
HB:t=176,m=T,run=1,el=46,er=23,yaw=2.3,yr=15.2,pc=104,hd=10,OL=114,OR=94,sb=16,lp=49.00
HB:t=249,m=T,run=1,el=69,er=41,yaw=4.9,yr=31.3,pc=89,hd=9,OL=98,OR=80,sb=16,lp=49.00
HB:t=250,m=T,run=1,el=69,er=41,yaw=4.9,yr=31.3,pc=89,hd=9,OL=98,OR=80,sb=16,lp=49.00
HB:t=299,m=T,run=1,el=47,er=37,yaw=5.8,yr=33.5,pc=117,hd=8,OL=125,OR=109,sb=0,lp=49.00
HB:t=373,m=T,run=1,el=79,er=81,yaw=6.4,yr=33.2,pc=113,hd=8,OL=121,OR=105,sb=0,lp=49.00
HB:t=373,m=T,run=1,el=79,er=81,yaw=6.4,yr=33.2,pc=113,hd=8,OL=121,OR=105,sb=0,lp=49.00
HB:t=447,m=T,run=1,el=83,er=92,yaw=5.9,yr=25.1,pc=89,hd=-62,OL=27,OR=151,sb=4,lp=-70.00
HB:t=448,m=T,run=1,el=83,er=92,yaw=5.9,yr=25.1,pc=89,hd=-62,OL=27,OR=151,sb=4,lp=-70.00
HB:t=512,m=T,run=1,el=57,er=108,yaw=5.1,yr=16.0,pc=88,hd=-61,OL=27,OR=149,sb=0,lp=-137.00
HB:t=587,m=T,run=1,el=64,er=136,yaw=1.5,yr=-11.4,pc=105,hd=70,OL=175,OR=35,sb=16,lp=-24.00
HB:t=587,m=T,run=1,el=64,er=136,yaw=1.5,yr=-11.4,pc=105,hd=70,OL=175,OR=35,sb=16,lp=-24.00
HB:t=616,m=T,run=1,el=25,er=21,yaw=-0.1,yr=-21.5,pc=144,hd=51,OL=195,OR=93,sb=16,lp=45.00
HB:t=655,m=T,run=1,el=36,er=42,yaw=-2.9,yr=-37.6,pc=142,hd=19,OL=161,OR=123,sb=16,lp=49.00
HB:t=656,m=T,run=1,el=36,er=42,yaw=-2.9,yr=-37.6,pc=142,hd=19,OL=161,OR=123,sb=16,lp=49.00
HB:t=737,m=T,run=1,el=111,er=122,yaw=-4.4,yr=-43.3,pc=70,hd=11,OL=81,OR=59,sb=16,lp=49.00
HB:t=796,m=T,run=1,el=74,er=72,yaw=-4.8,yr=-39.9,pc=96,hd=9,OL=105,OR=87,sb=16,lp=49.00
HB:t=796,m=T,run=1,el=74,er=72,yaw=-4.8,yr=-39.9,pc=96,hd=9,OL=105,OR=87,sb=16,lp=49.00
HB:t=855,m=T,run=1,el=72,er=75,yaw=-5.2,yr=-37.1,pc=95,hd=8,OL=103,OR=87,sb=16,lp=49.00
HB:t=855,m=T,run=1,el=72,er=75,yaw=-5.2,yr=-37.1,pc=95,hd=8,OL=103,OR=87,sb=16,lp=49.00
HB:t=929,m=T,run=1,el=95,er=97,yaw=-5.2,yr=-32.3,pc=74,hd=8,OL=82,OR=66,sb=16,lp=49.00
HB:t=929,m=T,run=1,el=95,er=97,yaw=-5.2,yr=-32.3,pc=74,hd=8,OL=82,OR=66,sb=16,lp=49.00
HB:t=979,m=T,run=1,el=63,er=60,yaw=-5.3,yr=-28.1,pc=114,hd=8,OL=122,OR=106,sb=16,lp=49.00
HB:t=980,m=T,run=1,el=63,er=60,yaw=-5.3,yr=-28.1,pc=114,hd=8,OL=122,OR=106,sb=16,lp=49.00
HB:t=1054,m=T,run=1,el=107,er=109,yaw=-5.2,yr=-23.6,pc=97,hd=8,OL=105,OR=89,sb=16,lp=49.00
HB:t=1127,m=T,run=1,el=100,er=96,yaw=-5.1,yr=-19.1,pc=71,hd=8,OL=79,OR=63,sb=16,lp=49.00
HB:t=1128,m=T,run=1,el=100,er=96,yaw=-5.1,yr=-19.1,pc=71,hd=8,OL=79,OR=63,sb=16,lp=49.00
HB:t=1192,m=T,run=1,el=95,er=70,yaw=-4.8,yr=-14.5,pc=89,hd=35,OL=124,OR=54,sb=48,lp=96.00
HB:t=1266,m=T,run=1,el=115,er=85,yaw=-2.9,yr=0.4,pc=101,hd=-3,OL=98,OR=104,sb=16,lp=69.00
