OL,OR,dp,el,er,hd,hi,m,pc,run,t,yaw,yr
0,0,0,0,0,0,0.00,S,0,0,6975,0.0,0.0
0,0,0,0,0,0,0.00,S,0,1,0,0.0,0.0
108,108,0,0,0,0,0.00,S,108,1,221,-0.0,0.0
108,108,0,0,0,0,0.00,S,108,1,221,-0.0,0.0
114,114,0,62,61,0,0.00,S,114,1,343,-0.0,0.0
120,120,0,2,2,0,0.00,S,120,1,348,-0.0,0.0
77,83,-2,129,128,-3,-0.00,S,39,1,477,0.2,0.5
76,84,-3,210,210,-4,-0.01,S,45,1,689,0.1,1.0
76,84,-3,210,210,-4,-0.01,S,45,1,690,0.1,1.0
78,82,-1,163,165,-2,-0.02,S,52,1,902,0.1,0.4
78,82,-1,163,165,-2,-0.02,S,52,1,902,0.1,0.4
77,83,-3,156,155,-3,-0.04,S,58,1,1114,0.2,0.8
77,83,-3,156,155,-3,-0.04,S,58,1,1114,0.2,0.8
79,81,0,176,176,-1,-0.05,S,60,1,1335,0.2,0.1
79,81,0,176,176,-1,-0.05,S,60,1,1336,0.2,0.1
81,79,2,181,179,1,-0.07,S,60,1,1557,0.1,-0.6
81,79,2,181,179,1,-0.07,S,60,1,1557,0.1,-0.6
79,81,0,107,106,-1,-0.08,S,70,1,1688,0.1,0.1
79,81,0,107,106,-1,-0.08,S,70,1,1688,0.1,0.1
-82,-78,0,105,104,-2,-0.09,S,-17,1,1820,0.3,-0.0
,,,105,,,,S,,1,1821,,
82,78,3,-42,-45,2,-0.10,S,33,1,2033,0.1,-0.8
82,78,3,-42,-45,2,-0.10,S,33,1,2033,0.1,-0.8
80,80,2,66,66,0,-0.15,S,55,1,2255,0.5,-0.7
80,80,2,0,1,0,-0.20,S,79,1,2255,0.5,-0.7
77,83,0,156,152,-3,-0.26,S,77,1,2476,0.6,0.1
77,83,0,156,152,-3,-0.26,S,77,1,2476,0.6,0.1
79,85,0,93,95,-3,-0.32,S,82,1,2608,0.6,-0.1
79,85,0,93,95,-3,-0.32,S,82,1,2608,0.6,-0.1
-87,-73,-4,98,98,-7,-0.38,S,-5,1,2740,0.6,1.1
80,80,2,-46,-43,0,-0.41,S,42,1,2952,0.4,-0.7
80,80,2,-46,-43,0,-0.41,S,42,1,2952,0.4,-0.7
82,78,4,56,56,2,-0.45,S,62,1,3174,0.3,-1.2
82,78,4,56,56,2,-0.45,S,62,1,3174,0.3,-1.2
82,78,4,136,136,2,-0.47,S,67,1,3395,0.2,-1.2
82,78,4,136,136,2,-0.47,S,67,1,3395,0.2,-1.2
85,75,6,162,165,5,-0.46,S,67,1,3616,-0.1,-1.8
85,75,6,162,165,5,-0.46,S,67,1,3616,-0.1,-1.8
84,76,4,96,84,4,-0.45,S,76,1,3747,-0.1,-1.4
84,76,4,96,84,4,-0.45,S,76,1,3748,-0.1,-1.4
-86,-74,-2,105,104,-6,-0.44,S,-16,1,3880,0.6,0.7
82,78,5,-49,-42,2,-0.50,S,34,1,4091,0.5,-1.4
82,78,5,-49,-42,2,-0.50,S,34,1,4092,0.5,-1.4
81,79,3,64,60,1,-0.54,S,56,1,4313,0.5,-1.1
81,79,3,64,60,1,-0.54,S,56,1,4313,0.5,-1.1
78,82,2,150,144,-2,-0.61,S,61,1,4534,0.7,-0.7
81,85,2,0,0,-2,-0.68,S,83,1,4535,0.7,-0.7
76,84,1,166,166,-4,-0.76,S,77,1,4755,0.8,-0.3
76,84,1,166,166,-4,-0.76,S,77,1,4756,0.8,-0.3
76,84,0,155,159,-4,-0.84,S,75,1,4976,0.7,-0.1
76,84,0,155,159,-4,-0.84,S,75,1,4976,0.7,-0.1
79,83,2,88,87,-2,-0.91,S,81,1,5107,0.7,-0.6
79,83,2,88,87,-2,-0.91,S,81,1,5108,0.7,-0.6
78,82,2,92,90,-2,-0.98,S,2,1,5239,0.8,-0.7
76,84,1,172,172,-4,-1.06,S,20,1,5451,0.9,-0.3
76,84,1,172,172,-4,-1.06,S,20,1,5452,0.9,-0.3
76,84,1,169,169,-4,-1.14,S,33,1,5673,0.8,-0.4
76,84,1,169,169,-4,-1.14,S,33,1,5673,0.8,-0.4
74,86,-1,166,165,-6,-1.22,S,43,1,5894,0.8,0.3
74,86,-1,0,0,-6,-1.30,S,69,1,5895,0.8,0.3
74,86,0,95,96,-6,-1.38,S,76,1,6026,0.8,0.1
74,86,0,95,96,-6,-1.38,S,76,1,6026,0.8,0.1
-86,-74,-1,95,96,-6,-1.45,S,-6,1,6158,0.8,0.4
-86,-74,-1,95,96,-6,-1.45,S,-6,1,6159,0.8,0.4
73,87,-2,-6,-5,-7,-1.53,S,36,1,6281,0.8,0.6
73,87,-2,-2,-1,-7,-1.56,S,65,1,6286,0.8,0.6
77,83,1,27,35,-3,-1.58,S,72,1,6415,0.4,-0.2
83,77,5,111,116,3,-1.59,S,76,1,6627,0.0,-1.5
83,77,5,111,116,3,-1.59,S,76,1,6627,0.0,-1.5
88,80,6,74,75,4,-1.58,S,84,1,6749,-0.0,-1.8
88,80,6,74,75,4,-1.58,S,84,1,6754,-0.0,-1.8
83,77,4,82,84,3,-1.58,S,12,1,6873,-0.3,-1.1
84,76,4,96,97,4,-1.55,S,36,1,6996,-0.3,-1.4
84,76,4,96,97,4,-1.55,S,36,1,7000,-0.3,-1.4
3,-3,3,78,77,3,-1.52,S,0,1,7119,-0.4,-1.0
82,78,2,26,23,2,-1.49,S,36,1,7242,-0.4,-0.5
82,78,2,0,0,2,-1.47,S,64,1,7246,-0.4,-0.5
83,77,2,44,47,3,-1.46,S,58,1,7376,-0.4,-0.7
82,78,1,137,133,2,-1.42,S,64,1,7588,-0.4,-0.4
82,78,1,137,133,2,-1.42,S,64,1,7588,-0.4,-0.4
78,82,-1,159,159,-2,-1.40,S,64,1,7809,-0.3,0.4
78,82,-1,159,159,-2,-1.40,S,64,1,7809,-0.3,0.4
79,81,0,159,156,-1,-1.39,S,65,1,8030,-0.1,-0.1
79,81,0,159,156,-1,-1.39,S,65,1,8031,-0.1,-0.1
80,80,1,148,148,0,-1.38,S,67,1,8252,-0.1,-0.2
80,80,1,148,148,0,-1.38,S,67,1,8252,-0.1,-0.2
80,80,1,143,144,0,-1.37,S,68,1,8473,-0.1,-0.3
80,80,1,143,144,0,-1.37,S,68,1,8474,-0.1,-0.3
79,81,0,88,87,-1,-1.37,S,76,1,8605,-0.1,-0.1
79,81,0,88,87,-1,-1.37,S,76,1,8606,-0.1,-0.1
1,-1,2,91,88,1,-1.36,S,0,1,8737,0.1,-0.8
81,79,3,36,29,1,-1.37,S,35,1,8950,0.1,-0.8
81,79,3,36,29,1,-1.37,S,35,1,8950,0.1,-0.8
78,82,0,94,94,-2,-1.40,S,52,1,9171,0.2,-0.1
78,82,0,94,94,-2,-1.40,S,52,1,9172,0.2,-0.1
76,84,-1,152,153,-4,-1.43,S,56,1,9393,0.3,0.5
76,84,-1,152,153,-4,-1.43,S,56,1,9393,0.3,0.5
78,82,1,166,166,-2,-1.45,S,58,1,9613,0.3,-0.2
78,82,1,166,166,-2,-1.45,S,58,1,9614,0.3,-0.2
75,85,-2,162,159,-5,-1.49,S,60,1,9834,0.4,0.6
75,85,-2,162,159,-5,-1.49,S,60,1,9834,0.4,0.6
73,87,-3,86,90,-7,-1.53,S,70,1,9965,0.4,1.0
73,87,-3,86,90,-7,-1.53,S,70,1,9965,0.4,1.0
82,78,4,81,88,2,-1.57,S,4,1,10097,0.1,-1.4
82,78,4,81,88,2,-1.57,S,4,1,10098,0.1,-1.4
84,76,4,158,158,4,-1.55,S,22,1,10310,-0.2,-1.3
84,76,4,158,158,4,-1.55,S,22,1,10310,-0.2,-1.3
80,80,0,163,158,0,-1.54,S,35,1,10531,-0.1,-0.1
80,80,0,163,158,0,-1.54,S,35,1,10532,-0.1,-0.1
77,83,-1,160,160,-3,-1.54,S,43,1,10753,0.0,0.4
77,83,-1,160,160,-3,-1.54,S,43,1,10753,0.0,0.4
80,80,2,169,167,0,-1.54,S,48,1,10974,0.0,-0.5
80,80,2,169,167,0,-1.54,S,48,1,10974,0.0,-0.5
77,83,-1,99,98,-3,-1.54,S,60,1,11105,0.0,0.4
77,83,-1,0,1,-3,-1.54,S,80,1,11105,0.0,0.4
76,84,-3,96,97,-4,-1.54,S,43,1,11236,0.1,0.8
78,82,0,92,93,-2,-1.55,S,57,1,11358,0.1,0.1
78,82,0,92,93,-2,-1.55,S,57,1,11363,0.1,0.1
-82,-78,0,86,86,-2,-1.56,S,-3,1,11492,0.1,-0.1
78,82,0,-9,-10,-2,-1.57,S,37,1,11614,0.1,0.1
78,82,0,0,0,-2,-1.57,S,64,1,11618,0.1,0.1
80,84,0,25,26,-2,-1.57,S,82,1,11738,0.0,-0.0
82,80,2,119,121,1,-1.56,S,81,1,11950,-0.1,-0.6
82,80,2,119,121,1,-1.56,S,81,1,11950,-0.1,-0.6
