OL,OR,dp,el,er,hd,hi,m,pc,run,t,yaw,yr
0,0,0,0,0,0,0.00,S,0,1,0,0.0,0.0
98,98,0,0,0,0,0.00,S,98,1,212,0.0,0.0
98,98,0,0,0,0,0.00,S,98,1,212,0.0,0.0
93,93,0,42,39,0,0.00,S,93,1,334,0.0,0.0
98,98,0,1,2,0,0.00,S,98,1,339,0.0,0.0
-212,-214,0,72,74,1,0.00,S,-213,1,459,-0.1,-0.1
-121,-123,1,-89,-83,1,0.01,S,-122,1,581,-0.1,-0.2
-121,-123,1,-89,-83,1,0.01,S,-122,1,585,-0.1,-0.2
219,251,-14,-15,-14,-16,0.01,S,235,1,705,0.5,4.3
170,196,-10,134,167,-13,-0.05,S,183,1,826,0.6,3.0
167,193,-10,1,1,-13,-0.07,S,180,1,831,0.6,3.0
-437,-453,7,197,213,8,-0.07,S,-445,1,961,-0.4,-2.1
-210,-174,-20,-568,-523,-18,-0.03,S,-192,1,1173,-0.4,6.3
-210,-174,-20,-568,-523,-18,-0.03,S,-192,1,1173,-0.4,6.3
60,100,-8,-638,-627,-20,-0.11,S,1,1,1394,2.7,2.4
,,,-638,,,,S,,1,1394,,
88,72,4,-25,12,8,-0.03,S,4,1,1615,-0.8,-1.2
88,72,4,-25,12,8,-0.03,S,4,1,1616,-0.8,-1.2
-112,-48,-32,155,92,-32,-0.17,S,-15,1,1837,1.4,10.0
-112,-48,-32,155,92,-32,-0.17,S,-15,1,1837,1.4,10.0
99,61,27,-96,-39,19,-0.21,S,19,1,2058,1.6,-8.5
99,61,27,-96,-39,19,-0.21,S,19,1,2059,1.6,-8.5
112,48,69,10,19,32,-0.25,S,30,1,2190,0.4,-21.6
112,48,69,10,19,32,-0.25,S,30,1,2190,0.4,-21.6
-521,-449,-32,84,13,-36,-0.29,S,-485,1,2322,0.9,9.9
-521,-449,-32,84,13,-36,-0.29,S,-485,1,2323,0.9,9.9
-580,-390,-87,-420,-279,-95,-0.34,S,-485,1,2445,1.7,27.1
-507,-317,-87,-11,-6,-95,-0.36,S,-412,1,2450,1.7,27.1
600,568,58,-476,-278,32,-0.39,S,600,1,2578,5.3,-18.0
