============================================================
  Diagnostic Capture Summary
  Generated: 2026-04-12 19:30:17
============================================================

=== STATISTICS ===
  total_samples        : 334
  neg_core             : 0
  neg_core_pct         : 0.0%
  neg_ol_or            : 0
  core_min             : 2
  core_max             : 118
  core_mean            : 47.1
  yaw_min              : -1.1
  yaw_max              : 1.1
  yaw_final            : -0.4
  yaw_std              : 0.37
  max_abs_hd           : 16
  min_OL               : 73
  min_OR               : 64


--- FIRST 20 ---
t_ms  pc   hd   OL   OR   yaw      yr     el    er
-------------------------------------------------------------------------------------
     0   104     0   104   104      0.0      0.0     0     0
   122   112     0   112   112      0.0      0.0    54    59
   127   118     0   118   118      0.0      0.0     0     0
   232    77    -3    77    83     -0.1      1.2    91    91
   444    79     0    80    80     -0.1      0.3   178   182
   444    79     0    80    80     -0.1      0.3   178   182
   567    86    -3    83    89     -0.1      0.9    90    89
   571    86    -3    83    89     -0.1      0.9    90    89
   700    21    -2    78    82     -0.0      0.7   101   101
   821    44     1    81    79     -0.1     -0.3   100   103
   826    69     1    81    79     -0.1     -0.3     1     1
   955    53     6    86    74     -0.3     -1.4    86    90
  1078    69     6    86    74     -0.4     -1.3    85    83
  1082    69     6    86    74     -0.4     -1.3    85    83
  1186    43     4    84    76     -0.2     -0.8    71    68
  1398    54    -1    79    81     -0.0      0.3   173   166
  1399    54    -1    79    81     -0.0      0.3   173   166
  1521    68    -1    79    81     -0.0      0.5    93    96
  1525    86    -1    85    87     -0.0      0.5     1     2
  1653    48    -1    79    81     -0.1      0.4   100   102

  ... (294 samples omitted) ...


--- LAST 20 ---
t_ms  pc   hd   OL   OR   yaw      yr     el    er
-------------------------------------------------------------------------------------
 30028     8     1    81    79     -0.1      0.1    74    76
 30240    24     1    81    79     -0.3      0.1   139   143
 30240    24     1    81    79     -0.3      0.1   139   143
 30461    34     2    82    78     -0.5      0.0   157   154
 30462    34     2    82    78     -0.5      0.0   157   154
 30682    40     0    80    80     -0.4      0.6   170   169
 30682    40     0    80    80     -0.4      0.6   170   169
 30903    43    -1    79    81     -0.3      0.8   171   170
 30904    43    -1    79    81     -0.3      0.8   171   170
 31124    46     1    81    79     -0.4      0.4   168   168
 31124    46     1    81    79     -0.4      0.4   168   168
 31344    48     3    83    77     -0.4     -0.2   166   168
 31344    48     3    83    77     -0.4     -0.2   166   168
 31565    50     1    81    79     -0.3      0.4   159   156
 31565    50     1    81    79     -0.3      0.4   159   156
 31687    59     2    82    78     -0.3     -0.1    84    84
 31692    59     2    82    78     -0.3     -0.1    84    84
 31821     9     0    80    80     -0.4      0.6    84    85
 31943    29     4    84    76     -0.4     -0.5    90    91
 31947    29     4    84    76     -0.4     -0.5    90    91
