t_ms,t_s,yaw,yr,hi,hd,pc,ol,or,el,er,cum_el,cum_er,x_mm,y_mm,v_mps
0,0.0000,0.00,-0.10,0.0000,0,2,8,8,0,0,0,0,0.000,0.000,0.0000
122,0.1220,0.00,-0.10,0.0000,0,2,8,8,30,34,30,34,16.755,0.000,0.1373
126,0.1260,0.00,-0.00,0.0000,0,3,8,8,7,7,37,41,20.420,0.000,0.9163
229,0.2290,0.00,-0.10,-0.0000,0,4,8,8,45,45,82,86,43.982,0.000,0.2288
347,0.3470,0.10,-0.10,-0.0000,0,4,8,8,64,65,146,151,77.754,0.059,0.2862
356,0.3560,0.10,-0.10,-0.0000,0,5,8,8,2,1,148,152,78.540,0.060,0.0873
453,0.4530,0.30,2.10,-0.0000,-1,6,7,9,78,71,226,223,117.547,0.265,0.4021
575,0.5750,0.30,3.20,-0.0100,-1,7,7,9,82,82,308,305,160.482,0.489,0.3519
579,0.5790,0.30,2.60,-0.0100,-1,8,7,9,12,12,320,317,166.765,0.522,1.5708
665,0.6650,0.30,0.00,-0.0100,0,10,10,10,59,60,379,377,197.919,0.685,0.3623
859,0.8590,0.30,-1.10,-0.0200,0,10,10,10,93,93,472,470,246.613,0.940,0.2510
859,0.8590,0.30,-1.20,-0.0200,0,10,10,10,83,84,555,554,290.333,1.169,4.3720
1057,1.0570,0.30,-1.30,-0.0300,0,10,10,10,126,123,681,677,355.520,1.511,0.3292
1057,1.0570,0.30,-0.50,-0.0300,0,9,9,9,102,100,783,777,408.402,1.787,5.2883
1257,1.2570,0.70,0.00,-0.0300,0,9,9,9,124,123,907,900,473.062,2.577,0.3233
1257,1.2570,0.70,0.90,-0.0400,-1,9,8,10,90,87,997,987,519.397,3.144,4.6338
1457,1.4570,0.70,1.50,-0.0500,-1,9,8,10,116,119,1113,1106,580.915,3.895,0.3076
1458,1.4580,0.70,0.00,-0.0600,0,9,9,9,89,91,1202,1197,628.036,4.471,47.1239
1657,1.6570,0.70,-1.10,-0.0700,0,9,9,9,121,117,1323,1314,690.339,5.232,0.3131
1658,1.6580,0.70,-0.40,-0.0700,-1,9,8,10,89,88,1412,1402,736.674,5.798,46.3385
1857,1.8570,0.80,0.10,-0.0800,0,9,9,9,114,113,1526,1515,796.097,6.628,0.2986
1858,1.8580,0.80,-0.30,-0.0900,-1,9,8,10,88,86,1614,1601,841.646,7.264,45.5531
2057,2.0570,0.70,-0.60,-0.1000,0,9,9,9,121,121,1735,1722,904.996,8.038,0.3184
2058,2.0580,0.70,-0.20,-0.1100,-1,9,8,10,98,97,1833,1819,956.044,8.662,51.0509
2186,2.1860,0.80,0.10,-0.1200,-1,9,8,10,134,133,1967,1952,1025.937,9.638,0.5461
2191,2.1910,0.80,1.40,-0.1200,-1,10,9,11,3,4,1970,1956,1027.770,9.663,0.3665
2297,2.2970,1.00,0.20,-0.1300,0,9,9,9,117,117,2087,2073,1089.021,10.732,0.5779
2465,2.4650,1.00,-0.50,-0.1400,-1,9,8,10,126,119,2213,2192,1153.152,11.852,0.3818
2465,2.4650,1.00,-0.30,-0.1500,0,9,9,9,66,72,2279,2264,1189.275,12.482,3.6128
2504,2.5040,1.00,-0.20,-0.1600,0,10,10,10,10,12,2289,2276,1195.034,12.583,0.1477
2701,2.7010,0.70,-0.60,-0.1700,0,9,9,9,121,119,2410,2395,1257.861,13.351,0.3189
2702,2.7020,0.70,-0.90,-0.1800,-1,9,8,10,99,98,2509,2493,1309.432,13.981,51.5745
2826,2.8260,0.70,-1.00,-0.1900,0,8,8,8,107,114,2616,2607,1367.285,14.687,0.4666
2830,2.8300,0.70,-0.50,-0.1900,0,10,10,10,4,3,2620,2610,1369.117,14.710,0.4581
2925,2.9250,0.20,-2.70,-0.2000,1,10,11,9,88,95,2708,2705,1417.026,14.877,0.5043
3043,3.0430,0.10,-3.90,-0.1900,1,9,10,8,124,117,2832,2822,1480.120,14.987,0.5347
3051,3.0510,0.10,-4.70,-0.2000,1,10,11,9,8,7,2840,2829,1484.047,14.994,0.4909
3157,3.1570,0.10,1.70,-0.2000,-1,9,8,10,121,108,2961,2937,1543.999,15.099,0.5656
3275,3.2750,0.20,5.00,-0.1900,-2,8,6,10,115,126,3076,3063,1607.092,15.319,0.5347
3284,3.2840,0.20,7.50,-0.1900,-3,10,7,13,4,5,3080,3068,1609.448,15.327,0.2618
3389,3.3890,0.30,-1.80,-0.2000,0,9,9,9,99,115,3179,3183,1665.473,15.621,0.5336
3507,3.5070,0.10,-6.70,-0.2000,2,9,11,7,116,117,3295,3300,1726.472,15.727,0.5169
3516,3.5160,0.10,-10.30,-0.2000,3,11,14,8,2,2,3297,3302,1727.519,15.729,0.1164
3612,3.6120,-0.60,-3.60,-0.2000,1,10,11,9,117,94,3414,3396,1782.756,15.150,0.5754
3801,3.8010,1.00,0.00,-0.1800,1,9,10,8,132,121,3546,3517,1848.981,16.306,0.3505
3801,3.8010,1.00,3.00,-0.1900,-2,9,7,11,97,87,3643,3604,1897.145,17.147,4.8171
3930,3.9300,1.10,5.20,-0.2000,-2,9,7,11,102,122,3745,3726,1955.777,18.273,0.4546
3938,3.9380,1.10,5.60,-0.2100,-3,9,6,12,12,13,3757,3739,1962.321,18.398,0.8181
4004,4.0040,1.10,-0.30,-0.2200,0,11,11,11,52,62,3809,3801,1992.160,18.971,0.4522
4222,4.2220,0.30,-4.90,-0.2300,1,9,10,8,122,116,3931,3917,2054.468,19.298,0.2858
4222,4.2220,0.30,-1.60,-0.2400,0,9,9,9,114,103,4045,4020,2111.277,19.595,5.6810
4415,4.4150,0.70,-0.00,-0.2400,0,8,8,8,107,109,4152,4129,2167.822,20.286,0.2930
4416,4.4160,0.70,0.50,-0.2400,-1,8,7,9,82,79,4234,4208,2209.968,20.801,42.1497
4544,4.5440,0.70,0.90,-0.2500,-1,9,8,10,104,107,4338,4315,2265.204,21.476,0.4316
4548,4.5480,0.70,1.10,-0.2500,-1,10,9,11,16,17,4354,4332,2273.843,21.581,2.1598
4654,4.6540,0.50,0.00,-0.2600,-1,10,9,11,98,100,4452,4432,2325.677,22.034,0.4890
4841,4.8410,0.10,-0.60,-0.2600,0,9,9,9,114,118,4566,4550,2386.414,22.140,0.3248
4842,4.8420,0.10,0.10,-0.2600,0,9,9,9,87,85,4653,4635,2431.444,22.218,45.0295
4971,4.9710,0.10,0.60,-0.2600,0,9,9,9,111,117,4764,4752,2491.134,22.322,0.4627
4980,4.9800,0.10,0.70,-0.2600,0,10,10,10,8,9,4772,4761,2495.585,22.330,0.4945
5090,5.0900,-0.50,-1.10,-0.2500,1,9,10,8,101,110,4873,4871,2550.822,21.848,0.5022
5212,5.2120,-0.50,-2.10,-0.2400,0,9,9,9,112,103,4985,4974,2607.107,21.357,0.4614
5216,5.2160,-0.50,-2.40,-0.2400,1,9,10,8,16,16,5001,4990,2615.484,21.284,2.0944
