t_ms,t_s,yaw,yr,hi,hd,pc,ol,or,el,er,cum_el,cum_er,x_enc_mm,y_enc_mm,theta_enc_deg,x_imu_mm,y_imu_mm,v_mps
39,0.0390,0.00,0.00,0.0000,0,104,104,104,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.0000
161,0.1610,0.00,0.00,0.0000,0,112,112,112,54,56,54,56,28.798,0.010,0.414,28.798,0.000,0.2360
165,0.1650,0.00,0.00,0.0000,0,112,112,112,54,56,108,112,57.596,0.021,0.828,57.596,0.000,7.1995
286,0.2860,-0.50,-3.50,0.0100,14,49,94,66,94,101,202,213,108.645,-0.336,2.276,108.645,-0.445,0.4219
408,0.4080,-0.60,-5.20,0.0700,19,67,99,61,105,101,307,314,162.573,-0.931,1.448,162.573,-1.010,0.4421
413,0.4130,-0.60,-5.20,0.0700,19,67,99,61,105,101,412,415,216.500,-1.536,0.621,216.500,-1.575,10.7861
542,0.5420,-0.90,-0.50,0.1100,6,23,86,74,92,92,504,507,264.665,-2.282,0.621,264.665,-2.332,0.3734
753,0.7530,-0.30,0.90,0.1400,-1,40,79,81,164,156,668,663,348.439,-2.884,-1.034,348.440,-2.770,0.3970
754,0.7540,-0.30,0.90,0.1400,-1,40,79,81,164,156,832,819,432.213,-3.452,-2.690,432.215,-3.209,83.7758
876,0.8760,-0.30,0.90,0.1700,-1,59,79,81,93,88,925,907,479.598,-3.747,-3.724,479.600,-3.457,0.3884
880,0.8800,-0.30,0.90,0.1700,-1,59,79,81,93,88,1018,995,526.983,-4.040,-4.759,526.985,-3.705,11.8464
1002,1.0020,0.10,1.20,0.2000,-4,28,76,84,83,81,1101,1076,569.918,-3.998,-5.172,569.920,-3.630,0.3519
1213,1.2130,0.20,0.50,0.1800,-2,44,78,82,158,162,1259,1238,653.693,-3.655,-4.345,653.695,-3.338,0.3970
1214,1.2140,0.20,0.50,0.1800,-2,44,78,82,158,162,1417,1400,737.468,-3.300,-3.517,737.470,-3.045,83.7758
1426,1.4260,0.30,0.60,0.1500,-3,55,77,83,155,150,1572,1550,817.316,-2.958,-4.552,817.318,-2.627,0.3766
1426,1.4260,0.30,0.60,0.1500,-3,55,77,83,155,150,1727,1700,897.164,-2.615,-5.586,897.166,-2.209,7.9849
1639,1.6390,0.50,0.50,0.1000,-4,64,76,84,145,141,1872,1841,972.036,-2.033,-6.414,972.038,-1.556,0.3515
1639,1.6390,0.50,0.50,0.1000,-4,64,76,84,145,141,2017,1982,1046.909,-1.437,-7.241,1046.909,-0.902,7.4875
1860,1.8600,0.40,-0.30,0.0600,-1,71,79,81,132,138,2149,2120,1117.592,-0.863,-6.000,1117.593,-0.409,0.3198
1861,1.8610,0.40,-0.30,0.0600,-1,71,79,81,132,138,2281,2258,1188.276,-0.289,-4.759,1188.278,0.085,70.6858
1992,1.9920,0.40,-1.10,0.0200,2,81,83,79,80,82,2361,2340,1230.686,0.024,-4.345,1230.688,0.381,0.3238
1992,1.9920,0.40,-1.10,0.0200,2,81,83,79,80,82,2441,2422,1273.096,0.337,-3.931,1273.099,0.677,4.2412
2124,2.1240,0.20,-1.10,-0.0100,3,38,83,77,96,95,2537,2517,1323.100,0.512,-4.138,1323.102,0.851,0.3788
2125,2.1250,0.20,-1.10,-0.0100,3,38,83,77,96,95,2633,2612,1373.103,0.677,-4.345,1373.105,1.026,50.0037
2246,2.2460,0.20,-1.10,-0.0300,2,56,82,78,104,98,2737,2710,1425.986,0.804,-5.586,1425.988,1.210,0.4371
2251,2.2510,0.20,-1.10,-0.0300,2,56,82,78,104,98,2841,2808,1478.870,0.929,-6.828,1478.872,1.395,10.5767
2380,2.3800,0.50,-0.40,-0.0500,-1,16,79,81,95,93,2936,2901,1528.086,1.325,-7.241,1528.088,1.825,0.3815
2592,2.5920,0.60,-0.00,-0.1100,-3,35,77,83,164,163,3100,3064,1613.690,2.195,-7.448,1613.692,2.721,0.4038
