HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
HB:t=185,m=S,run=1,el=0,er=0,yaw=-0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=186,m=S,run=1,el=21,er=24,yaw=-0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=322,m=S,run=1,el=57,er=51,yaw=0.0,yr=0.2,pc=3,hd=0,OL=3,OR=3
HB:t=325,m=S,run=1,el=1,er=1,yaw=0.0,yr=0.2,pc=4,hd=0,OL=4,OR=4
HB:t=345,m=S,run=1,el=6,er=5,yaw=0.0,yr=0.2,pc=4,hd=0,OL=4,OR=4
HB:t=365,m=S,run=1,el=6,er=5,yaw=0.0,yr=0.2,pc=5,hd=0,OL=5,OR=5
HB:t=410,m=S,run=1,el=30,er=26,yaw=0.1,yr=0.3,pc=6,hd=0,OL=6,OR=6
HB:t=542,m=S,run=1,el=73,er=61,yaw=0.7,yr=2.3,pc=7,hd=0,OL=7,OR=7
HB:t=542,m=S,run=1,el=18,er=15,yaw=0.7,yr=2.3,pc=8,hd=0,OL=8,OR=8
HB:t=562,m=S,run=1,el=7,er=5,yaw=0.7,yr=2.3,pc=8,hd=0,OL=8,OR=8
HB:t=582,m=S,run=1,el=6,er=6,yaw=0.7,yr=2.3,pc=9,hd=0,OL=9,OR=9
HB:t=655,m=S,run=1,el=55,er=47,yaw=2.1,yr=11.0,pc=10,hd=-1,OL=9,OR=11
HB:t=777,m=S,run=1,el=97,er=86,yaw=2.5,yr=8.7,pc=10,hd=-1,OL=9,OR=11
HB:t=782,m=S,run=1,el=15,er=15,yaw=2.5,yr=8.7,pc=11,hd=-1,OL=10,OR=12
HB:t=802,m=S,run=1,el=10,er=10,yaw=2.5,yr=8.7,pc=11,hd=-1,OL=10,OR=12
HB:t=822,m=S,run=1,el=11,er=11,yaw=2.5,yr=8.7,pc=11,hd=-1,OL=10,OR=12
HB:t=861,m=S,run=1,el=40,er=40,yaw=2.8,yr=7.4,pc=11,hd=-1,OL=10,OR=12
HB:t=1028,m=S,run=1,el=121,er=126,yaw=3.5,yr=7.1,pc=9,hd=-1,OL=8,OR=10
HB:t=1028,m=S,run=1,el=64,er=69,yaw=3.5,yr=7.1,pc=9,hd=-1,OL=8,OR=10
HB:t=1048,m=S,run=1,el=11,er=11,yaw=3.5,yr=7.1,pc=10,hd=-1,OL=9,OR=11
HB:t=1183,m=S,run=1,el=124,er=124,yaw=3.3,yr=4.1,pc=9,hd=-2,OL=7,OR=11
HB:t=1186,m=S,run=1,el=1,er=1,yaw=3.3,yr=4.1,pc=10,hd=-1,OL=9,OR=11
HB:t=1206,m=S,run=1,el=11,er=11,yaw=3.3,yr=4.1,pc=10,hd=-1,OL=9,OR=11
HB:t=1226,m=S,run=1,el=11,er=11,yaw=3.3,yr=4.1,pc=10,hd=-1,OL=9,OR=11
HB:t=1276,m=S,run=1,el=55,er=59,yaw=3.3,yr=2.6,pc=10,hd=-1,OL=9,OR=11
HB:t=1412,m=S,run=1,el=116,er=123,yaw=2.8,yr=0.3,pc=9,hd=-1,OL=8,OR=10
HB:t=1412,m=S,run=1,el=31,er=35,yaw=2.8,yr=0.3,pc=10,hd=-1,OL=9,OR=11
HB:t=1432,m=S,run=1,el=10,er=11,yaw=2.8,yr=0.3,pc=10,hd=-1,OL=9,OR=11
HB:t=1452,m=S,run=1,el=11,er=11,yaw=2.8,yr=0.3,pc=10,hd=-1,OL=9,OR=11
HB:t=1496,m=S,run=1,el=45,er=46,yaw=2.6,yr=-1.4,pc=10,hd=-1,OL=9,OR=11
HB:t=1667,m=S,run=1,el=111,er=114,yaw=1.8,yr=-3.5,pc=9,hd=-1,OL=8,OR=10
HB:t=1667,m=S,run=1,el=64,er=70,yaw=1.8,yr=-3.5,pc=9,hd=0,OL=9,OR=9
HB:t=1687,m=S,run=1,el=11,er=10,yaw=1.8,yr=-3.5,pc=10,hd=0,OL=10,OR=10
HB:t=1818,m=S,run=1,el=114,er=118,yaw=1.5,yr=-3.1,pc=9,hd=0,OL=9,OR=9
HB:t=1821,m=S,run=1,el=18,er=19,yaw=1.5,yr=-3.1,pc=10,hd=0,OL=10,OR=10
HB:t=1841,m=S,run=1,el=11,er=11,yaw=1.5,yr=-3.1,pc=10,hd=0,OL=10,OR=10
HB:t=1861,m=S,run=1,el=11,er=12,yaw=1.5,yr=-3.1,pc=10,hd=0,OL=10,OR=10
HB:t=1911,m=S,run=1,el=52,er=53,yaw=1.4,yr=-3.0,pc=10,hd=0,OL=10,OR=10
HB:t=2083,m=S,run=1,el=120,er=123,yaw=0.8,yr=-3.7,pc=9,hd=0,OL=9,OR=9
HB:t=2083,m=S,run=1,el=71,er=73,yaw=0.8,yr=-3.7,pc=9,hd=0,OL=9,OR=9
HB:t=2103,m=S,run=1,el=11,er=11,yaw=0.8,yr=-3.7,pc=10,hd=0,OL=10,OR=10
HB:t=2233,m=S,run=1,el=123,er=127,yaw=0.4,yr=-3.4,pc=9,hd=0,OL=9,OR=9
HB:t=2236,m=S,run=1,el=2,er=1,yaw=0.4,yr=-3.4,pc=10,hd=0,OL=10,OR=10
HB:t=2256,m=S,run=1,el=12,er=11,yaw=0.4,yr=-3.4,pc=10,hd=0,OL=10,OR=10
HB:t=2276,m=S,run=1,el=12,er=12,yaw=0.4,yr=-3.4,pc=10,hd=0,OL=10,OR=10
