t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
1,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
124,S,1,35,35,-0.0,0.0,2,0,2,2,0,0.00
127,S,1,8,8,-0.0,0.0,2,0,2,2,0,0.00
147,S,1,5,5,-0.0,0.0,2,0,2,2,0,0.00
167,S,1,5,6,-0.0,0.0,2,0,2,2,0,0.00
207,S,1,22,20,-0.0,0.0,4,0,4,4,0,0.00
378,S,1,73,67,0.3,0.9,4,0,4,4,0,0.00
378,S,1,46,42,0.3,0.9,6,0,6,6,0,0.00
398,S,1,7,7,0.3,0.9,6,0,6,6,0,0.00
529,S,1,82,78,0.7,1.6,7,0,7,7,0,0.00
532,S,1,12,12,0.7,1.6,8,0,8,8,0,0.00
552,S,1,8,7,0.7,1.6,9,0,9,9,0,0.00
572,S,1,9,8,0.7,1.6,9,0,9,9,0,0.00
618,S,1,39,37,0.8,1.9,11,0,11,11,0,0.00
754,S,1,114,108,1.2,2.6,10,0,10,10,0,0.00
754,S,1,35,33,1.2,2.6,10,0,10,10,0,0.00
774,S,1,12,11,1.2,2.6,10,0,10,10,0,0.00
794,S,1,12,11,1.2,2.6,10,0,10,10,0,0.00
838,S,1,40,38,1.5,3.9,10,0,10,10,0,0.00
974,S,1,122,116,1.8,3.5,9,0,9,9,0,0.00
974,S,1,34,31,1.8,3.5,10,0,10,10,0,0.00
994,S,1,11,11,1.8,3.5,10,0,10,10,0,0.00
1014,S,1,11,10,1.8,3.5,10,-1,9,11,0,0.00
1058,S,1,39,38,2.1,4.3,10,-1,9,11,0,0.00
1194,S,1,120,119,2.6,4.2,9,-1,8,10,0,0.00
1194,S,1,33,34,2.6,4.2,9,-1,8,10,0,0.00
1214,S,1,10,11,2.6,4.2,10,-1,9,11,0,0.00
1234,S,1,11,11,2.6,4.2,10,-1,9,11,0,0.00
1278,S,1,40,39,2.9,5.0,10,-1,9,11,0,0.00
1449,S,1,115,118,2.9,3.4,9,-1,8,10,0,0.00
1449,S,1,65,67,2.9,3.4,9,-1,8,10,0,0.00
1469,S,1,10,10,2.9,3.4,10,-1,9,11,0,0.00
1600,S,1,115,115,2.8,2.0,9,-1,8,10,0,0.00
1603,S,1,3,3,2.8,2.0,10,-1,9,11,0,0.00
1623,S,1,11,11,2.8,2.0,10,-1,9,11,0,0.00
1643,S,1,10,11,2.8,2.0,10,-1,9,11,0,0.00
1693,S,1,55,56,2.8,1.2,10,-1,9,11,0,0.00
1864,S,1,113,120,2.6,0.1,9,-1,8,10,0,0.00
1864,S,1,65,73,2.6,0.1,9,-1,8,10,0,0.00
1884,S,1,10,12,2.6,0.1,10,-1,9,11,0,0.00
2054,S,1,110,119,1.8,-2.1,9,-1,8,10,0,0.00
2054,S,1,55,60,1.8,-2.1,9,-1,8,10,0,0.00
2074,S,1,10,11,1.8,-2.1,10,-1,9,11,0,0.00
2215,S,1,113,116,1.1,-2.9,9,0,9,9,0,0.00
2219,S,1,18,18,1.1,-2.9,10,0,10,10,0,0.00
2239,S,1,10,12,1.1,-2.9,10,0,10,10,0,0.00
2259,S,1,11,11,1.1,-2.9,10,0,10,10,0,0.00
2313,S,1,53,57,1.0,-3.2,10,0,10,10,0,0.00
2445,S,1,114,116,0.4,-3.9,9,0,9,9,0,0.00
2445,S,1,26,27,0.4,-3.9,10,0,10,10,0,0.00
2465,S,1,11,10,0.4,-3.9,10,0,10,10,0,0.00
2485,S,1,11,10,0.4,-3.9,10,0,10,10,0,0.00
2533,S,1,43,42,0.2,-4.0,10,0,10,10,0,0.00
2705,S,1,114,114,-0.2,-3.8,9,0,9,9,0,0.00
2705,S,1,68,69,-0.2,-3.8,9,0,9,9,0,0.00
2725,S,1,11,11,-0.2,-3.8,10,0,10,10,0,0.00
2898,S,1,109,113,-0.4,-2.9,9,0,9,9,0,0.00
2899,S,1,62,63,-0.4,-2.9,9,0,9,9,0,0.00
2918,S,1,10,10,-0.4,-2.9,10,0,10,10,0,0.00
3055,S,1,112,112,-0.7,-2.9,9,0,9,9,0,0.00
3059,S,1,18,18,-0.7,-2.9,10,0,10,10,0,0.00
3079,S,1,11,11,-0.7,-2.9,10,0,10,10,0,0.00
3099,S,1,11,11,-0.7,-2.9,10,0,10,10,0,0.00
3173,S,1,77,79,-0.9,-3.0,10,0,10,10,0,0.00
3291,S,1,118,118,-0.9,-1.9,9,0,9,9,0,0.00
3300,S,1,1,1,-0.9,-1.9,10,0,10,10,0,0.00
3320,S,1,11,11,-0.9,-1.9,10,0,10,10,0,0.00
3340,S,1,11,10,-0.9,-1.9,10,0,10,10,0,0.00
3375,S,1,46,46,-0.9,-1.1,10,0,10,10,0,0.00
3511,S,1,115,112,-0.9,-0.8,9,0,9,9,0,0.00
3511,S,1,31,31,-0.9,-0.8,10,0,10,10,0,0.00
3531,S,1,10,11,-0.9,-0.8,10,0,10,10,0,0.00
3551,S,1,10,11,-0.9,-0.8,11,0,11,11,0,0.00
3625,S,1,78,78,-0.8,-0.0,10,0,10,10,0,0.00
3742,S,1,117,115,-0.7,0.3,9,0,9,9,0,0.00
3751,S,1,12,12,-0.7,0.3,9,0,9,9,0,0.00
3771,S,1,10,11,-0.7,0.3,10,0,10,10,0,0.00
3791,S,1,11,10,-0.7,0.3,10,0,10,10,0,0.00
3826,S,1,44,45,-0.7,0.3,10,0,10,10,0,0.00
3996,S,1,113,114,-0.8,-0.0,9,0,9,9,0,0.00
3997,S,1,67,68,-0.8,-0.0,9,0,9,9,0,0.00
4017,S,1,10,9,-0.8,-0.0,10,0,10,10,0,0.00
4147,S,1,116,116,-0.9,-0.4,9,0,9,9,0,0.00
4151,S,1,18,17,-0.9,-0.4,9,0,9,9,0,0.00
4171,S,1,11,11,-0.9,-0.4,10,0,10,10,0,0.00
4191,S,1,11,11,-0.9,-0.4,10,0,10,10,0,0.00
4236,S,1,47,46,-0.9,0.0,10,0,10,10,0,0.00
4407,S,1,117,116,-0.7,0.6,9,0,9,9,0,0.00
4407,S,1,70,69,-0.7,0.6,9,0,9,9,0,0.00
4427,S,1,10,11,-0.7,0.6,10,0,10,10,0,0.00
4557,S,1,114,115,-0.7,0.4,9,0,9,9,0,0.00
4561,S,1,18,16,-0.7,0.4,9,0,9,9,0,0.00
4581,S,1,11,10,-0.7,0.4,10,0,10,10,0,0.00
4601,S,1,11,10,-0.7,0.4,10,0,10,10,0,0.00
4650,S,1,53,51,-0.7,0.5,10,0,10,10,0,0.00
4783,S,1,118,116,-0.6,0.6,9,0,9,9,0,0.00
