HB:t=180,m=S,run=1,el=0,er=0,yaw=-0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=180,m=S,run=1,el=21,er=23,yaw=-0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=216,m=S,run=1,el=4,er=5,yaw=0.0,yr=0.2,pc=2,hd=0,OL=2,OR=2
HB:t=338,m=S,run=1,el=68,er=70,yaw=0.0,yr=0.1,pc=3,hd=0,OL=3,OR=3
HB:t=342,m=S,run=1,el=11,er=12,yaw=0.0,yr=0.1,pc=3,hd=0,OL=3,OR=3
HB:t=392,m=S,run=1,el=30,er=30,yaw=0.0,yr=0.1,pc=5,hd=0,OL=5,OR=5
HB:t=526,m=S,run=1,el=79,er=82,yaw=-0.1,yr=-0.1,pc=5,hd=0,OL=5,OR=5
HB:t=527,m=S,run=1,el=16,er=17,yaw=-0.1,yr=-0.1,pc=6,hd=0,OL=6,OR=6
HB:t=580,m=S,run=1,el=35,er=34,yaw=-0.2,yr=-0.5,pc=8,hd=0,OL=8,OR=8
HB:t=620,m=S,run=1,el=8,er=9,yaw=-0.5,yr=-2.4,pc=8,hd=0,OL=8,OR=8
HB:t=743,m=S,run=1,el=104,er=106,yaw=-0.5,yr=-2.2,pc=9,hd=0,OL=9,OR=9
HB:t=747,m=S,run=1,el=14,er=15,yaw=-0.5,yr=-2.2,pc=9,hd=0,OL=9,OR=9
HB:t=818,m=S,run=1,el=56,er=57,yaw=-0.8,yr=-3.7,pc=11,hd=0,OL=11,OR=11
HB:t=936,m=S,run=1,el=117,er=120,yaw=-0.9,yr=-3.3,pc=9,hd=0,OL=9,OR=9
HB:t=944,m=S,run=1,el=3,er=3,yaw=-0.9,yr=-3.3,pc=10,hd=0,OL=10,OR=10
HB:t=990,m=S,run=1,el=49,er=49,yaw=-0.9,yr=-3.0,pc=10,hd=0,OL=10,OR=10
HB:t=1026,m=S,run=1,el=12,er=11,yaw=-1.0,yr=-3.7,pc=10,hd=0,OL=10,OR=10
HB:t=1149,m=S,run=1,el=121,er=125,yaw=-1.1,yr=-3.3,pc=9,hd=0,OL=9,OR=9
HB:t=1152,m=S,run=1,el=18,er=19,yaw=-1.1,yr=-3.3,pc=9,hd=0,OL=9,OR=9
HB:t=1203,m=S,run=1,el=37,er=39,yaw=-1.2,yr=-3.4,pc=10,hd=0,OL=10,OR=10
HB:t=1244,m=S,run=1,el=11,er=11,yaw=-1.5,yr=-5.0,pc=10,hd=0,OL=10,OR=10
HB:t=1244,m=S,run=1,el=28,er=29,yaw=-1.5,yr=-5.0,pc=10,hd=0,OL=10,OR=10
HB:t=1366,m=S,run=1,el=120,er=121,yaw=-1.6,yr=-4.4,pc=9,hd=1,OL=10,OR=8
HB:t=1370,m=S,run=1,el=2,er=2,yaw=-1.6,yr=-4.4,pc=10,hd=0,OL=10,OR=10
HB:t=1420,m=S,run=1,el=47,er=46,yaw=-1.6,yr=-4.2,pc=10,hd=0,OL=10,OR=10
HB:t=1460,m=S,run=1,el=12,er=12,yaw=-1.7,yr=-4.3,pc=10,hd=0,OL=10,OR=10
HB:t=1460,m=S,run=1,el=25,er=24,yaw=-1.7,yr=-4.3,pc=10,hd=0,OL=10,OR=10
HB:t=1583,m=S,run=1,el=122,er=123,yaw=-1.7,yr=-3.6,pc=9,hd=1,OL=10,OR=8
HB:t=1587,m=S,run=1,el=19,er=18,yaw=-1.7,yr=-3.6,pc=9,hd=0,OL=9,OR=9
HB:t=1637,m=S,run=1,el=45,er=44,yaw=-1.7,yr=-3.1,pc=10,hd=0,OL=10,OR=10
HB:t=1677,m=S,run=1,el=12,er=11,yaw=-1.7,yr=-3.0,pc=11,hd=0,OL=11,OR=11
HB:t=1677,m=S,run=1,el=34,er=34,yaw=-1.7,yr=-3.0,pc=10,hd=0,OL=10,OR=10
HB:t=1800,m=S,run=1,el=129,er=126,yaw=-1.6,yr=-2.4,pc=9,hd=1,OL=10,OR=8
HB:t=1804,m=S,run=1,el=19,er=19,yaw=-1.6,yr=-2.4,pc=9,hd=0,OL=9,OR=9
HB:t=1854,m=S,run=1,el=42,er=41,yaw=-1.6,yr=-1.8,pc=10,hd=0,OL=10,OR=10
HB:t=1895,m=S,run=1,el=11,er=12,yaw=-1.5,yr=-1.2,pc=10,hd=0,OL=10,OR=10
HB:t=1895,m=S,run=1,el=31,er=30,yaw=-1.5,yr=-1.2,pc=10,hd=0,OL=10,OR=10
HB:t=2018,m=S,run=1,el=123,er=124,yaw=-1.4,yr=-0.9,pc=9,hd=0,OL=9,OR=9
HB:t=2021,m=S,run=1,el=1,er=1,yaw=-1.4,yr=-0.9,pc=10,hd=0,OL=10,OR=10
HB:t=2072,m=S,run=1,el=48,er=50,yaw=-1.4,yr=-0.5,pc=10,hd=0,OL=10,OR=10
HB:t=2111,m=S,run=1,el=11,er=11,yaw=-1.4,yr=-0.2,pc=10,hd=0,OL=10,OR=10
HB:t=2112,m=S,run=1,el=27,er=26,yaw=-1.4,yr=-0.2,pc=10,hd=0,OL=10,OR=10
HB:t=2235,m=S,run=1,el=123,er=120,yaw=-1.4,yr=-0.2,pc=9,hd=0,OL=9,OR=9
HB:t=2238,m=S,run=1,el=18,er=18,yaw=-1.4,yr=-0.2,pc=10,hd=0,OL=10,OR=10
HB:t=2289,m=S,run=1,el=46,er=45,yaw=-1.4,yr=-0.1,pc=10,hd=0,OL=10,OR=10
HB:t=2325,m=S,run=1,el=11,er=11,yaw=-1.3,yr=0.4,pc=10,hd=0,OL=10,OR=10
HB:t=2448,m=S,run=1,el=122,er=120,yaw=-1.2,yr=0.4,pc=9,hd=0,OL=9,OR=9
HB:t=2451,m=S,run=1,el=0,er=1,yaw=-1.2,yr=0.4,pc=11,hd=0,OL=11,OR=11
HB:t=2502,m=S,run=1,el=50,er=50,yaw=-1.2,yr=0.6,pc=10,hd=0,OL=10,OR=10
HB:t=2542,m=S,run=1,el=12,er=12,yaw=-1.1,yr=1.4,pc=10,hd=0,OL=10,OR=10
HB:t=2542,m=S,run=1,el=27,er=27,yaw=-1.1,yr=1.4,pc=10,hd=0,OL=10,OR=10
HB:t=2665,m=S,run=1,el=125,er=122,yaw=-1.0,yr=1.2,pc=9,hd=0,OL=9,OR=9
HB:t=2669,m=S,run=1,el=4,er=4,yaw=-1.0,yr=1.2,pc=10,hd=0,OL=10,OR=10
HB:t=2719,m=S,run=1,el=47,er=46,yaw=-1.1,yr=0.8,pc=10,hd=0,OL=10,OR=10
HB:t=2759,m=S,run=1,el=12,er=11,yaw=-1.1,yr=0.9,pc=10,hd=0,OL=10,OR=10
HB:t=2759,m=S,run=1,el=24,er=25,yaw=-1.1,yr=0.9,pc=10,hd=0,OL=10,OR=10
HB:t=2882,m=S,run=1,el=124,er=124,yaw=-1.0,yr=0.8,pc=9,hd=0,OL=9,OR=9
HB:t=2886,m=S,run=1,el=19,er=18,yaw=-1.0,yr=0.8,pc=9,hd=0,OL=9,OR=9
HB:t=2936,m=S,run=1,el=43,er=44,yaw=-1.0,yr=1.0,pc=10,hd=0,OL=10,OR=10
HB:t=2976,m=S,run=1,el=11,er=11,yaw=-0.9,yr=1.5,pc=10,hd=0,OL=10,OR=10
HB:t=2976,m=S,run=1,el=31,er=32,yaw=-0.9,yr=1.5,pc=10,hd=0,OL=10,OR=10
HB:t=3100,m=S,run=1,el=122,er=122,yaw=-0.9,yr=1.3,pc=9,hd=0,OL=9,OR=9
HB:t=3103,m=S,run=1,el=19,er=19,yaw=-0.9,yr=1.3,pc=9,hd=0,OL=9,OR=9
HB:t=3154,m=S,run=1,el=40,er=40,yaw=-1.0,yr=0.8,pc=10,hd=0,OL=10,OR=10
HB:t=3194,m=S,run=1,el=12,er=12,yaw=-1.0,yr=0.3,pc=10,hd=0,OL=10,OR=10
HB:t=3195,m=S,run=1,el=29,er=29,yaw=-1.0,yr=0.3,pc=10,hd=0,OL=10,OR=10
HB:t=3352,m=S,run=1,el=124,er=123,yaw=-1.0,yr=0.3,pc=9,hd=0,OL=9,OR=9
HB:t=3352,m=S,run=1,el=58,er=56,yaw=-1.0,yr=0.3,pc=9,hd=0,OL=9,OR=9
HB:t=3388,m=S,run=1,el=11,er=11,yaw=-0.9,yr=0.9,pc=10,hd=0,OL=10,OR=10
HB:t=3392,m=S,run=1,el=1,er=0,yaw=-0.9,yr=0.9,pc=11,hd=0,OL=11,OR=11
HB:t=3513,m=S,run=1,el=134,er=133,yaw=-0.9,yr=0.8,pc=9,hd=0,OL=9,OR=9
HB:t=3521,m=S,run=1,el=7,er=7,yaw=-0.9,yr=0.8,pc=10,hd=0,OL=10,OR=10
HB:t=3593,m=S,run=1,el=79,er=81,yaw=-1.0,yr=-0.0,pc=9,hd=0,OL=9,OR=9
HB:t=3713,m=S,run=1,el=124,er=125,yaw=-1.0,yr=-0.1,pc=8,hd=0,OL=8,OR=8
HB:t=3721,m=S,run=1,el=6,er=6,yaw=-1.0,yr=-0.1,pc=9,hd=0,OL=9,OR=9
HB:t=3767,m=S,run=1,el=42,er=41,yaw=-1.0,yr=-0.1,pc=10,hd=0,OL=10,OR=10
HB:t=3802,m=S,run=1,el=11,er=11,yaw=-1.0,yr=-0.0,pc=11,hd=0,OL=11,OR=11
HB:t=3925,m=S,run=1,el=121,er=120,yaw=-1.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=3929,m=S,run=1,el=4,er=4,yaw=-1.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=3979,m=S,run=1,el=46,er=45,yaw=-1.0,yr=-0.1,pc=10,hd=0,OL=10,OR=10
HB:t=4019,m=S,run=1,el=11,er=11,yaw=-1.0,yr=-0.4,pc=10,hd=0,OL=10,OR=10
HB:t=4019,m=S,run=1,el=24,er=25,yaw=-1.0,yr=-0.4,pc=10,hd=0,OL=10,OR=10
HB:t=4142,m=S,run=1,el=125,er=126,yaw=-1.1,yr=-0.4,pc=9,hd=0,OL=9,OR=9
HB:t=4146,m=S,run=1,el=18,er=18,yaw=-1.1,yr=-0.4,pc=9,hd=0,OL=9,OR=9
HB:t=4216,m=S,run=1,el=67,er=65,yaw=-1.1,yr=-0.6,pc=10,hd=0,OL=10,OR=10
HB:t=4336,m=S,run=1,el=124,er=121,yaw=-1.1,yr=-0.5,pc=9,hd=0,OL=9,OR=9
HB:t=4345,m=S,run=1,el=2,er=2,yaw=-1.1,yr=-0.5,pc=10,hd=0,OL=10,OR=10
HB:t=4390,m=S,run=1,el=48,er=48,yaw=-1.1,yr=-0.2,pc=10,hd=0,OL=10,OR=10
HB:t=4431,m=S,run=1,el=12,er=12,yaw=-1.0,yr=0.2,pc=10,hd=0,OL=10,OR=10
HB:t=4431,m=S,run=1,el=26,er=26,yaw=-1.0,yr=0.2,pc=10,hd=0,OL=10,OR=10
HB:t=4554,m=S,run=1,el=127,er=127,yaw=-1.0,yr=0.2,pc=9,hd=0,OL=9,OR=9
HB:t=4558,m=S,run=1,el=19,er=19,yaw=-1.0,yr=0.2,pc=9,hd=0,OL=9,OR=9
HB:t=4624,m=S,run=1,el=65,er=63,yaw=-1.0,yr=0.1,pc=10,hd=0,OL=10,OR=10
HB:t=4748,m=S,run=1,el=125,er=124,yaw=-1.0,yr=0.1,pc=9,hd=0,OL=9,OR=9
HB:t=4756,m=S,run=1,el=1,er=1,yaw=-1.0,yr=0.1,pc=10,hd=0,OL=10,OR=10
HB:t=4823,m=S,run=1,el=72,er=73,yaw=-0.9,yr=0.7,pc=10,hd=0,OL=10,OR=10
HB:t=4948,m=S,run=1,el=123,er=121,yaw=-0.9,yr=0.7,pc=9,hd=0,OL=9,OR=9
HB:t=4956,m=S,run=1,el=0,er=0,yaw=-0.9,yr=0.7,pc=10,hd=0,OL=10,OR=10
HB:t=5006,m=S,run=1,el=55,er=54,yaw=-0.9,yr=0.7,pc=10,hd=0,OL=10,OR=10
HB:t=5041,m=S,run=1,el=12,er=12,yaw=-0.8,yr=0.8,pc=11,hd=0,OL=11,OR=11
HB:t=5164,m=S,run=1,el=127,er=124,yaw=-0.8,yr=0.6,pc=9,hd=0,OL=9,OR=9
HB:t=5168,m=S,run=1,el=18,er=19,yaw=-0.8,yr=0.6,pc=9,hd=0,OL=9,OR=9
HB:t=5238,m=S,run=1,el=69,er=69,yaw=-0.7,yr=1.4,pc=10,hd=0,OL=10,OR=10
HB:t=5358,m=S,run=1,el=130,er=127,yaw=-0.7,yr=1.3,pc=9,hd=0,OL=9,OR=9
HB:t=5367,m=S,run=1,el=1,er=1,yaw=-0.7,yr=1.3,pc=10,hd=0,OL=10,OR=10
HB:t=5412,m=S,run=1,el=53,er=52,yaw=-0.7,yr=1.1,pc=10,hd=0,OL=10,OR=10
HB:t=5453,m=S,run=1,el=12,er=11,yaw=-0.6,yr=1.5,pc=10,hd=0,OL=10,OR=10
HB:t=5453,m=S,run=1,el=30,er=29,yaw=-0.6,yr=1.5,pc=10,hd=0,OL=10,OR=10
HB:t=5576,m=S,run=1,el=126,er=127,yaw=-0.6,yr=1.3,pc=9,hd=0,OL=9,OR=9
HB:t=5580,m=S,run=1,el=2,er=2,yaw=-0.6,yr=1.3,pc=10,hd=0,OL=10,OR=10
HB:t=5650,m=S,run=1,el=72,er=71,yaw=-0.5,yr=1.5,pc=10,hd=0,OL=10,OR=10
HB:t=5771,m=S,run=1,el=119,er=123,yaw=-0.5,yr=1.3,pc=9,hd=0,OL=9,OR=9
HB:t=5779,m=S,run=1,el=8,er=7,yaw=-0.5,yr=1.3,pc=10,hd=0,OL=10,OR=10
HB:t=5825,m=S,run=1,el=41,er=34,yaw=-0.5,yr=1.3,pc=10,hd=0,OL=10,OR=10
