t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
207,S,1,71,64,2.7,0.0,1,0,1,1,0,0.00
207,S,1,101,93,2.7,0.0,1,-1,0,2,0,0.00
326,S,1,25,102,3.8,1.5,2,-1,1,3,0,0.00
334,S,1,0,1,3.8,1.5,4,-1,3,5,0,0.00
380,S,1,30,42,3.9,2.2,5,-2,3,7,0,0.00
415,S,1,8,9,4.1,3.3,5,-2,3,7,0,0.00
538,S,1,106,102,4.9,3.9,6,-2,4,8,0,0.00
542,S,1,17,16,4.9,3.9,6,-2,4,8,0,0.00
613,S,1,58,59,7.4,20.8,8,-4,4,12,0,0.00
732,S,1,112,152,8.4,19.1,8,-5,3,13,0,0.00
741,S,1,4,6,8.4,19.1,10,-4,6,14,0,0.00
807,S,1,47,106,9.1,21.4,10,-5,5,15,0,0.00
932,S,1,70,129,10.2,19.7,9,-6,3,15,0,0.00
940,S,1,3,6,10.2,19.7,10,-6,4,16,0,0.00
986,S,1,31,53,10.1,16.2,10,-6,4,16,0,0.00
1027,S,1,8,14,7.2,-6.4,11,-6,5,17,0,0.00
1027,S,1,28,45,7.2,-6.4,11,-4,7,15,0,0.00
1150,S,1,98,167,5.3,-7.9,9,-4,5,13,0,0.00
1153,S,1,16,27,5.3,-7.9,9,-4,5,13,0,0.00
1204,S,1,35,58,3.9,-16.4,10,-3,7,13,0,0.00
1243,S,1,10,16,0.3,-39.3,10,-3,7,13,0,0.00
1243,S,1,25,41,0.3,-39.3,10,-1,9,11,0,0.00
1366,S,1,101,151,-2.9,-38.0,9,0,9,9,0,0.00
1370,S,1,0,0,-2.9,-38.0,11,0,11,11,0,0.00
1420,S,1,42,57,-4.3,-42.7,10,0,10,10,0,0.00
1455,S,1,9,13,-7.9,-61.5,10,1,11,9,0,0.00
1578,S,1,114,120,-8.8,-54.1,9,6,15,3,0,0.00
1582,S,1,19,18,-8.8,-54.1,9,3,12,6,0,0.00
1632,S,1,42,38,-9.7,-52.4,10,3,13,7,0,0.00
1672,S,1,12,11,-10.6,-51.9,10,4,14,6,0,0.00
1672,S,1,33,27,-10.6,-51.9,10,4,14,6,0,0.00
1795,S,1,145,110,-10.2,-44.1,9,7,16,2,0,0.00
1799,S,1,2,1,-10.2,-44.1,10,4,14,6,0,0.00
1849,S,1,61,43,-9.7,-34.2,10,4,14,6,0,0.00
1905,S,1,14,10,-6.1,-4.2,10,4,14,6,0,0.00
1905,S,1,58,39,-6.1,-4.2,10,2,12,8,0,0.00
2023,S,1,154,106,-4.5,-1.6,9,3,12,6,0,0.00
