HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=122,m=S,run=1,el=33,er=34,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=126,m=S,run=1,el=2,er=2,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=224,m=S,run=1,el=52,er=52,yaw=-0.0,yr=-0.2,pc=3,hd=0,OL=3,OR=3
HB:t=342,m=S,run=1,el=73,er=74,yaw=-0.1,yr=-0.2,pc=3,hd=0,OL=3,OR=3
HB:t=351,m=S,run=1,el=2,er=2,yaw=-0.1,yr=-0.2,pc=4,hd=0,OL=4,OR=4
HB:t=396,m=S,run=1,el=31,er=31,yaw=-0.1,yr=-0.3,pc=6,hd=0,OL=6,OR=6
HB:t=437,m=S,run=1,el=8,er=7,yaw=-0.1,yr=-0.6,pc=6,hd=0,OL=6,OR=6
HB:t=437,m=S,run=1,el=16,er=17,yaw=-0.1,yr=-0.6,pc=7,hd=0,OL=7,OR=7
HB:t=559,m=S,run=1,el=78,er=79,yaw=-0.2,yr=-0.6,pc=8,hd=0,OL=8,OR=8
HB:t=563,m=S,run=1,el=12,er=12,yaw=-0.2,yr=-0.6,pc=8,hd=0,OL=8,OR=8
HB:t=613,m=S,run=1,el=28,er=28,yaw=-0.2,yr=-0.5,pc=10,hd=0,OL=10,OR=10
HB:t=653,m=S,run=1,el=7,er=7,yaw=-0.2,yr=-0.5,pc=11,hd=0,OL=11,OR=11
HB:t=653,m=S,run=1,el=22,er=23,yaw=-0.2,yr=-0.5,pc=12,hd=0,OL=12,OR=12
HB:t=776,m=S,run=1,el=107,er=105,yaw=-0.2,yr=-0.5,pc=10,hd=0,OL=10,OR=10
HB:t=780,m=S,run=1,el=18,er=18,yaw=-0.2,yr=-0.5,pc=10,hd=0,OL=10,OR=10
HB:t=851,m=S,run=1,el=62,er=60,yaw=-0.1,yr=-0.1,pc=10,hd=0,OL=10,OR=10
HB:t=971,m=S,run=1,el=121,er=121,yaw=-0.1,yr=-0.0,pc=9,hd=0,OL=9,OR=9
HB:t=979,m=S,run=1,el=5,er=5,yaw=-0.1,yr=-0.0,pc=10,hd=0,OL=10,OR=10
HB:t=1025,m=S,run=1,el=44,er=43,yaw=-0.1,yr=-0.1,pc=10,hd=0,OL=10,OR=10
HB:t=1065,m=S,run=1,el=11,er=11,yaw=-0.2,yr=-0.6,pc=11,hd=0,OL=11,OR=11
HB:t=1065,m=S,run=1,el=34,er=33,yaw=-0.2,yr=-0.6,pc=11,hd=0,OL=11,OR=11
HB:t=1188,m=S,run=1,el=129,er=128,yaw=-0.1,yr=-0.4,pc=9,hd=0,OL=9,OR=9
HB:t=1192,m=S,run=1,el=20,er=19,yaw=-0.1,yr=-0.4,pc=10,hd=0,OL=10,OR=10
HB:t=1258,m=S,run=1,el=64,er=61,yaw=-0.0,yr=0.4,pc=10,hd=0,OL=10,OR=10
HB:t=1382,m=S,run=1,el=130,er=130,yaw=-0.0,yr=0.4,pc=9,hd=0,OL=9,OR=9
HB:t=1390,m=S,run=1,el=4,er=4,yaw=-0.0,yr=0.4,pc=10,hd=0,OL=10,OR=10
HB:t=1436,m=S,run=1,el=46,er=47,yaw=0.0,yr=0.4,pc=10,hd=0,OL=10,OR=10
HB:t=1477,m=S,run=1,el=11,er=11,yaw=0.1,yr=0.9,pc=10,hd=0,OL=10,OR=10
HB:t=1477,m=S,run=1,el=24,er=25,yaw=0.1,yr=0.9,pc=10,hd=0,OL=10,OR=10
HB:t=1599,m=S,run=1,el=118,er=117,yaw=0.1,yr=0.8,pc=9,hd=0,OL=9,OR=9
