t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
184,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
184,S,1,21,23,0.0,0.0,2,0,2,2,0,0.00
322,S,1,52,51,0.0,0.0,3,0,3,3,0,0.00
325,S,1,9,9,0.0,0.0,3,0,3,3,0,0.00
381,S,1,24,23,-0.0,-0.1,5,0,5,5,0,0.00
526,S,1,78,75,0.1,-0.0,5,0,5,5,0,0.00
527,S,1,15,15,0.1,-0.0,6,0,6,6,0,0.00
606,S,1,48,47,0.2,0.9,8,0,8,8,0,0.00
724,S,1,84,82,0.2,0.9,9,0,9,9,0,0.00
732,S,1,6,6,0.2,0.9,10,0,10,10,0,0.00
778,S,1,34,33,0.3,0.8,11,0,11,11,0,0.00
818,S,1,10,10,0.3,1.1,11,0,11,11,0,0.00
819,S,1,29,27,0.3,1.1,11,0,11,11,0,0.00
942,S,1,122,120,0.3,1.0,10,0,10,10,0,0.00
945,S,1,20,20,0.3,1.0,10,0,10,10,0,0.00
996,S,1,39,40,0.4,1.4,10,0,10,10,0,0.00
1037,S,1,12,11,0.5,2.1,10,0,10,10,0,0.00
1037,S,1,33,32,0.5,2.1,10,0,10,10,0,0.00
1160,S,1,125,123,0.5,1.8,9,0,9,9,0,0.00
1163,S,1,0,0,0.5,1.8,11,0,11,11,0,0.00
1214,S,1,51,51,0.6,2.2,11,0,11,11,0,0.00
1254,S,1,13,12,0.7,2.7,10,0,10,10,0,0.00
1254,S,1,28,29,0.7,2.7,10,0,10,10,0,0.00
1377,S,1,125,124,0.7,2.3,9,-1,8,10,0,0.00
1381,S,1,3,4,0.7,2.3,10,0,10,10,0,0.00
1431,S,1,46,44,0.7,2.0,10,0,10,10,0,0.00
1466,S,1,12,10,0.7,1.7,10,0,10,10,0,0.00
1589,S,1,117,117,0.8,1.5,9,-1,8,10,0,0.00
1593,S,1,1,2,0.8,1.5,11,0,11,11,0,0.00
1643,S,1,48,48,0.8,1.7,11,-1,10,12,0,0.00
1683,S,1,12,12,0.9,2.3,11,-1,10,12,0,0.00
1683,S,1,27,28,0.9,2.3,10,-1,9,11,0,0.00
1806,S,1,126,130,0.9,2.0,9,-1,8,10,0,0.00
1810,S,1,18,20,0.9,2.0,9,-1,8,10,0,0.00
1880,S,1,67,72,0.4,-1.8,10,0,10,10,0,0.00
2000,S,1,129,132,0.2,-1.9,9,0,9,9,0,0.00
2009,S,1,0,0,0.2,-1.9,11,0,11,11,0,0.00
2054,S,1,52,55,0.1,-2.1,11,0,11,11,0,0.00
2093,S,1,12,12,-0.1,-3.3,10,0,10,10,0,0.00
2093,S,1,28,28,-0.1,-3.3,10,0,10,10,0,0.00
2216,S,1,128,131,-0.2,-3.0,9,0,9,9,0,0.00
2220,S,1,19,20,-0.2,-3.0,9,0,9,9,0,0.00
2270,S,1,45,47,-0.3,-3.3,10,0,10,10,0,0.00
2305,S,1,12,11,-0.6,-4.9,11,0,11,11,0,0.00
2428,S,1,124,126,-0.7,-4.3,9,0,9,9,0,0.00
2432,S,1,3,3,-0.7,-4.3,10,0,10,10,0,0.00
2482,S,1,49,47,-0.8,-4.2,10,0,10,10,0,0.00
2522,S,1,12,12,-0.8,-4.2,10,0,10,10,0,0.00
2522,S,1,25,25,-0.8,-4.2,10,0,10,10,0,0.00
2645,S,1,126,126,-0.8,-3.6,9,1,10,8,0,0.00
2649,S,1,19,19,-0.8,-3.6,9,0,9,9,0,0.00
2699,S,1,46,46,-0.9,-3.4,10,0,10,10,0,0.00
2739,S,1,12,13,-1.1,-4.1,11,0,11,11,0,0.00
2739,S,1,33,35,-1.1,-4.1,11,0,11,11,0,0.00
2897,S,1,133,135,-1.2,-3.7,9,1,10,8,0,0.00
2897,S,1,64,58,-1.2,-3.7,9,1,10,8,0,0.00
2933,S,1,13,10,-1.2,-3.7,10,1,11,9,0,0.00
2937,S,1,28,26,-1.2,-3.7,10,1,11,9,0,0.00
3061,S,1,134,128,-1.2,-3.1,9,1,10,8,0,0.00
3065,S,1,20,19,-1.2,-3.1,9,1,10,8,0,0.00
3115,S,1,40,40,-1.1,-1.9,10,1,11,9,0,0.00
3156,S,1,11,11,-0.8,0.4,10,1,11,9,0,0.00
3156,S,1,30,30,-0.8,0.4,10,0,10,10,0,0.00
3279,S,1,119,123,-0.6,0.6,9,0,9,9,0,0.00
3282,S,1,1,1,-0.6,0.6,11,0,11,11,0,0.00
3333,S,1,49,46,-0.5,1.3,10,0,10,10,0,0.00
3372,S,1,12,11,-0.3,2.4,10,0,10,10,0,0.00
3372,S,1,26,24,-0.3,2.4,10,0,10,10,0,0.00
3490,S,1,126,121,-0.1,2.2,9,0,9,9,0,0.00
3499,S,1,13,13,-0.1,2.2,9,0,9,9,0,0.00
3544,S,1,50,49,-0.1,2.3,10,0,10,10,0,0.00
3584,S,1,11,11,0.2,4.0,10,0,10,10,0,0.00
3584,S,1,28,26,0.2,4.0,10,0,10,10,0,0.00
3706,S,1,127,126,0.3,3.6,9,0,9,9,0,0.00
3711,S,1,4,4,0.3,3.6,10,0,10,10,0,0.00
3760,S,1,48,47,0.4,3.6,10,0,10,10,0,0.00
3800,S,1,11,11,0.5,4.1,11,0,11,11,0,0.00
3800,S,1,36,35,0.5,4.1,11,0,11,11,0,0.00
3957,S,1,134,132,0.7,3.7,9,0,9,9,0,0.00
3958,S,1,62,61,0.7,3.7,9,0,9,9,0,0.00
3993,S,1,27,27,1.0,5.2,10,0,10,10,0,0.00
4122,S,1,132,131,1.0,4.6,9,-1,8,10,0,0.00
4125,S,1,19,20,1.0,4.6,9,-1,8,10,0,0.00
4176,S,1,40,42,1.1,4.2,10,-1,9,11,0,0.00
4217,S,1,11,12,1.0,3.5,10,-1,9,11,0,0.00
4217,S,1,30,30,1.0,3.5,10,-1,9,11,0,0.00
4340,S,1,119,123,0.9,2.8,9,-1,8,10,0,0.00
4343,S,1,1,0,0.9,2.8,11,-1,10,12,0,0.00
4394,S,1,50,51,0.8,1.9,11,0,11,11,0,0.00
4433,S,1,12,12,0.7,0.6,10,-1,9,11,0,0.00
4433,S,1,27,28,0.7,0.6,10,0,10,10,0,0.00
4556,S,1,129,128,0.6,0.4,9,0,9,9,0,0.00
4560,S,1,19,19,0.6,0.4,9,0,9,9,0,0.00
4610,S,1,49,48,0.5,-0.1,10,0,10,10,0,0.00
4645,S,1,12,12,0.5,-0.4,11,0,11,11,0,0.00
4768,S,1,128,129,0.4,-0.4,9,0,9,9,0,0.00
4772,S,1,3,2,0.4,-0.4,10,0,10,10,0,0.00
4822,S,1,50,49,0.4,-0.3,10,0,10,10,0,0.00
4862,S,1,12,12,0.5,0.2,10,0,10,10,0,0.00
4862,S,1,27,25,0.5,0.2,10,0,10,10,0,0.00
4985,S,1,128,127,0.6,0.3,9,0,9,9,0,0.00
4989,S,1,19,18,0.6,0.3,9,0,9,9,0,0.00
5039,S,1,45,45,0.6,0.5,10,0,10,10,0,0.00
5079,S,1,11,12,0.7,0.8,11,0,11,11,0,0.00
5079,S,1,34,34,0.7,0.8,11,0,11,11,0,0.00
5202,S,1,131,130,0.7,0.7,9,-1,8,10,0,0.00
5206,S,1,20,20,0.7,0.7,9,0,9,9,0,0.00
5277,S,1,70,68,0.8,1.3,10,-1,9,11,0,0.00
5397,S,1,129,128,0.8,1.2,8,-1,7,9,0,0.00
5405,S,1,4,5,0.8,1.2,10,-1,9,11,0,0.00
5451,S,1,46,50,0.8,0.9,10,-1,9,11,0,0.00
5487,S,1,11,12,0.7,0.4,10,-1,9,11,0,0.00
5610,S,1,123,130,0.6,0.2,9,-1,8,10,0,0.00
5613,S,1,0,1,0.6,0.2,11,0,11,11,0,0.00
5664,S,1,51,50,0.5,-0.7,10,0,10,10,0,0.00
5704,S,1,11,11,0.0,-4.0,10,0,10,10,0,0.00
5704,S,1,28,28,0.0,-4.0,10,0,10,10,0,0.00
5827,S,1,125,127,-0.2,-3.7,9,0,9,9,0,0.00
5831,S,1,4,4,-0.2,-3.7,10,0,10,10,0,0.00
5881,S,1,46,47,-0.3,-3.8,10,0,10,10,0,0.00
5921,S,1,11,11,-0.3,-3.8,10,0,10,10,0,0.00
5922,S,1,24,24,-0.3,-3.8,10,0,10,10,0,0.00
6044,S,1,120,124,-0.5,-3.4,9,0,9,9,0,0.00
6048,S,1,18,18,-0.5,-3.4,9,0,9,9,0,0.00
6098,S,1,43,43,-0.5,-3.4,10,0,10,10,0,0.00
6138,S,1,11,12,-0.8,-4.7,11,0,11,11,0,0.00
6138,S,1,32,33,-0.8,-4.7,10,0,10,10,0,0.00
6262,S,1,129,127,-0.9,-4.1,9,0,9,9,0,0.00
6265,S,1,19,19,-0.9,-4.1,9,0,9,9,0,0.00
6316,S,1,42,43,-0.9,-4.0,10,0,10,10,0,0.00
6356,S,1,11,12,-0.9,-3.1,10,0,10,10,0,0.00
6357,S,1,30,31,-0.9,-3.1,10,0,10,10,0,0.00
6480,S,1,127,126,-0.9,-2.7,9,0,9,9,0,0.00
6483,S,1,0,1,-0.9,-2.7,11,0,11,11,0,0.00
6534,S,1,52,54,-0.9,-2.3,10,0,10,10,0,0.00
6591,S,1,12,12,-1.0,-2.9,10,0,10,10,0,0.00
6591,S,1,49,50,-1.0,-2.9,10,0,10,10,0,0.00
6709,S,1,125,126,-1.0,-2.5,9,1,10,8,0,0.00
6718,S,1,1,1,-1.0,-2.5,11,0,11,11,0,0.00
6758,S,1,43,43,-1.0,-2.2,10,0,10,10,0,0.00
6798,S,1,12,12,-1.0,-1.4,11,0,11,11,0,0.00
6799,S,1,33,33,-1.0,-1.4,11,0,11,11,0,0.00
6922,S,1,130,129,-0.9,-1.1,9,1,10,8,0,0.00
6925,S,1,20,20,-0.9,-1.1,9,0,9,9,0,0.00
6976,S,1,43,44,-0.9,-1.1,10,0,10,10,0,0.00
7016,S,1,11,12,-1.0,-1.3,10,0,10,10,0,0.00
7016,S,1,30,30,-1.0,-1.3,10,0,10,10,0,0.00
7139,S,1,124,124,-1.0,-1.1,9,1,10,8,0,0.00
7143,S,1,1,0,-1.0,-1.1,11,0,11,11,0,0.00
7193,S,1,50,49,-1.0,-1.2,10,1,11,9,0,0.00
7233,S,1,13,11,-0.9,-0.3,10,1,11,9,0,0.00
7233,S,1,27,26,-0.9,-0.3,10,0,10,10,0,0.00
7356,S,1,126,120,-0.8,-0.2,9,0,9,9,0,0.00
7360,S,1,18,17,-0.8,-0.2,9,0,9,9,0,0.00
7410,S,1,44,41,-0.7,1.0,10,0,10,10,0,0.00
7446,S,1,12,11,-0.3,3.2,11,0,11,11,0,0.00
7603,S,1,127,130,-0.2,2.9,9,0,9,9,0,0.00
7603,S,1,60,59,-0.2,2.9,9,0,9,9,0,0.00
7639,S,1,11,11,-0.4,1.2,10,0,10,10,0,0.00
7643,S,1,1,1,-0.4,1.2,11,0,11,11,0,0.00
7768,S,1,128,128,-0.4,1.0,9,0,9,9,0,0.00
7772,S,1,2,2,-0.4,1.0,10,0,10,10,0,0.00
7822,S,1,45,48,-0.4,1.0,10,0,10,10,0,0.00
7863,S,1,11,11,-0.4,0.7,10,0,10,10,0,0.00
7863,S,1,25,25,-0.4,0.7,10,0,10,10,0,0.00
7986,S,1,117,120,-0.4,0.6,9,0,9,9,0,0.00
7989,S,1,19,19,-0.4,0.6,9,0,9,9,0,0.00
8060,S,1,67,66,-0.7,-1.2,10,0,10,10,0,0.00
