t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
180,S,1,33,36,0.0,0.0,2,0,2,2,0,0.00
181,S,1,41,41,0.0,0.0,3,0,3,3,0,0.00
343,S,1,100,101,-0.1,-0.3,3,0,3,3,0,0.00
346,S,1,14,14,-0.1,-0.3,4,0,4,4,0,0.00
397,S,1,28,29,-0.2,-0.7,5,0,5,5,0,0.00
527,S,1,86,90,-0.3,-0.8,6,0,6,6,0,0.00
527,S,1,18,17,-0.3,-0.8,7,0,7,7,0,0.00
586,S,1,8,8,-0.4,-1.2,8,0,8,8,0,0.00
586,S,1,36,39,-0.4,-1.2,9,0,9,9,0,0.00
727,S,1,101,104,-0.5,-1.1,9,0,9,9,0,0.00
727,S,1,20,20,-0.5,-1.1,10,0,10,10,0,0.00
786,S,1,10,10,-0.6,-1.7,11,0,11,11,0,0.00
786,S,1,45,46,-0.6,-1.7,11,0,11,11,0,0.00
966,S,1,132,133,-1.0,-1.9,9,1,10,8,0,0.00
966,S,1,70,67,-1.0,-1.9,9,1,10,8,0,0.00
1002,S,1,11,11,-1.1,-2.5,10,1,11,9,0,0.00
1120,S,1,117,117,-1.1,-2.1,9,1,10,8,0,0.00
1129,S,1,1,2,-1.1,-2.1,11,1,12,10,0,0.00
1174,S,1,49,46,-1.0,-1.6,11,1,12,10,0,0.00
1214,S,1,13,12,-0.7,1.1,10,1,11,9,0,0.00
1214,S,1,27,26,-0.7,1.1,10,0,10,10,0,0.00
1337,S,1,126,122,-0.6,1.1,9,0,9,9,0,0.00
1341,S,1,19,19,-0.6,1.1,9,0,9,9,0,0.00
1391,S,1,47,46,-0.5,1.6,10,0,10,10,0,0.00
1431,S,1,12,11,-0.3,2.3,11,0,11,11,0,0.00
1431,S,1,37,36,-0.3,2.3,11,0,11,11,0,0.00
1554,S,1,136,131,-0.2,2.2,9,0,9,9,0,0.00
1558,S,1,21,21,-0.2,2.2,9,0,9,9,0,0.00
1608,S,1,46,44,-0.1,2.5,10,0,10,10,0,0.00
1649,S,1,13,12,0.3,4.6,10,0,10,10,0,0.00
1649,S,1,32,32,0.3,4.6,10,0,10,10,0,0.00
1772,S,1,127,126,0.4,4.1,9,-1,8,10,0,0.00
1775,S,1,20,20,0.4,4.1,9,0,9,9,0,0.00
1826,S,1,39,39,0.4,3.9,10,0,10,10,0,0.00
1865,S,1,27,26,0.6,4.6,10,0,10,10,0,0.00
1988,S,1,121,116,0.7,4.1,9,-1,8,10,0,0.00
1992,S,1,3,4,0.7,4.1,10,0,10,10,0,0.00
2042,S,1,45,43,0.7,4.0,11,-1,10,12,0,0.00
2077,S,1,11,12,0.9,4.7,10,-1,9,11,0,0.00
2200,S,1,125,128,1.0,4.1,9,-1,8,10,0,0.00
2204,S,1,2,3,1.0,4.1,10,-1,9,11,0,0.00
2254,S,1,50,55,1.0,3.4,10,-1,9,11,0,0.00
2294,S,1,12,13,0.7,1.2,10,-1,9,11,0,0.00
2294,S,1,27,29,0.7,1.2,10,0,10,10,0,0.00
2417,S,1,132,126,0.6,0.8,9,0,9,9,0,0.00
2421,S,1,19,19,0.6,0.8,9,0,9,9,0,0.00
2471,S,1,45,46,0.4,-0.2,10,0,10,10,0,0.00
2511,S,1,11,12,0.4,-0.7,11,0,11,11,0,0.00
2511,S,1,35,35,0.4,-0.7,11,0,11,11,0,0.00
2634,S,1,131,135,0.3,-0.6,9,0,9,9,0,0.00
2638,S,1,20,21,0.3,-0.6,9,0,9,9,0,0.00
2688,S,1,44,44,0.3,-0.7,10,0,10,10,0,0.00
2728,S,1,12,12,0.2,-1.7,10,0,10,10,0,0.00
2729,S,1,32,33,0.2,-1.7,10,0,10,10,0,0.00
2852,S,1,122,123,0.1,-1.6,9,0,9,9,0,0.00
2855,S,1,18,18,0.1,-1.6,9,0,9,9,0,0.00
2906,S,1,36,38,0.0,-1.7,10,0,10,10,0,0.00
2946,S,1,11,11,-0.1,-2.4,10,0,10,10,0,0.00
2946,S,1,26,27,-0.1,-2.4,11,0,11,11,0,0.00
3069,S,1,124,124,-0.1,-2.1,9,0,9,9,0,0.00
3073,S,1,3,2,-0.1,-2.1,10,0,10,10,0,0.00
3123,S,1,50,50,-0.2,-1.8,10,0,10,10,0,0.00
3159,S,1,12,12,-0.3,-2.6,10,0,10,10,0,0.00
3282,S,1,126,128,-0.4,-2.3,9,0,9,9,0,0.00
3285,S,1,19,19,-0.4,-2.3,9,0,9,9,0,0.00
3336,S,1,39,39,-0.4,-2.3,10,0,10,10,0,0.00
3377,S,1,11,12,-0.5,-2.7,10,0,10,10,0,0.00
