HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=206,m=S,run=1,el=27,er=35,yaw=0.1,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=206,m=S,run=1,el=59,er=53,yaw=0.1,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=325,m=S,run=1,el=78,er=75,yaw=0.4,yr=0.3,pc=3,hd=0,OL=3,OR=3
HB:t=333,m=S,run=1,el=6,er=6,yaw=0.4,yr=0.3,pc=3,hd=0,OL=3,OR=3
HB:t=379,m=S,run=1,el=30,er=28,yaw=0.4,yr=0.7,pc=5,hd=0,OL=5,OR=5
HB:t=414,m=S,run=1,el=8,er=7,yaw=0.8,yr=3.0,pc=5,hd=0,OL=5,OR=5
HB:t=537,m=S,run=1,el=90,er=84,yaw=0.9,yr=2.7,pc=6,hd=-1,OL=5,OR=7
HB:t=541,m=S,run=1,el=14,er=12,yaw=0.9,yr=2.7,pc=7,hd=0,OL=7,OR=7
HB:t=591,m=S,run=1,el=32,er=29,yaw=1.0,yr=3.2,pc=9,hd=-1,OL=8,OR=10
HB:t=631,m=S,run=1,el=8,er=9,yaw=1.4,yr=5.7,pc=10,hd=-1,OL=9,OR=11
HB:t=631,m=S,run=1,el=24,er=24,yaw=1.4,yr=5.7,pc=11,hd=-1,OL=10,OR=12
HB:t=754,m=S,run=1,el=106,er=110,yaw=1.6,yr=5.1,pc=10,hd=-1,OL=9,OR=11
HB:t=758,m=S,run=1,el=19,er=19,yaw=1.6,yr=5.1,pc=10,hd=-1,OL=9,OR=11
HB:t=808,m=S,run=1,el=40,er=44,yaw=1.7,yr=4.7,pc=10,hd=-1,OL=9,OR=11
HB:t=848,m=S,run=1,el=11,er=12,yaw=1.5,yr=2.7,pc=11,hd=-1,OL=10,OR=12
HB:t=848,m=S,run=1,el=29,er=33,yaw=1.5,yr=2.7,pc=10,hd=-1,OL=9,OR=11
HB:t=1006,m=S,run=1,el=119,er=130,yaw=0.9,yr=1.5,pc=9,hd=-1,OL=8,OR=10
HB:t=1007,m=S,run=1,el=53,er=58,yaw=0.9,yr=1.5,pc=9,hd=-1,OL=8,OR=10
HB:t=1042,m=S,run=1,el=20,er=20,yaw=0.1,yr=-4.0,pc=10,hd=0,OL=10,OR=10
HB:t=1170,m=S,run=1,el=124,er=128,yaw=-0.1,yr=-3.7,pc=10,hd=0,OL=10,OR=10
HB:t=1174,m=S,run=1,el=3,er=3,yaw=-0.1,yr=-3.7,pc=11,hd=0,OL=11,OR=11
HB:t=1224,m=S,run=1,el=50,er=52,yaw=-0.3,yr=-4.6,pc=11,hd=0,OL=11,OR=11
HB:t=1265,m=S,run=1,el=12,er=13,yaw=-0.7,yr=-6.4,pc=10,hd=0,OL=10,OR=10
HB:t=1265,m=S,run=1,el=27,er=29,yaw=-0.7,yr=-6.4,pc=10,hd=0,OL=10,OR=10
HB:t=1388,m=S,run=1,el=127,er=134,yaw=-0.8,yr=-5.8,pc=9,hd=1,OL=10,OR=8
HB:t=1391,m=S,run=1,el=20,er=20,yaw=-0.8,yr=-5.8,pc=9,hd=0,OL=9,OR=9
HB:t=1442,m=S,run=1,el=44,er=48,yaw=-1.0,yr=-6.1,pc=10,hd=0,OL=10,OR=10
