t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
185,S,1,36,39,-0.0,0.0,2,0,2,2,0,0.00
185,S,1,47,48,-0.0,0.0,3,0,3,3,0,0.00
366,S,1,76,80,-0.2,-0.2,3,0,3,3,0,0.00
366,S,1,49,49,-0.2,-0.2,5,0,5,5,0,0.00
402,S,1,8,8,-0.5,-2.1,6,0,6,6,0,0.00
520,S,1,88,89,-0.5,-1.9,7,0,7,7,0,0.00
528,S,1,9,10,-0.5,-1.9,7,0,7,7,0,0.00
574,S,1,27,29,-0.6,-2.0,9,0,9,9,0,0.00
615,S,1,9,9,-0.8,-3.4,10,0,10,10,0,0.00
615,S,1,21,23,-0.8,-3.4,11,0,11,11,0,0.00
738,S,1,108,111,-0.9,-3.1,11,1,12,10,0,0.00
741,S,1,2,1,-0.9,-3.1,12,1,13,11,0,0.00
813,S,1,77,75,-1.2,-4.5,11,1,12,10,0,0.00
966,S,1,141,133,-1.1,-3.7,9,1,10,8,0,0.00
966,S,1,59,52,-1.1,-3.7,10,1,11,9,0,0.00
1002,S,1,13,10,-0.7,-0.5,11,1,12,10,0,0.00
1006,S,1,30,27,-0.7,-0.5,11,0,11,11,0,0.00
1132,S,1,143,142,-0.6,-0.3,9,0,9,9,0,0.00
1140,S,1,10,9,-0.6,-0.3,10,0,10,10,0,0.00
1190,S,1,53,48,-0.5,0.5,10,0,10,10,0,0.00
1230,S,1,13,12,0.4,6.4,11,0,11,11,0,0.00
1230,S,1,27,24,0.4,6.4,11,0,11,11,0,0.00
1353,S,1,140,132,0.8,6.0,9,0,9,9,0,0.00
1357,S,1,21,21,0.8,6.0,9,0,9,9,0,0.00
1407,S,1,49,47,1.0,6.6,10,0,10,10,0,0.00
1447,S,1,13,13,1.5,9.4,11,0,11,11,0,0.00
1447,S,1,36,34,1.5,9.4,11,-1,10,12,0,0.00
1571,S,1,137,136,1.7,8.4,9,-1,8,10,0,0.00
1574,S,1,22,21,1.7,8.4,10,-1,9,11,0,0.00
1646,S,1,68,69,2.1,9.8,10,-1,9,11,0,0.00
1765,S,1,127,127,2.2,8.6,9,-2,7,11,0,0.00
1773,S,1,5,6,2.2,8.6,10,-1,9,11,0,0.00
1835,S,1,65,65,2.3,8.0,10,-1,9,11,0,0.00
1964,S,1,140,136,2.3,6.8,9,-2,7,11,0,0.00
1972,S,1,6,6,2.3,6.8,10,-1,9,11,0,0.00
2023,S,1,51,52,2.3,5.7,10,-1,9,11,0,0.00
2063,S,1,12,11,2.1,3.6,10,-1,9,11,0,0.00
2063,S,1,28,28,2.1,3.6,11,-1,10,12,0,0.00
2186,S,1,130,132,2.0,3.1,9,-1,8,10,0,0.00
2190,S,1,3,4,2.0,3.1,10,-1,9,11,0,0.00
2240,S,1,48,52,2.0,2.4,10,-1,9,11,0,0.00
2275,S,1,12,13,1.7,-0.2,10,-1,9,11,0,0.00
2432,S,1,123,136,1.1,-0.9,9,-1,8,10,0,0.00
2433,S,1,56,64,1.1,-0.9,10,-1,9,11,0,0.00
2468,S,1,20,21,0.2,-7.4,10,0,10,10,0,0.00
2597,S,1,128,133,-0.1,-6.6,10,0,10,10,0,0.00
2600,S,1,3,3,-0.1,-6.6,11,0,11,11,0,0.00
2672,S,1,74,77,-0.7,-10.1,10,0,10,10,0,0.00
2792,S,1,127,131,-0.9,-8.9,9,1,10,8,0,0.00
2801,S,1,8,8,-0.9,-8.9,10,0,10,10,0,0.00
