t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
180,S,1,34,38,0.0,0.0,2,0,2,2,0,0.00
181,S,1,38,39,0.0,0.0,3,0,3,3,0,0.00
342,S,1,92,92,0.0,0.1,3,0,3,3,0,0.00
346,S,1,1,1,0.0,0.1,5,0,5,5,0,0.00
396,S,1,33,33,-0.0,-0.2,6,0,6,6,0,0.00
561,S,1,87,85,-0.1,-0.3,6,0,6,6,0,0.00
561,S,1,47,46,-0.1,-0.3,8,0,8,8,0,0.00
597,S,1,8,8,-0.2,-0.4,9,0,9,9,0,0.00
756,S,1,103,104,-0.1,-0.3,10,0,10,10,0,0.00
757,S,1,52,53,-0.1,-0.3,11,0,11,11,0,0.00
792,S,1,20,20,-0.1,-0.4,11,0,11,11,0,0.00
957,S,1,139,139,-0.2,-0.4,10,0,10,10,0,0.00
957,S,1,66,66,-0.2,-0.4,10,0,10,10,0,0.00
993,S,1,12,12,-0.3,-1.4,10,0,10,10,0,0.00
997,S,1,1,1,-0.3,-1.4,12,0,12,12,0,0.00
1122,S,1,146,147,-0.4,-1.2,9,0,9,9,0,0.00
1126,S,1,1,1,-0.4,-1.2,11,0,11,11,0,0.00
1176,S,1,55,54,-0.4,-1.0,11,0,11,11,0,0.00
1217,S,1,13,13,-0.3,-0.5,11,0,11,11,0,0.00
1217,S,1,30,30,-0.3,-0.5,11,0,11,11,0,0.00
1340,S,1,140,137,-0.2,-0.3,9,0,9,9,0,0.00
1344,S,1,4,4,-0.2,-0.3,10,0,10,10,0,0.00
1415,S,1,74,74,-0.2,-0.3,10,0,10,10,0,0.00
1535,S,1,129,129,-0.2,-0.2,9,0,9,9,0,0.00
1543,S,1,14,13,-0.2,-0.2,10,0,10,10,0,0.00
1589,S,1,41,41,-0.2,-0.2,10,0,10,10,0,0.00
1624,S,1,12,11,-0.2,0.3,11,0,11,11,0,0.00
1747,S,1,128,128,-0.2,0.3,9,0,9,9,0,0.00
1751,S,1,20,20,-0.2,0.3,10,0,10,10,0,0.00
1801,S,1,46,46,-0.2,0.2,10,0,10,10,0,0.00
1841,S,1,12,12,-0.2,-0.2,11,0,11,11,0,0.00
1841,S,1,33,34,-0.2,-0.2,11,0,11,11,0,0.00
1964,S,1,132,131,-0.2,-0.2,9,0,9,9,0,0.00
1968,S,1,20,20,-0.2,-0.2,10,0,10,10,0,0.00
2018,S,1,42,41,-0.2,-0.1,10,0,10,10,0,0.00
2058,S,1,12,11,-0.1,0.7,11,0,11,11,0,0.00
2058,S,1,29,29,-0.1,0.7,11,0,11,11,0,0.00
2182,S,1,130,128,0.0,0.7,9,0,9,9,0,0.00
2185,S,1,2,1,0.0,0.7,11,0,11,11,0,0.00
2257,S,1,77,78,0.2,1.8,10,0,10,10,0,0.00
2376,S,1,127,126,0.1,1.5,9,0,9,9,0,0.00
2384,S,1,9,8,0.1,1.5,10,0,10,10,0,0.00
2446,S,1,59,58,0.1,1.0,10,0,10,10,0,0.00
2615,S,1,124,125,0.1,0.9,9,0,9,9,0,0.00
2615,S,1,57,58,0.1,0.9,10,0,10,10,0,0.00
2667,S,1,11,11,0.0,0.2,11,0,11,11,0,0.00
2667,S,1,36,33,0.0,0.2,11,0,11,11,0,0.00
2786,S,1,109,109,0.2,0.4,10,0,10,10,0,0.00
2794,S,1,8,9,0.2,0.4,10,0,10,10,0,0.00
2836,S,1,37,37,0.3,1.0,11,0,11,11,0,0.00
2876,S,1,12,11,0.3,1.3,11,0,11,11,0,0.00
2877,S,1,27,26,0.3,1.3,11,0,11,11,0,0.00
3034,S,1,126,126,0.3,1.1,9,0,9,9,0,0.00
3035,S,1,58,58,0.3,1.1,10,0,10,10,0,0.00
3070,S,1,18,18,0.5,1.9,11,0,11,11,0,0.00
3194,S,1,124,123,0.5,1.7,10,0,10,10,0,0.00
3202,S,1,14,13,0.5,1.7,10,0,10,10,0,0.00
3253,S,1,46,45,0.6,1.7,11,0,11,11,0,0.00
3294,S,1,12,12,0.6,1.8,11,0,11,11,0,0.00
3294,S,1,36,36,0.6,1.8,11,0,11,11,0,0.00
3417,S,1,129,130,0.6,1.5,10,0,10,10,0,0.00
3420,S,1,19,19,0.6,1.5,10,0,10,10,0,0.00
3471,S,1,42,43,0.6,1.2,10,0,10,10,0,0.00
3507,S,1,11,11,0.5,0.5,11,0,11,11,0,0.00
3664,S,1,124,124,0.5,0.4,10,0,10,10,0,0.00
3664,S,1,61,60,0.5,0.4,10,0,10,10,0,0.00
3700,S,1,11,12,0.4,-0.3,10,0,10,10,0,0.00
3704,S,1,4,3,0.4,-0.3,11,0,11,11,0,0.00
3828,S,1,130,132,0.4,-0.3,9,0,9,9,0,0.00
3833,S,1,18,19,0.4,-0.3,10,0,10,10,0,0.00
3903,S,1,67,68,0.3,-0.8,10,0,10,10,0,0.00
4025,S,1,126,124,0.3,-0.7,10,0,10,10,0,0.00
4033,S,1,14,13,0.3,-0.7,10,0,10,10,0,0.00
4079,S,1,41,41,0.3,-0.6,10,0,10,10,0,0.00
4119,S,1,11,12,0.3,-0.4,11,0,11,11,0,0.00
4120,S,1,29,29,0.3,-0.4,11,0,11,11,0,0.00
4242,S,1,128,129,0.3,-0.3,9,0,9,9,0,0.00
4246,S,1,1,1,0.3,-0.3,11,0,11,11,0,0.00
4296,S,1,50,52,0.3,-0.4,11,0,11,11,0,0.00
4336,S,1,12,12,0.2,-1.0,11,0,11,11,0,0.00
4336,S,1,27,28,0.2,-1.0,11,0,11,11,0,0.00
4494,S,1,127,128,-0.0,-1.2,9,0,9,9,0,0.00
4494,S,1,59,59,-0.0,-1.2,10,0,10,10,0,0.00
4530,S,1,11,11,-0.1,-1.9,10,0,10,10,0,0.00
4534,S,1,4,4,-0.1,-1.9,11,0,11,11,0,0.00
4654,S,1,124,127,-0.2,-1.7,9,0,9,9,0,0.00
4662,S,1,14,14,-0.2,-1.7,10,0,10,10,0,0.00
4734,S,1,70,70,-0.2,-2.0,10,0,10,10,0,0.00
4854,S,1,121,119,-0.2,-1.7,9,0,9,9,0,0.00
4862,S,1,14,13,-0.2,-1.7,10,0,10,10,0,0.00
4925,S,1,55,55,-0.2,-1.1,10,0,10,10,0,0.00
5053,S,1,123,122,-0.2,-0.9,9,0,9,9,0,0.00
5061,S,1,14,14,-0.2,-0.9,10,0,10,10,0,0.00
5112,S,1,57,57,-0.2,-0.8,10,0,10,10,0,0.00
5153,S,1,11,12,-0.1,-0.1,11,0,11,11,0,0.00
5153,S,1,35,34,-0.1,-0.1,11,0,11,11,0,0.00
5310,S,1,129,131,-0.1,-0.2,9,0,9,9,0,0.00
5310,S,1,58,60,-0.1,-0.2,10,0,10,10,0,0.00
5341,S,1,11,11,-0.4,-2.0,11,0,11,11,0,0.00
5350,S,1,2,2,-0.4,-2.0,11,0,11,11,0,0.00
5475,S,1,133,136,-0.4,-1.8,10,0,10,10,0,0.00
5479,S,1,19,19,-0.4,-1.8,10,0,10,10,0,0.00
5554,S,1,71,71,-0.5,-2.0,10,0,10,10,0,0.00
5673,S,1,123,122,-0.5,-1.8,9,0,9,9,0,0.00
5681,S,1,0,0,-0.5,-1.8,11,0,11,11,0,0.00
5743,S,1,69,70,-0.5,-1.6,11,0,11,11,0,0.00
5871,S,1,129,127,-0.5,-1.4,10,0,10,10,0,0.00
5880,S,1,3,3,-0.5,-1.4,11,0,11,11,0,0.00
5951,S,1,83,80,-0.5,-1.0,10,0,10,10,0,0.00
6071,S,1,135,133,-0.5,-0.8,9,0,9,9,0,0.00
6080,S,1,3,3,-0.5,-0.8,10,0,10,10,0,0.00
6141,S,1,70,72,-0.5,-0.8,10,0,10,10,0,0.00
6310,S,1,128,132,-0.5,-0.8,9,0,9,9,0,0.00
6311,S,1,60,60,-0.5,-0.8,10,0,10,10,0,0.00
6346,S,1,26,26,-0.7,-1.5,11,0,11,11,0,0.00
6471,S,1,124,120,-0.7,-1.3,9,0,9,9,0,0.00
6480,S,1,3,2,-0.7,-1.3,11,0,11,11,0,0.00
6551,S,1,80,80,-0.5,-0.2,10,0,10,10,0,0.00
6672,S,1,129,129,-0.5,-0.1,9,0,9,9,0,0.00
6680,S,1,1,1,-0.5,-0.1,11,0,11,11,0,0.00
6742,S,1,72,71,-0.4,0.4,10,0,10,10,0,0.00
6872,S,1,133,130,-0.4,0.4,9,0,9,9,0,0.00
6880,S,1,2,2,-0.4,0.4,11,0,11,11,0,0.00
6952,S,1,84,85,-0.3,1.2,10,0,10,10,0,0.00
7072,S,1,131,132,-0.2,1.1,9,0,9,9,0,0.00
7080,S,1,2,2,-0.2,1.1,11,0,11,11,0,0.00
7142,S,1,72,72,-0.3,0.3,10,0,10,10,0,0.00
7271,S,1,132,130,-0.3,0.3,9,0,9,9,0,0.00
7280,S,1,3,3,-0.3,0.3,10,0,10,10,0,0.00
7351,S,1,82,82,-0.2,1.0,10,0,10,10,0,0.00
7471,S,1,131,130,-0.1,1.0,9,0,9,9,0,0.00
7480,S,1,2,2,-0.1,1.0,11,0,11,11,0,0.00
7525,S,1,51,50,-0.0,1.3,10,0,10,10,0,0.00
7561,S,1,11,12,0.0,1.6,11,0,11,11,0,0.00
7683,S,1,128,128,0.1,1.4,9,0,9,9,0,0.00
7687,S,1,0,1,0.1,1.4,11,0,11,11,0,0.00
7737,S,1,53,52,0.1,1.2,11,0,11,11,0,0.00
7777,S,1,12,12,0.1,1.1,10,0,10,10,0,0.00
7777,S,1,28,29,0.1,1.1,10,0,10,10,0,0.00
7935,S,1,124,121,0.2,1.1,9,0,9,9,0,0.00
7935,S,1,54,55,0.2,1.1,10,0,10,10,0,0.00
7971,S,1,11,11,0.1,0.6,10,0,10,10,0,0.00
7975,S,1,3,3,0.1,0.6,11,0,11,11,0,0.00
8099,S,1,122,124,0.1,0.5,10,0,10,10,0,0.00
8103,S,1,20,20,0.1,0.5,10,0,10,10,0,0.00
8174,S,1,71,71,-0.1,-0.6,10,0,10,10,0,0.00
8295,S,1,128,125,-0.0,-0.4,9,0,9,9,0,0.00
8303,S,1,14,13,-0.0,-0.4,9,0,9,9,0,0.00
8349,S,1,39,38,0.0,-0.3,10,0,10,10,0,0.00
8389,S,1,11,11,0.2,0.8,11,0,11,11,0,0.00
8389,S,1,29,29,0.2,0.8,11,0,11,11,0,0.00
8547,S,1,124,124,0.2,0.8,9,0,9,9,0,0.00
8547,S,1,58,58,0.2,0.8,10,0,10,10,0,0.00
8578,S,1,11,10,0.2,0.8,10,0,10,10,0,0.00
8587,S,1,6,7,0.2,0.8,10,0,10,10,0,0.00
8750,S,1,122,119,0.2,0.7,9,0,9,9,0,0.00
8750,S,1,60,58,0.2,0.7,9,0,9,9,0,0.00
8786,S,1,11,10,0.2,0.7,10,0,10,10,0,0.00
8906,S,1,115,118,0.2,0.6,9,0,9,9,0,0.00
8915,S,1,8,7,0.2,0.6,10,0,10,10,0,0.00
8981,S,1,61,63,0.1,-0.3,10,0,10,10,0,0.00
9106,S,1,127,129,0.0,-0.3,9,0,9,9,0,0.00
9114,S,1,9,8,0.0,-0.3,10,0,10,10,0,0.00
9181,S,1,66,65,-0.1,-1.5,10,0,10,10,0,0.00
9306,S,1,130,130,-0.2,-1.3,9,0,9,9,0,0.00
9314,S,1,9,8,-0.2,-1.3,10,0,10,10,0,0.00
9381,S,1,64,64,-0.1,-0.4,10,0,10,10,0,0.00
9506,S,1,127,127,-0.0,-0.3,9,0,9,9,0,0.00
9514,S,1,8,9,-0.0,-0.3,10,0,10,10,0,0.00
9581,S,1,65,63,-0.1,-0.6,10,0,10,10,0,0.00
9706,S,1,131,130,-0.1,-0.6,9,0,9,9,0,0.00
9714,S,1,9,8,-0.1,-0.6,10,0,10,10,0,0.00
9781,S,1,63,64,-0.1,-0.6,10,0,10,10,0,0.00
9906,S,1,124,125,-0.1,-0.5,9,0,9,9,0,0.00
9914,S,1,8,8,-0.1,-0.5,10,0,10,10,0,0.00
9960,S,1,40,41,-0.1,-0.5,10,0,10,10,0,0.00
10000,S,1,11,12,-0.2,-1.1,11,0,11,11,0,0.00
10000,S,1,31,30,-0.2,-1.1,11,0,11,11,0,0.00
10122,S,1,127,128,-0.3,-1.1,9,0,9,9,0,0.00
