t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
122,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
126,S,1,1,0,0.0,0.0,2,0,2,2,0,0.00
202,S,1,20,24,0.0,-0.0,3,0,3,3,0,0.00
320,S,1,51,59,-0.0,-0.0,4,0,4,4,0,0.00
328,S,1,2,2,-0.0,-0.0,4,0,4,4,0,0.00
390,S,1,35,38,-0.7,-4.4,5,0,5,5,0,0.00
519,S,1,78,84,-0.8,-4.0,6,1,7,5,0,0.00
527,S,1,3,3,-0.8,-4.0,7,0,7,7,0,0.00
578,S,1,30,34,-0.9,-4.1,9,1,10,8,0,0.00
612,S,1,7,8,-1.4,-6.6,9,1,10,8,0,0.00
735,S,1,96,95,-1.5,-5.9,10,1,11,9,0,0.00
739,S,1,17,16,-1.5,-5.9,10,1,11,9,0,0.00
810,S,1,60,57,-1.5,-5.2,11,1,12,10,0,0.00
929,S,1,127,118,-1.3,-4.2,10,1,11,9,0,0.00
938,S,1,5,5,-1.3,-4.2,11,1,12,10,0,0.00
1004,S,1,76,69,-0.8,-0.1,10,1,11,9,0,0.00
1129,S,1,140,127,-0.5,0.3,9,1,10,8,0,0.00
1137,S,1,5,4,-0.5,0.3,10,0,10,10,0,0.00
1204,S,1,70,68,0.3,5.9,10,0,10,10,0,0.00
1329,S,1,136,124,0.6,5.4,9,0,9,9,0,0.00
1337,S,1,4,5,0.6,5.4,10,0,10,10,0,0.00
1404,S,1,74,68,1.3,10.0,10,-1,9,11,0,0.00
1529,S,1,134,134,1.6,8.9,9,-1,8,10,0,0.00
1537,S,1,4,4,1.6,8.9,10,-1,9,11,0,0.00
1583,S,1,46,44,1.7,8.4,11,-1,10,12,0,0.00
1624,S,1,12,11,2.0,9.2,11,-1,10,12,0,0.00
1624,S,1,36,35,2.0,9.2,11,-1,10,12,0,0.00
1747,S,1,132,128,2.1,8.0,10,-1,9,11,0,0.00
1751,S,1,21,20,2.1,8.0,10,-1,9,11,0,0.00
1801,S,1,45,45,2.2,7.6,10,-1,9,11,0,0.00
1842,S,1,12,12,2.5,8.2,11,-1,10,12,0,0.00
1842,S,1,36,35,2.5,8.2,11,-1,10,12,0,0.00
1965,S,1,129,133,2.5,7.1,9,-2,7,11,0,0.00
1969,S,1,20,22,2.5,7.1,10,-1,9,11,0,0.00
2019,S,1,40,43,2.5,5.7,10,-1,9,11,0,0.00
2058,S,1,12,12,2.2,2.8,11,-1,10,12,0,0.00
2059,S,1,30,30,2.2,2.8,11,-1,10,12,0,0.00
2210,S,1,129,135,1.8,2.0,9,-1,8,10,0,0.00
2211,S,1,52,57,1.8,2.0,10,-1,9,11,0,0.00
2246,S,1,26,28,1.3,-2.0,11,-1,10,12,0,0.00
2380,S,1,131,143,1.1,-1.9,9,-1,8,10,0,0.00
2383,S,1,19,21,1.1,-1.9,10,-1,9,11,0,0.00
2460,S,1,80,88,-0.1,-10.1,10,0,10,10,0,0.00
2578,S,1,125,131,-0.6,-9.4,9,0,9,9,0,0.00
2586,S,1,6,6,-0.6,-9.4,10,0,10,10,0,0.00
2627,S,1,38,39,-0.7,-9.1,10,0,10,10,0,0.00
2667,S,1,11,11,-1.1,-10.3,11,0,11,11,0,0.00
2668,S,1,27,30,-1.1,-10.3,11,0,11,11,0,0.00
2790,S,1,127,132,-1.3,-9.1,9,1,10,8,0,0.00
2794,S,1,3,3,-1.3,-9.1,11,1,12,10,0,0.00
2844,S,1,51,50,-1.4,-8.9,11,1,12,10,0,0.00
2884,S,1,12,12,-2.0,-11.6,11,1,12,10,0,0.00
2885,S,1,27,27,-2.0,-11.6,11,1,12,10,0,0.00
3042,S,1,134,135,-2.3,-10.4,9,2,11,7,0,0.00
3043,S,1,65,58,-2.3,-10.4,9,1,10,8,0,0.00
3078,S,1,13,11,-2.4,-9.1,11,1,12,10,0,0.00
3082,S,1,30,30,-2.4,-9.1,11,1,12,10,0,0.00
3206,S,1,137,127,-2.2,-7.7,9,2,11,7,0,0.00
3210,S,1,23,19,-2.2,-7.7,9,1,10,8,0,0.00
3260,S,1,47,39,-1.8,-4.0,10,1,11,9,0,0.00
3299,S,1,13,11,-0.9,3.3,10,1,11,9,0,0.00
3300,S,1,33,29,-0.9,3.3,11,0,11,11,0,0.00
3422,S,1,135,131,-0.5,3.4,9,0,9,9,0,0.00
3426,S,1,1,1,-0.5,3.4,11,0,11,11,0,0.00
3476,S,1,54,49,-0.1,5.2,11,0,11,11,0,0.00
3511,S,1,13,11,0.8,11.1,11,0,11,11,0,0.00
3634,S,1,143,125,1.1,10.0,9,-1,8,10,0,0.00
3638,S,1,19,18,1.1,10.0,10,-1,9,11,0,0.00
3709,S,1,64,68,2.4,17.6,10,-1,9,11,0,0.00
3828,S,1,125,126,2.6,15.4,9,-2,7,11,0,0.00
3837,S,1,6,5,2.6,15.4,10,-1,9,11,0,0.00
3882,S,1,44,44,2.6,13.2,10,-1,9,11,0,0.00
3923,S,1,12,11,2.3,9.2,11,-1,10,12,0,0.00
3923,S,1,33,34,2.3,9.2,11,-1,10,12,0,0.00
4046,S,1,129,132,2.2,7.8,10,-2,8,12,0,0.00
4050,S,1,20,21,2.2,7.8,10,-1,9,11,0,0.00
4100,S,1,43,45,2.1,6.2,10,-1,9,11,0,0.00
4141,S,1,12,13,1.9,3.9,11,-1,10,12,0,0.00
4141,S,1,34,34,1.9,3.9,11,-1,10,12,0,0.00
4264,S,1,127,136,1.8,3.2,9,-1,8,10,0,0.00
4268,S,1,19,21,1.8,3.2,10,-1,9,11,0,0.00
4339,S,1,63,66,1.1,-2.1,10,-1,9,11,0,0.00
4458,S,1,117,124,0.8,-2.2,9,-1,8,10,0,0.00
4467,S,1,6,5,0.8,-2.2,10,-1,9,11,0,0.00
4512,S,1,41,43,0.7,-2.5,11,-1,10,12,0,0.00
4548,S,1,10,12,0.1,-6.2,11,-1,10,12,0,0.00
4670,S,1,119,128,-0.0,-5.5,10,0,10,10,0,0.00
4674,S,1,3,4,-0.0,-5.5,11,0,11,11,0,0.00
4724,S,1,47,50,-0.3,-6.2,11,0,11,11,0,0.00
4764,S,1,11,12,-0.9,-9.8,11,0,11,11,0,0.00
4765,S,1,25,27,-0.9,-9.8,11,0,11,11,0,0.00
4922,S,1,126,134,-1.5,-9.2,9,1,10,8,0,0.00
4923,S,1,61,58,-1.5,-9.2,10,1,11,9,0,0.00
4958,S,1,28,28,-2.0,-11.6,11,1,12,10,0,0.00
5086,S,1,128,124,-2.1,-10.0,9,1,10,8,0,0.00
5090,S,1,20,18,-2.1,-10.0,10,1,11,9,0,0.00
5140,S,1,44,39,-1.9,-7.8,10,1,11,9,0,0.00
5181,S,1,12,11,-1.2,-1.5,11,1,12,10,0,0.00
5181,S,1,33,30,-1.2,-1.5,11,0,11,11,0,0.00
5304,S,1,128,118,-0.8,-0.8,9,1,10,8,0,0.00
5308,S,1,20,18,-0.8,-0.8,10,0,10,10,0,0.00
5358,S,1,39,37,-0.6,1.2,10,0,10,10,0,0.00
5398,S,1,12,10,0.1,5.5,11,0,11,11,0,0.00
5399,S,1,28,27,0.1,5.5,11,0,11,11,0,0.00
5521,S,1,126,114,0.4,5.2,9,0,9,9,0,0.00
5525,S,1,2,2,0.4,5.2,11,0,11,11,0,0.00
5575,S,1,48,45,0.6,6.0,11,0,11,11,0,0.00
5610,S,1,12,12,1.3,9.6,11,0,11,11,0,0.00
5733,S,1,124,124,1.4,8.4,9,-1,8,10,0,0.00
5737,S,1,0,0,1.4,8.4,11,-1,10,12,0,0.00
5808,S,1,75,76,1.5,8.2,11,-1,10,12,0,0.00
5928,S,1,125,128,1.5,7.0,9,-1,8,10,0,0.00
5936,S,1,6,6,1.5,7.0,10,-1,9,11,0,0.00
6003,S,1,66,65,1.4,5.3,10,-1,9,11,0,0.00
