t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
184,S,1,26,38,0.0,0.0,2,0,2,2,0,0.00
184,S,1,41,44,0.0,0.0,3,0,3,3,0,0.00
326,S,1,72,78,-0.3,-0.3,4,0,4,4,0,0.00
327,S,1,15,15,-0.3,-0.3,4,0,4,4,0,0.00
385,S,1,29,31,-0.4,-1.4,6,0,6,6,0,0.00
526,S,1,79,85,-0.9,-1.8,7,0,7,7,0,0.00
527,S,1,15,16,-0.9,-1.8,8,0,8,8,0,0.00
584,S,1,8,8,-1.1,-2.9,8,0,8,8,0,0.00
585,S,1,30,32,-1.1,-2.9,10,1,11,9,0,0.00
726,S,1,106,95,-1.5,-3.0,10,1,11,9,0,0.00
727,S,1,23,19,-1.5,-3.0,11,1,12,10,0,0.00
805,S,1,11,9,-0.9,2.2,11,1,12,10,0,0.00
805,S,1,74,64,-0.9,2.2,11,1,12,10,0,0.00
924,S,1,131,122,-0.3,2.6,10,0,10,10,0,0.00
932,S,1,15,14,-0.3,2.6,10,0,10,10,0,0.00
978,S,1,43,41,-0.1,3.5,11,0,11,11,0,0.00
1014,S,1,13,12,0.5,7.5,11,0,11,11,0,0.00
1171,S,1,113,132,0.8,6.8,9,-1,8,10,0,0.00
1172,S,1,49,67,0.8,6.8,10,0,10,10,0,0.00
1207,S,1,24,31,0.1,0.8,11,0,11,11,0,0.00
1336,S,1,123,123,-0.7,-0.2,10,0,10,10,0,0.00
1339,S,1,20,20,-0.7,-0.2,10,0,10,10,0,0.00
1411,S,1,67,64,-2.9,-15.8,10,2,12,8,0,0.00
1532,S,1,144,84,-2.9,-13.5,10,2,12,8,0,0.00
1540,S,1,1,0,-2.9,-13.5,12,2,14,10,0,0.00
1586,S,1,71,25,-2.8,-11.1,11,2,13,9,0,0.00
1626,S,1,16,7,0.8,15.6,11,2,13,9,0,0.00
1626,S,1,40,18,0.8,15.6,11,0,11,11,0,0.00
1784,S,1,86,179,7.2,21.8,9,-1,8,10,0,0.00
1784,S,1,12,92,7.2,21.8,10,-4,6,14,0,0.00
1820,S,1,2,21,4.9,2.3,10,-4,6,14,0,0.00
1824,S,1,0,6,4.9,2.3,11,-2,9,13,0,0.00
1948,S,1,94,156,1.1,-2.8,10,-3,7,13,0,0.00
1952,S,1,17,18,1.1,-2.8,10,-1,9,11,0,0.00
2002,S,1,46,37,-2.5,-27.6,11,1,12,10,0,0.00
2043,S,1,13,8,-6.1,-48.9,12,1,13,11,0,0.00
2043,S,1,47,18,-6.1,-48.9,12,3,15,9,0,0.00
2166,S,1,251,21,-8.7,-45.4,10,6,16,4,0,0.00
2170,S,1,50,0,-8.7,-45.4,10,5,15,5,0,0.00
2235,S,1,172,0,-5.1,-13.9,9,3,12,6,0,0.00
2360,S,1,243,35,15.4,13.3,8,4,12,4,0,0.00
2369,S,1,3,1,15.4,13.3,10,-7,3,17,0,0.00
2439,S,1,81,72,19.0,36.6,10,-9,1,19,0,0.00
2595,S,1,60,211,38.8,56.7,9,-12,0,21,0,0.00
2596,S,1,10,121,38.8,56.7,9,-20,0,29,0,0.00
2626,S,1,1,43,35.2,23.5,9,-18,0,27,0,0.00
2765,S,1,85,259,27.9,11.9,7,-20,0,27,0,0.00
