t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
185,S,1,37,34,-0.0,0.0,2,0,2,2,0,0.00
185,S,1,46,32,-0.0,0.0,3,0,3,3,0,0.00
366,S,1,92,49,1.4,1.6,4,0,4,4,0,0.00
366,S,1,55,29,1.4,1.6,5,-1,4,6,0,0.00
401,S,1,9,6,4.7,24.4,5,-1,4,6,0,0.00
519,S,1,47,105,5.7,22.3,7,-4,3,11,0,0.00
528,S,1,0,1,5.7,22.3,8,-3,5,11,0,0.00
573,S,1,4,65,6.2,22.4,10,-3,7,13,0,0.00
614,S,1,0,17,3.7,2.0,10,-3,7,13,0,0.00
614,S,1,3,42,3.7,2.0,10,-2,8,12,0,0.00
736,S,1,65,159,-1.0,-4.4,10,-2,8,12,0,0.00
741,S,1,4,4,-1.0,-4.4,11,0,11,11,0,0.00
790,S,1,40,47,-4.6,-29.0,11,2,13,9,0,0.00
830,S,1,12,10,-8.2,-50.1,12,2,14,10,0,0.00
830,S,1,43,26,-8.2,-50.1,12,4,16,8,0,0.00
988,S,1,254,38,-13.3,-49.8,10,7,17,3,0,0.00
988,S,1,137,3,-13.3,-49.8,10,7,17,3,0,0.00
1024,S,1,29,0,-9.7,-17.6,10,7,17,3,0,0.00
1028,S,1,72,0,-9.7,-17.6,10,5,15,5,0,0.00
1152,S,1,273,47,3.8,1.7,8,6,14,2,0,0.00
1156,S,1,35,9,3.8,1.7,9,-2,7,11,0,0.00
1206,S,1,52,27,7.4,26.7,10,-3,7,13,0,0.00
1247,S,1,11,11,11.0,48.1,11,-4,7,15,0,0.00
1247,S,1,22,36,11.0,48.1,11,-5,6,16,0,0.00
1370,S,1,36,247,30.2,66.5,9,-8,1,17,0,0.00
1374,S,1,0,0,30.2,66.5,11,-15,0,26,0,0.00
1445,S,1,3,221,26.6,32.0,10,-14,0,24,0,0.00
1565,S,1,0,385,11.0,7.5,7,-16,0,23,0,0.00
1573,S,1,0,19,11.0,7.5,8,-6,2,14,0,0.00
1619,S,1,0,115,7.4,-18.7,9,-5,4,14,0,0.00
1654,S,1,1,28,3.8,-41.3,10,-4,6,14,0,0.00
1777,S,1,125,125,-15.4,-60.7,9,-1,8,10,0,0.00
1781,S,1,6,1,-15.4,-60.7,10,7,17,3,0,0.00
1863,S,1,175,11,-19.0,-77.4,10,9,19,1,0,0.00
2016,S,1,301,2,-28.5,-78.9,8,13,21,0,0,0.00
2016,S,1,159,0,-28.5,-78.9,8,14,22,0,0,0.00
2047,S,1,36,0,-24.9,-42.7,8,15,23,0,0,0.00
2056,S,1,11,0,-24.9,-42.7,9,13,22,0,0,0.00
2184,S,1,322,14,-4.2,-12.9,7,15,22,0,0,0.00
2188,S,1,41,1,-4.2,-12.9,8,3,11,5,0,0.00
2259,S,1,98,31,-0.6,14.1,10,1,11,9,0,0.00
2380,S,1,105,125,19.4,37.3,10,0,10,10,0,0.00
2389,S,1,0,0,19.4,37.3,11,-9,2,20,0,0.00
2434,S,1,16,92,23.0,57.3,11,-11,0,22,0,0.00
2490,S,1,2,27,26.6,74.5,10,-12,0,22,0,0.00
2490,S,1,3,117,26.6,74.5,10,-13,0,23,0,0.00
2609,S,1,0,367,27.8,65.6,8,-18,0,26,0,0.00
2617,S,1,0,5,27.8,65.6,9,-14,0,23,0,0.00
2663,S,1,0,169,25.0,36.9,9,-13,0,22,0,0.00
2702,S,1,0,38,21.4,6.6,8,-14,0,22,0,0.00
2702,S,1,0,76,21.4,6.6,9,-12,0,21,0,0.00
2859,S,1,60,246,2.2,-19.6,7,-12,0,19,0,0.00
2860,S,1,35,89,2.2,-19.6,8,-2,6,10,0,0.00
2890,S,1,17,25,-1.4,-42.0,10,0,10,10,0,0.00
3063,S,1,195,50,-22.7,-61.3,10,2,12,8,0,0.00
3063,S,1,137,3,-22.7,-61.3,10,10,20,0,0,0.00
3099,S,1,29,0,-23.6,-59.6,10,11,21,0,0,0.00
3253,S,1,387,0,-14.0,-38.9,8,15,23,0,0,0.00
3254,S,1,180,0,-14.0,-38.9,8,7,15,1,0,0.00
3289,S,1,39,0,-10.4,-8.3,8,7,15,1,0,0.00
