t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
1,S,1,0,0,0.0,0.0,14,0,14,14,0,0.00
123,S,1,64,75,0.0,0.0,14,0,14,14,0,0.00
127,S,1,1,1,0.0,0.0,13,0,13,13,0,0.00
225,S,1,104,116,-0.0,-0.3,11,0,11,11,0,0.00
344,S,1,132,147,-0.7,-1.1,9,0,9,9,0,0.00
352,S,1,1,1,-0.7,-1.1,11,0,11,11,0,0.00
398,S,1,52,59,-0.9,-2.4,11,0,11,11,0,0.00
438,S,1,12,14,-2.2,-11.1,11,0,11,11,0,0.00
439,S,1,28,32,-2.2,-11.1,11,1,12,10,0,0.00
561,S,1,129,135,-2.6,-10.1,9,2,11,7,0,0.00
565,S,1,3,4,-2.6,-10.1,11,1,12,10,0,0.00
615,S,1,47,48,-2.9,-10.6,11,2,13,9,0,0.00
655,S,1,12,12,-3.4,-12.3,11,2,13,9,0,0.00
656,S,1,25,23,-3.4,-12.3,11,2,13,9,0,0.00
779,S,1,132,120,-3.6,-10.9,9,3,12,6,0,0.00
782,S,1,21,19,-3.6,-10.9,10,2,12,8,0,0.00
833,S,1,50,39,-3.7,-9.9,11,2,13,9,0,0.00
874,S,1,13,10,-3.1,-4.3,11,2,13,9,0,0.00
874,S,1,38,32,-3.1,-4.3,11,2,13,9,0,0.00
997,S,1,146,115,-2.3,-2.7,10,2,12,8,0,0.00
1001,S,1,23,18,-2.3,-2.7,10,1,11,9,0,0.00
1051,S,1,48,36,-1.5,2.9,10,1,11,9,0,0.00
1090,S,1,13,9,0.9,19.2,11,1,12,10,0,0.00
1091,S,1,36,28,0.9,19.2,11,0,11,11,0,0.00
1213,S,1,143,121,2.0,17.9,9,-1,8,10,0,0.00
1217,S,1,1,1,2.0,17.9,11,-1,10,12,0,0.00
1267,S,1,55,49,2.7,20.3,11,-1,10,12,0,0.00
1302,S,1,13,12,4.4,29.7,11,-1,10,12,0,0.00
1425,S,1,129,132,5.0,26.2,9,-4,5,13,0,0.00
1429,S,1,18,21,5.0,26.2,10,-2,8,12,0,0.00
1479,S,1,36,46,5.2,24.4,10,-3,7,13,0,0.00
1519,S,1,11,14,4.9,18.3,11,-3,8,14,0,0.00
1520,S,1,26,33,4.9,18.3,11,-2,9,13,0,0.00
1642,S,1,120,151,4.2,14.9,9,-3,6,12,0,0.00
1646,S,1,3,3,4.2,14.9,10,-2,8,12,0,0.00
1696,S,1,44,56,3.6,8.7,11,-2,9,13,0,0.00
1736,S,1,11,14,1.4,-8.0,11,-2,9,13,0,0.00
1736,S,1,24,29,1.4,-8.0,11,-1,10,12,0,0.00
1859,S,1,120,143,0.5,-8.1,9,0,9,9,0,0.00
1863,S,1,18,22,0.5,-8.1,10,0,10,10,0,0.00
1913,S,1,42,48,-0.2,-11.9,10,0,10,10,0,0.00
1954,S,1,11,13,-2.1,-23.1,11,0,11,11,0,0.00
