t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
180,S,1,37,38,0.0,0.0,2,0,2,2,0,0.00
180,S,1,42,40,0.0,0.0,3,0,3,3,0,0.00
220,S,1,7,6,0.1,0.8,3,0,3,3,0,0.00
343,S,1,95,88,0.3,0.9,3,0,3,3,0,0.00
346,S,1,12,12,0.3,0.9,4,0,4,4,0,0.00
418,S,1,40,38,0.8,4.9,6,-1,5,7,0,0.00
536,S,1,80,73,0.9,4.4,7,-1,6,8,0,0.00
544,S,1,5,4,0.9,4.4,8,-1,7,9,0,0.00
590,S,1,29,29,1.0,4.1,10,-1,9,11,0,0.00
630,S,1,8,8,1.4,6.1,10,-1,9,11,0,0.00
630,S,1,24,23,1.4,6.1,11,-1,10,12,0,0.00
788,S,1,106,110,1.5,5.4,11,-1,10,12,0,0.00
788,S,1,58,59,1.5,5.4,11,-1,10,12,0,0.00
824,S,1,12,12,1.5,4.5,11,-1,10,12,0,0.00
828,S,1,25,26,1.5,4.5,11,-1,10,12,0,0.00
987,S,1,133,134,1.4,3.8,9,-1,8,10,0,0.00
988,S,1,57,59,1.4,3.8,10,-1,9,11,0,0.00
1023,S,1,22,22,1.3,2.5,11,-1,10,12,0,0.00
1152,S,1,125,128,1.3,2.1,9,-1,8,10,0,0.00
1155,S,1,0,1,1.3,2.1,11,-1,10,12,0,0.00
1206,S,1,48,51,1.2,1.3,11,-1,10,12,0,0.00
1247,S,1,11,12,0.9,-1.1,11,-1,10,12,0,0.00
1247,S,1,29,30,0.9,-1.1,11,0,11,11,0,0.00
1370,S,1,128,131,0.6,-1.3,9,0,9,9,0,0.00
1374,S,1,2,3,0.6,-1.3,11,0,11,11,0,0.00
1445,S,1,73,76,0.1,-4.9,10,0,10,10,0,0.00
1599,S,1,123,127,-0.1,-4.5,9,0,9,9,0,0.00
1600,S,1,50,52,-0.1,-4.5,10,0,10,10,0,0.00
1630,S,1,19,19,-0.3,-5.2,11,0,11,11,0,0.00
1769,S,1,129,133,-0.4,-4.5,10,1,11,9,0,0.00
1772,S,1,21,20,-0.4,-4.5,10,0,10,10,0,0.00
1848,S,1,79,81,-0.9,-7.2,10,1,11,9,0,0.00
1967,S,1,126,121,-0.9,-6.2,9,1,10,8,0,0.00
1975,S,1,7,5,-0.9,-6.2,10,1,11,9,0,0.00
2037,S,1,62,56,-0.4,-2.2,10,0,10,10,0,0.00
2205,S,1,130,123,-0.0,-1.4,9,0,9,9,0,0.00
2205,S,1,62,57,-0.0,-1.4,10,0,10,10,0,0.00
2241,S,1,12,11,0.4,2.1,10,0,10,10,0,0.00
2245,S,1,2,2,0.4,2.1,11,-1,10,12,0,0.00
2366,S,1,128,131,0.5,1.9,10,-1,9,11,0,0.00
2374,S,1,7,8,0.5,1.9,10,-1,9,11,0,0.00
2425,S,1,48,51,0.6,2.1,11,-1,10,12,0,0.00
2466,S,1,11,11,0.4,0.8,11,-1,10,12,0,0.00
