t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
1,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
180,S,1,32,35,-0.0,0.0,2,0,2,2,0,0.00
181,S,1,29,36,-0.0,0.0,3,0,3,3,0,0.00
342,S,1,75,89,-0.5,-1.7,4,1,5,3,0,0.00
346,S,1,10,12,-0.5,-1.7,4,1,5,3,0,0.00
417,S,1,35,40,-1.4,-7.5,6,2,8,4,0,0.00
535,S,1,62,77,-1.8,-7.0,7,2,9,5,0,0.00
543,S,1,3,4,-1.8,-7.0,8,2,10,6,0,0.00
589,S,1,25,27,-1.9,-7.0,10,1,11,9,0,0.00
625,S,1,6,7,-2.8,-12.2,11,2,13,9,0,0.00
748,S,1,101,86,-3.0,-10.8,11,3,14,8,0,0.00
751,S,1,3,3,-3.0,-10.8,12,3,15,9,0,0.00
802,S,1,49,39,-3.1,-10.3,12,3,15,9,0,0.00
842,S,1,13,10,-2.4,-3.7,11,3,14,8,0,0.00
842,S,1,28,20,-2.4,-3.7,11,0,11,11,0,0.00
965,S,1,138,114,-1.5,-2.0,10,1,11,9,0,0.00
969,S,1,22,18,-1.5,-2.0,10,0,10,10,0,0.00
1040,S,1,75,63,0.8,14.9,10,-2,8,12,0,0.00
1159,S,1,133,133,1.6,13.7,10,-2,8,12,0,0.00
1168,S,1,2,1,1.6,13.7,11,-2,9,13,0,0.00
1213,S,1,50,57,1.8,13.2,11,-2,9,13,0,0.00
1254,S,1,12,13,1.8,11.7,11,-2,9,13,0,0.00
1254,S,1,27,32,1.8,11.7,11,-1,10,12,0,0.00
1377,S,1,132,139,1.5,9.7,9,-2,7,11,0,0.00
1381,S,1,4,4,1.5,9.7,10,-1,9,11,0,0.00
1452,S,1,69,75,0.4,0.6,10,1,11,9,0,0.00
1571,S,1,119,121,0.0,0.1,9,1,10,8,0,0.00
1580,S,1,12,12,0.0,0.1,10,1,11,9,0,0.00
1641,S,1,53,55,-0.4,-2.8,11,1,12,10,0,0.00
1771,S,1,126,121,-0.4,-2.4,10,1,11,9,0,0.00
1779,S,1,14,13,-0.4,-2.4,10,1,11,9,0,0.00
1851,S,1,77,68,-0.1,-0.1,10,0,10,10,0,0.00
1972,S,1,132,126,0.2,0.3,9,0,9,9,0,0.00
1980,S,1,14,14,0.2,0.3,10,0,10,10,0,0.00
2026,S,1,41,40,0.4,1.1,10,0,10,10,0,0.00
2062,S,1,12,12,0.8,3.8,11,0,11,11,0,0.00
2184,S,1,126,128,0.9,3.4,9,-1,8,10,0,0.00
2188,S,1,19,20,0.9,3.4,10,-1,9,11,0,0.00
2259,S,1,66,68,0.9,2.8,10,-1,9,11,0,0.00
2379,S,1,123,126,0.7,2.3,10,-1,9,11,0,0.00
2388,S,1,1,2,0.7,2.3,11,-1,10,12,0,0.00
2433,S,1,47,50,0.7,1.9,11,0,11,11,0,0.00
2474,S,1,11,11,0.5,-0.2,11,0,11,11,0,0.00
2474,S,1,27,28,0.5,-0.2,11,0,11,11,0,0.00
2597,S,1,120,124,0.3,-0.4,10,0,10,10,0,0.00
2601,S,1,4,4,0.3,-0.4,11,0,11,11,0,0.00
2651,S,1,47,48,0.2,-1.1,11,0,11,11,0,0.00
2690,S,1,12,12,-0.2,-3.6,11,0,11,11,0,0.00
2691,S,1,35,35,-0.2,-3.6,11,1,12,10,0,0.00
2813,S,1,135,129,-0.4,-3.3,10,1,11,9,0,0.00
2817,S,1,21,20,-0.4,-3.3,10,1,11,9,0,0.00
2867,S,1,46,42,-0.5,-3.3,10,1,11,9,0,0.00
2902,S,1,12,11,-0.2,-0.9,11,1,12,10,0,0.00
3025,S,1,130,129,-0.0,-0.6,9,0,9,9,0,0.00
3029,S,1,20,19,-0.0,-0.6,10,0,10,10,0,0.00
3112,S,1,82,83,0.4,2.3,10,-1,9,11,0,0.00
3230,S,1,116,119,0.4,1.9,9,-1,8,10,0,0.00
3239,S,1,0,1,0.4,1.9,11,-1,10,12,0,0.00
3300,S,1,62,65,0.3,1.2,11,0,11,11,0,0.00
3429,S,1,124,125,0.2,0.9,10,0,10,10,0,0.00
3437,S,1,1,1,0.2,0.9,11,0,11,11,0,0.00
3488,S,1,56,57,0.1,0.4,11,0,11,11,0,0.00
