t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,1,3,1,0,0.00
180,S,1,34,40,0.0,0.0,2,1,3,1,0,0.00
181,S,1,39,45,0.0,0.0,3,1,4,2,0,0.00
220,S,1,6,7,-0.1,-1.0,3,1,4,2,0,0.00
343,S,1,94,104,-0.4,-1.2,3,1,4,2,0,0.00
347,S,1,0,0,-0.4,-1.2,5,1,6,4,0,0.00
418,S,1,52,59,-1.5,-8.3,6,2,8,4,0,0.00
536,S,1,86,99,-1.9,-7.8,6,2,8,4,0,0.00
544,S,1,6,6,-1.9,-7.8,7,2,9,5,0,0.00
590,S,1,31,35,-2.1,-7.9,9,2,11,7,0,0.00
630,S,1,10,9,-2.9,-12.6,9,2,11,7,0,0.00
631,S,1,25,25,-2.9,-12.6,10,3,13,7,0,0.00
754,S,1,117,101,-3.2,-11.2,10,4,14,6,0,0.00
757,S,1,22,18,-3.2,-11.2,11,3,14,8,0,0.00
829,S,1,74,57,-2.5,-4.8,11,2,13,9,0,0.00
948,S,1,144,117,-1.6,-3.0,9,2,11,7,0,0.00
956,S,1,7,6,-1.6,-3.0,10,1,11,9,0,0.00
1018,S,1,71,60,0.6,13.1,10,-2,8,12,0,0.00
1147,S,1,124,129,1.2,12.0,9,-2,7,11,0,0.00
1155,S,1,6,6,1.2,12.0,10,-2,8,12,0,0.00
1227,S,1,69,69,2.3,18.5,10,-2,8,12,0,0.00
1348,S,1,113,115,2.3,15.8,9,-3,6,12,0,0.00
1356,S,1,6,7,2.3,15.8,10,-2,8,12,0,0.00
1418,S,1,57,67,2.0,11.2,10,-2,8,12,0,0.00
1547,S,1,127,144,1.7,9.3,9,-2,7,11,0,0.00
1555,S,1,7,8,1.7,9.3,10,-1,9,11,0,0.00
1627,S,1,66,81,-0.2,-5.3,10,2,12,8,0,0.00
1748,S,1,127,118,-1.0,-5.5,9,2,11,7,0,0.00
1756,S,1,7,6,-1.0,-5.5,10,2,12,8,0,0.00
1818,S,1,62,57,-1.3,-6.8,10,2,12,8,0,0.00
1947,S,1,131,121,-1.0,-5.6,9,2,11,7,0,0.00
1955,S,1,7,6,-1.0,-5.6,10,2,12,8,0,0.00
2027,S,1,78,62,0.2,4.0,10,-1,9,11,0,0.00
2148,S,1,122,116,0.8,4.2,9,-1,8,10,0,0.00
2156,S,1,6,7,0.8,4.2,10,-1,9,11,0,0.00
2218,S,1,60,57,1.8,10.0,11,-2,9,13,0,0.00
2347,S,1,116,124,1.9,8.8,9,-3,6,12,0,0.00
2355,S,1,6,7,1.9,8.8,10,-2,8,12,0,0.00
2427,S,1,67,75,2.0,8.3,10,-2,8,12,0,0.00
2548,S,1,113,130,1.6,6.5,9,-2,7,11,0,0.00
2556,S,1,6,7,1.6,6.5,10,-2,8,12,0,0.00
2618,S,1,55,65,-0.0,-5.5,10,1,11,9,0,0.00
2747,S,1,119,124,-0.5,-5.3,9,2,11,7,0,0.00
2755,S,1,6,7,-0.5,-5.3,10,2,12,8,0,0.00
2806,S,1,44,42,-0.8,-6.3,11,1,12,10,0,0.00
2847,S,1,11,10,-1.4,-9.8,11,1,12,10,0,0.00
2847,S,1,25,26,-1.4,-9.8,11,2,13,9,0,0.00
2970,S,1,120,118,-1.5,-8.5,10,3,13,7,0,0.00
2974,S,1,4,3,-1.5,-8.5,11,2,13,9,0,0.00
3024,S,1,49,42,-1.6,-7.7,11,2,13,9,0,0.00
3065,S,1,13,11,-1.5,-5.8,11,2,13,9,0,0.00
3065,S,1,28,23,-1.5,-5.8,11,1,12,10,0,0.00
3188,S,1,140,128,-1.1,-4.5,9,1,10,8,0,0.00
3192,S,1,22,18,-1.1,-4.5,9,1,10,8,0,0.00
3242,S,1,50,41,-0.7,-1.3,10,0,10,10,0,0.00
3278,S,1,12,11,0.6,8.1,11,0,11,11,0,0.00
3401,S,1,126,133,0.9,7.5,9,-2,7,11,0,0.00
3404,S,1,3,3,0.9,7.5,11,-2,9,13,0,0.00
3476,S,1,74,81,1.5,10.4,10,-2,8,12,0,0.00
3596,S,1,118,138,1.2,8.5,9,-3,6,12,0,0.00
3604,S,1,8,10,1.2,8.5,10,-2,8,12,0,0.00
3650,S,1,37,46,1.0,6.1,10,-1,9,11,0,0.00
3690,S,1,10,12,-0.2,-2.8,11,-1,10,12,0,0.00
3690,S,1,30,32,-0.2,-2.8,11,2,13,9,0,0.00
3813,S,1,122,119,-0.9,-3.4,10,2,12,8,0,0.00
3817,S,1,0,0,-0.9,-3.4,11,2,13,9,0,0.00
3867,S,1,52,50,-1.5,-6.9,11,2,13,9,0,0.00
3907,S,1,12,12,-1.8,-8.2,11,2,13,9,0,0.00
3908,S,1,30,28,-1.8,-8.2,11,2,13,9,0,0.00
4031,S,1,142,121,-1.7,-6.9,9,3,12,6,0,0.00
4034,S,1,3,2,-1.7,-6.9,11,2,13,9,0,0.00
4085,S,1,58,46,-1.4,-4.0,10,1,11,9,0,0.00
4126,S,1,14,11,-0.2,5.3,10,1,11,9,0,0.00
4126,S,1,30,25,-0.2,5.3,10,-1,9,11,0,0.00
4249,S,1,129,128,1.0,6.1,9,-2,7,11,0,0.00
4253,S,1,20,19,1.0,6.1,9,-2,7,11,0,0.00
4303,S,1,45,46,1.6,9.4,10,-2,8,12,0,0.00
4343,S,1,12,12,2.5,14.5,11,-2,9,13,0,0.00
4344,S,1,34,37,2.5,14.5,11,-3,8,14,0,0.00
4466,S,1,117,143,2.4,12.3,9,-3,6,12,0,0.00
4470,S,1,18,23,2.4,12.3,10,-3,7,13,0,0.00
4520,S,1,38,50,2.1,8.3,10,-2,8,12,0,0.00
4555,S,1,10,13,0.2,-5.5,11,-2,9,13,0,0.00
4678,S,1,119,134,-0.5,-5.7,9,2,11,7,0,0.00
4682,S,1,19,20,-0.5,-5.7,10,2,12,8,0,0.00
4753,S,1,66,62,-2.5,-19.1,10,3,13,7,0,0.00
4872,S,1,133,114,-2.9,-16.9,10,4,14,6,0,0.00
4881,S,1,1,1,-2.9,-16.9,11,3,14,8,0,0.00
4947,S,1,89,66,-1.9,-7.7,10,2,12,8,0,0.00
5072,S,1,148,109,-0.8,-5.2,9,2,11,7,0,0.00
5080,S,1,1,1,-0.8,-5.2,11,1,12,10,0,0.00
5126,S,1,58,49,-0.3,-0.8,11,0,11,11,0,0.00
5167,S,1,13,11,2.4,18.1,10,0,10,10,0,0.00
5167,S,1,30,25,2.4,18.1,11,-2,9,13,0,0.00
5290,S,1,127,128,3.7,17.2,9,-3,6,12,0,0.00
5294,S,1,4,4,3.7,17.2,10,-3,7,13,0,0.00
5365,S,1,68,77,4.5,20.7,10,-4,6,14,0,0.00
5485,S,1,111,143,4.1,17.2,9,-5,4,14,0,0.00
5493,S,1,12,16,4.1,17.2,9,-3,6,12,0,0.00
5539,S,1,36,48,3.8,13.2,10,-3,7,13,0,0.00
5574,S,1,10,13,1.8,-2.8,11,-3,8,14,0,0.00
5697,S,1,122,133,1.0,-3.5,9,1,10,8,0,0.00
5701,S,1,18,20,1.0,-3.5,10,1,11,9,0,0.00
5772,S,1,64,65,-1.3,-19.2,10,2,12,8,0,0.00
5891,S,1,128,124,-1.8,-17.2,9,3,12,6,0,0.00
5900,S,1,2,3,-1.8,-17.2,11,2,13,9,0,0.00
5966,S,1,82,70,-1.5,-12.2,10,2,12,8,0,0.00
6091,S,1,138,112,-1.0,-9.9,9,3,12,6,0,0.00
6100,S,1,2,2,-1.0,-9.9,11,2,13,9,0,0.00
6166,S,1,78,68,0.8,3.7,10,-1,9,11,0,0.00
6291,S,1,124,121,1.6,4.2,9,-1,8,10,0,0.00
6300,S,1,3,2,1.6,4.2,10,-2,8,12,0,0.00
6366,S,1,68,70,2.6,10.5,10,-3,7,13,0,0.00
6491,S,1,107,129,2.5,8.9,9,-3,6,12,0,0.00
6500,S,1,2,4,2.5,8.9,11,-3,8,14,0,0.00
6566,S,1,65,81,1.3,-0.6,10,0,10,10,0,0.00
6691,S,1,117,127,0.5,-1.5,9,0,9,9,0,0.00
6700,S,1,3,2,0.5,-1.5,11,0,11,11,0,0.00
6766,S,1,67,73,-1.0,-11.6,10,2,12,8,0,0.00
6891,S,1,121,109,-1.5,-10.6,9,2,11,7,0,0.00
6900,S,1,2,2,-1.5,-10.6,11,2,13,9,0,0.00
6945,S,1,49,46,-1.6,-10.1,11,2,13,9,0,0.00
6986,S,1,13,11,-1.6,-8.4,11,2,13,9,0,0.00
6986,S,1,27,25,-1.6,-8.4,11,1,12,10,0,0.00
7109,S,1,134,121,-1.0,-6.5,9,1,10,8,0,0.00
7113,S,1,21,18,-1.0,-6.5,9,1,10,8,0,0.00
7184,S,1,75,65,0.6,5.6,10,-2,8,12,0,0.00
7304,S,1,114,122,1.1,5.5,9,-2,7,11,0,0.00
7312,S,1,12,14,1.1,5.5,10,-2,8,12,0,0.00
7358,S,1,35,38,1.3,5.8,10,-2,8,12,0,0.00
7394,S,1,10,11,1.0,3.0,11,-2,9,13,0,0.00
7516,S,1,116,118,0.8,2.3,9,-1,8,10,0,0.00
7520,S,1,18,17,0.8,2.3,10,0,10,10,0,0.00
7591,S,1,63,61,0.3,-1.1,10,0,10,10,0,0.00
7711,S,1,124,122,0.3,-0.9,9,0,9,9,0,0.00
7720,S,1,2,2,0.3,-0.9,11,0,11,11,0,0.00
7786,S,1,73,75,0.3,-0.7,10,0,10,10,0,0.00
7911,S,1,126,126,0.3,-0.6,9,0,9,9,0,0.00
7920,S,1,3,2,0.3,-0.6,10,0,10,10,0,0.00
7986,S,1,71,68,0.3,-0.4,10,0,10,10,0,0.00
8111,S,1,119,115,0.4,-0.3,9,0,9,9,0,0.00
8120,S,1,2,3,0.4,-0.3,11,0,11,11,0,0.00
8166,S,1,47,47,0.4,-0.2,11,0,11,11,0,0.00
8206,S,1,12,12,0.6,1.1,11,0,11,11,0,0.00
8207,S,1,26,26,0.6,1.1,10,-1,9,11,0,0.00
8330,S,1,115,123,0.6,1.1,9,-1,8,10,0,0.00
8333,S,1,18,17,0.6,1.1,10,-1,9,11,0,0.00
8405,S,1,66,68,0.3,-1.5,10,0,10,10,0,0.00
8524,S,1,118,114,0.1,-1.5,9,0,9,9,0,0.00
8532,S,1,13,13,0.1,-1.5,10,0,10,10,0,0.00
8578,S,1,38,37,0.1,-1.6,10,0,10,10,0,0.00
8613,S,1,12,11,0.2,-0.4,11,0,11,11,0,0.00
8736,S,1,123,126,0.3,-0.3,9,0,9,9,0,0.00
8740,S,1,20,20,0.3,-0.3,9,-1,8,10,0,0.00
8810,S,1,65,68,0.2,-0.8,10,0,10,10,0,0.00
8930,S,1,125,123,0.1,-0.9,9,0,9,9,0,0.00
8939,S,1,4,4,0.1,-0.9,10,0,10,10,0,0.00
8984,S,1,43,44,-0.0,-1.4,10,0,10,10,0,0.00
9025,S,1,11,11,-0.1,-1.5,11,0,11,11,0,0.00
9025,S,1,24,24,-0.1,-1.5,11,0,11,11,0,0.00
9148,S,1,125,125,-0.0,-1.2,9,0,9,9,0,0.00
9152,S,1,19,19,-0.0,-1.2,10,0,10,10,0,0.00
9223,S,1,66,65,0.1,0.0,10,0,10,10,0,0.00
9343,S,1,122,122,0.1,-0.0,10,0,10,10,0,0.00
9351,S,1,1,0,0.1,-0.0,11,0,11,11,0,0.00
9397,S,1,51,51,0.1,0.0,11,0,11,11,0,0.00
9433,S,1,12,12,0.1,-0.2,11,0,11,11,0,0.00
9555,S,1,132,128,0.1,-0.1,9,0,9,9,0,0.00
9559,S,1,21,20,0.1,-0.1,9,0,9,9,0,0.00
9630,S,1,68,64,0.5,2.3,10,-1,9,11,0,0.00
9750,S,1,126,130,0.5,2.1,9,-1,8,10,0,0.00
9759,S,1,3,3,0.5,2.1,10,-1,9,11,0,0.00
9825,S,1,69,71,0.4,1.0,10,0,10,10,0,0.00
9950,S,1,128,126,0.3,0.7,9,-1,8,10,0,0.00
9958,S,1,3,3,0.3,0.7,10,0,10,10,0,0.00
10004,S,1,46,44,0.3,0.4,10,0,10,10,0,0.00
10045,S,1,11,10,0.4,1.1,11,0,11,11,0,0.00
10045,S,1,24,24,0.4,1.1,11,-1,10,12,0,0.00
10168,S,1,117,123,0.5,1.0,9,-1,8,10,0,0.00
10172,S,1,18,19,0.5,1.0,10,-1,9,11,0,0.00
10222,S,1,43,45,0.5,1.2,10,-1,9,11,0,0.00
10263,S,1,11,12,0.0,-2.3,11,-1,10,12,0,0.00
10263,S,1,32,35,0.0,-2.3,11,1,12,10,0,0.00
10386,S,1,129,125,-0.2,-2.3,9,1,10,8,0,0.00
10390,S,1,21,19,-0.2,-2.3,10,1,11,9,0,0.00
10461,S,1,70,63,-0.1,-1.1,10,0,10,10,0,0.00
10580,S,1,127,123,0.2,-0.6,9,0,9,9,0,0.00
10589,S,1,3,3,0.2,-0.6,10,0,10,10,0,0.00
10634,S,1,48,45,0.3,0.1,10,0,10,10,0,0.00
10670,S,1,12,11,0.6,2.8,10,0,10,10,0,0.00
10792,S,1,121,122,0.7,2.5,9,-1,8,10,0,0.00
10797,S,1,1,1,0.7,2.5,11,-1,10,12,0,0.00
10867,S,1,71,73,0.9,3.0,10,-1,9,11,0,0.00
10987,S,1,124,128,0.7,2.4,9,-1,8,10,0,0.00
10996,S,1,6,7,0.7,2.4,10,-1,9,11,0,0.00
11041,S,1,39,41,0.8,2.2,10,-1,9,11,0,0.00
11080,S,1,10,12,0.5,-0.1,11,-1,10,12,0,0.00
11081,S,1,28,30,0.5,-0.1,11,0,11,11,0,0.00
11203,S,1,121,125,0.3,-0.3,9,0,9,9,0,0.00
11207,S,1,0,0,0.3,-0.3,11,0,11,11,0,0.00
11274,S,1,70,72,-0.2,-3.7,10,0,10,10,0,0.00
11397,S,1,131,132,-0.3,-3.4,9,1,10,8,0,0.00
11405,S,1,7,6,-0.3,-3.4,10,1,11,9,0,0.00
11472,S,1,67,64,-0.5,-4.2,10,0,10,10,0,0.00
11597,S,1,136,133,-0.3,-3.4,9,1,10,8,0,0.00
11605,S,1,8,7,-0.3,-3.4,10,0,10,10,0,0.00
11672,S,1,70,69,-0.1,-1.5,10,0,10,10,0,0.00
11797,S,1,134,134,-0.1,-1.2,9,0,9,9,0,0.00
11805,S,1,7,7,-0.1,-1.2,10,0,10,10,0,0.00
11872,S,1,67,67,-0.0,-0.5,10,0,10,10,0,0.00
11997,S,1,129,127,0.1,-0.3,9,0,9,9,0,0.00
12005,S,1,7,7,0.1,-0.3,10,0,10,10,0,0.00
12072,S,1,65,64,0.2,0.5,10,0,10,10,0,0.00
12197,S,1,128,128,0.2,0.4,9,-1,8,10,0,0.00
12205,S,1,7,8,0.2,0.4,10,-1,9,11,0,0.00
12272,S,1,65,68,0.2,0.3,10,0,10,10,0,0.00
12397,S,1,133,128,0.1,0.1,9,0,9,9,0,0.00
12405,S,1,7,7,0.1,0.1,10,0,10,10,0,0.00
12472,S,1,69,65,0.2,0.7,10,0,10,10,0,0.00
12597,S,1,132,132,0.2,0.7,9,-1,8,10,0,0.00
12605,S,1,7,8,0.2,0.7,10,0,10,10,0,0.00
12651,S,1,42,44,0.2,0.8,10,-1,9,11,0,0.00
12691,S,1,11,12,0.2,0.9,11,-1,10,12,0,0.00
12692,S,1,32,33,0.2,0.9,10,-1,9,11,0,0.00
12814,S,1,119,123,0.2,0.7,9,-1,8,10,0,0.00
12818,S,1,17,18,0.2,0.7,10,0,10,10,0,0.00
12889,S,1,57,58,-0.2,-2.3,10,0,10,10,0,0.00
13008,S,1,108,110,-0.3,-2.1,9,0,9,9,0,0.00
13017,S,1,5,5,-0.3,-2.1,10,0,10,10,0,0.00
13062,S,1,38,39,-0.3,-2.0,10,0,10,10,0,0.00
13103,S,1,11,10,-0.5,-2.6,11,0,11,11,0,0.00
13103,S,1,30,32,-0.5,-2.6,11,0,11,11,0,0.00
13226,S,1,119,122,-0.6,-2.4,9,0,9,9,0,0.00
13230,S,1,20,20,-0.6,-2.4,10,0,10,10,0,0.00
13301,S,1,64,63,-0.9,-4.5,10,1,11,9,0,0.00
13421,S,1,125,117,-0.9,-3.9,9,1,10,8,0,0.00
13429,S,1,3,2,-0.9,-3.9,10,1,11,9,0,0.00
13491,S,1,65,61,-0.5,-0.4,10,0,10,10,0,0.00
13620,S,1,135,130,-0.3,-0.1,9,0,9,9,0,0.00
13628,S,1,3,4,-0.3,-0.1,10,0,10,10,0,0.00
13700,S,1,78,75,0.2,3.4,10,-1,9,11,0,0.00
