HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=201,m=S,run=1,el=37,er=37,yaw=0.2,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=201,m=S,run=1,el=60,er=49,yaw=0.2,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=319,m=S,run=1,el=82,er=69,yaw=0.6,yr=0.5,pc=3,hd=0,OL=3,OR=3
HB:t=328,m=S,run=1,el=1,er=1,yaw=0.6,yr=0.5,pc=4,hd=0,OL=4,OR=4
HB:t=394,m=S,run=1,el=55,er=46,yaw=1.5,yr=6.8,pc=5,hd=-1,OL=4,OR=6
HB:t=553,m=S,run=1,el=93,er=80,yaw=2.1,yr=6.6,pc=5,hd=-2,OL=3,OR=7
HB:t=553,m=S,run=1,el=39,er=35,yaw=2.1,yr=6.6,pc=7,hd=-2,OL=5,OR=9
HB:t=588,m=S,run=1,el=8,er=7,yaw=3.0,yr=11.8,pc=7,hd=-2,OL=5,OR=9
HB:t=593,m=S,run=1,el=2,er=1,yaw=3.0,yr=11.8,pc=9,hd=-3,OL=6,OR=12
HB:t=723,m=S,run=1,el=94,er=101,yaw=3.2,yr=10.4,pc=9,hd=-3,OL=6,OR=12
HB:t=727,m=S,run=1,el=15,er=18,yaw=3.2,yr=10.4,pc=9,hd=-3,OL=6,OR=12
HB:t=798,m=S,run=1,el=56,er=66,yaw=2.9,yr=7.1,pc=10,hd=-2,OL=8,OR=12
HB:t=953,m=S,run=1,el=103,er=119,yaw=2.3,yr=5.3,pc=9,hd=-2,OL=7,OR=11
HB:t=953,m=S,run=1,el=46,er=51,yaw=2.3,yr=5.3,pc=9,hd=-2,OL=7,OR=11
HB:t=1005,m=S,run=1,el=10,er=10,yaw=1.1,yr=-3.9,pc=9,hd=-2,OL=7,OR=11
HB:t=1005,m=S,run=1,el=34,er=38,yaw=1.1,yr=-3.9,pc=10,hd=0,OL=10,OR=10
HB:t=1124,m=S,run=1,el=108,er=111,yaw=0.8,yr=-3.7,pc=8,hd=0,OL=8,OR=8
HB:t=1132,m=S,run=1,el=7,er=6,yaw=0.8,yr=-3.7,pc=9,hd=0,OL=9,OR=9
HB:t=1194,m=S,run=1,el=52,er=53,yaw=0.4,yr=-6.2,pc=10,hd=0,OL=10,OR=10
HB:t=1357,m=S,run=1,el=106,er=110,yaw=0.1,yr=-5.6,pc=8,hd=0,OL=8,OR=8
HB:t=1357,m=S,run=1,el=42,er=42,yaw=0.1,yr=-5.6,pc=9,hd=0,OL=9,OR=9
HB:t=1393,m=S,run=1,el=9,er=8,yaw=-0.3,yr=-7.8,pc=10,hd=0,OL=10,OR=10
HB:t=1397,m=S,run=1,el=20,er=22,yaw=-0.3,yr=-7.8,pc=10,hd=1,OL=11,OR=9
HB:t=1567,m=S,run=1,el=114,er=110,yaw=-0.5,yr=-7.0,pc=9,hd=1,OL=10,OR=8
HB:t=1567,m=S,run=1,el=59,er=55,yaw=-0.5,yr=-7.0,pc=9,hd=1,OL=10,OR=8
HB:t=1603,m=S,run=1,el=11,er=9,yaw=-0.3,yr=-4.7,pc=10,hd=1,OL=11,OR=9
HB:t=1757,m=S,run=1,el=107,er=114,yaw=-0.2,yr=-3.9,pc=9,hd=0,OL=9,OR=9
HB:t=1757,m=S,run=1,el=45,er=45,yaw=-0.2,yr=-3.9,pc=9,hd=0,OL=9,OR=9
HB:t=1793,m=S,run=1,el=9,er=10,yaw=-0.4,yr=-4.4,pc=10,hd=0,OL=10,OR=10
HB:t=1797,m=S,run=1,el=22,er=21,yaw=-0.4,yr=-4.4,pc=10,hd=0,OL=10,OR=10
HB:t=1927,m=S,run=1,el=106,er=110,yaw=-0.4,yr=-3.9,pc=9,hd=0,OL=9,OR=9
HB:t=1931,m=S,run=1,el=3,er=4,yaw=-0.4,yr=-3.9,pc=10,hd=0,OL=10,OR=10
HB:t=2002,m=S,run=1,el=63,er=62,yaw=-0.7,yr=-5.1,pc=10,hd=0,OL=10,OR=10
HB:t=2122,m=S,run=1,el=114,er=112,yaw=-0.6,yr=-4.3,pc=8,hd=1,OL=9,OR=7
HB:t=2131,m=S,run=1,el=8,er=8,yaw=-0.6,yr=-4.3,pc=9,hd=0,OL=9,OR=9
HB:t=2197,m=S,run=1,el=55,er=55,yaw=-0.5,yr=-3.0,pc=9,hd=0,OL=9,OR=9
HB:t=2356,m=S,run=1,el=108,er=108,yaw=-0.5,yr=-2.5,pc=9,hd=0,OL=9,OR=9
HB:t=2357,m=S,run=1,el=46,er=47,yaw=-0.5,yr=-2.5,pc=9,hd=0,OL=9,OR=9
HB:t=2392,m=S,run=1,el=22,er=22,yaw=-0.5,yr=-2.5,pc=10,hd=0,OL=10,OR=10
HB:t=2566,m=S,run=1,el=115,er=115,yaw=-0.5,yr=-2.2,pc=9,hd=0,OL=9,OR=9
HB:t=2566,m=S,run=1,el=59,er=58,yaw=-0.5,yr=-2.2,pc=9,hd=0,OL=9,OR=9
HB:t=2602,m=S,run=1,el=10,er=10,yaw=-0.6,yr=-2.2,pc=10,hd=0,OL=10,OR=10
HB:t=2757,m=S,run=1,el=112,er=110,yaw=-0.5,yr=-1.8,pc=8,hd=0,OL=8,OR=8
HB:t=2757,m=S,run=1,el=44,er=45,yaw=-0.5,yr=-1.8,pc=9,hd=0,OL=9,OR=9
HB:t=2793,m=S,run=1,el=9,er=9,yaw=-0.5,yr=-1.3,pc=10,hd=0,OL=10,OR=10
HB:t=2797,m=S,run=1,el=21,er=21,yaw=-0.5,yr=-1.3,pc=10,hd=0,OL=10,OR=10
HB:t=2966,m=S,run=1,el=107,er=111,yaw=-0.5,yr=-1.2,pc=9,hd=0,OL=9,OR=9
HB:t=2966,m=S,run=1,el=56,er=56,yaw=-0.5,yr=-1.2,pc=9,hd=0,OL=9,OR=9
HB:t=3002,m=S,run=1,el=10,er=10,yaw=-0.6,yr=-1.7,pc=10,hd=0,OL=10,OR=10
