t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,-2,0,4,0,0.00
180,S,1,0,30,0.0,0.0,3,-2,1,5,0,0.00
180,S,1,26,27,0.0,0.0,4,-2,2,6,0,0.00
220,S,1,5,5,-1.2,-8.4,3,-2,1,5,0,0.00
377,S,1,69,76,-1.7,-7.9,2,1,3,1,0,0.00
378,S,1,31,37,-1.7,-7.9,4,1,5,3,0,0.00
413,S,1,13,16,-2.3,-10.7,6,2,8,4,0,0.00
570,S,1,68,85,-3.0,-10.2,6,2,8,4,0,0.00
571,S,1,32,42,-3.0,-10.2,8,2,10,6,0,0.00
606,S,1,30,27,-4.2,-16.9,19,4,23,15,0,0.00
769,S,1,161,139,-5.1,-15.7,12,5,17,7,0,0.00
770,S,1,86,68,-5.1,-15.7,12,4,16,8,0,0.00
805,S,1,44,34,-4.5,-9.1,16,2,18,14,0,0.00
970,S,1,208,157,-2.2,-5.0,9,3,12,6,0,0.00
970,S,1,91,63,-2.2,-5.0,10,1,11,9,0,0.00
1022,S,1,17,13,1.4,20.9,18,2,20,16,0,0.00
1022,S,1,80,66,1.4,20.9,16,-3,13,19,0,0.00
1141,S,1,195,185,3.6,20.8,11,-4,7,15,0,0.00
1149,S,1,2,3,3.6,20.8,51,-4,47,55,0,0.00
1190,S,1,117,131,4.1,21.6,35,-3,32,38,0,0.00
1246,S,1,34,42,4.5,21.2,23,-3,20,26,0,0.00
1246,S,1,121,157,4.5,21.2,19,-3,16,22,0,0.00
1400,S,1,265,322,4.1,17.7,10,-4,6,14,0,0.00
1400,S,1,94,117,4.1,17.7,11,-3,8,14,0,0.00
1431,S,1,20,27,0.7,-8.1,27,-3,24,30,0,0.00
1440,S,1,3,4,0.7,-8.1,60,4,60,56,0,0.00
1606,S,1,579,505,-1.7,-9.8,29,4,33,25,0,0.00
1607,S,1,281,246,-1.7,-9.8,23,5,28,18,0,0.00
1642,S,1,74,72,-5.3,-33.6,17,8,25,9,0,0.00
1802,S,1,462,375,-10.1,-35.1,14,10,24,4,0,0.00
1802,S,1,204,134,-10.1,-35.1,14,11,25,3,0,0.00
1833,S,1,43,26,-6.5,-5.0,60,11,60,49,0,0.00
1842,S,1,106,78,-6.5,-5.0,60,2,60,58,0,0.00
