t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
184,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
185,S,1,19,22,0.0,0.0,3,0,0,3,3,0,0.00
322,S,1,44,50,0.0,0.0,3,0,0,3,3,0,0.00
326,S,1,9,9,0.0,0.0,4,0,0,4,4,0,0.00
380,S,1,23,24,-0.0,-0.6,5,0,0,5,5,0,0.00
420,S,1,5,6,-0.5,-0.6,6,0,0,6,6,0,0.00
578,S,1,78,84,-0.8,-6.1,6,1,0,7,5,0,0.00
578,S,1,37,37,-0.8,-6.1,8,1,0,9,7,0,0.00
614,S,1,8,7,-1.2,-6.1,9,1,0,10,8,0,0.00
737,S,1,99,92,-1.3,-8.4,10,2,1,12,8,0,0.00
741,S,1,2,1,-1.3,-8.4,11,1,1,12,10,0,0.00
791,S,1,46,43,-1.2,-3.9,12,1,0,13,11,0,0.00
827,S,1,11,10,-0.8,-3.9,12,1,0,13,11,0,0.00
949,S,1,125,121,-0.6,3.7,10,0,0,10,10,0,0.00
953,S,1,19,18,-0.6,3.7,10,0,0,10,10,0,0.00
1035,S,1,77,75,0.0,5.6,10,0,0,10,10,0,0.00
1153,S,1,122,116,0.1,5.6,9,-1,0,8,10,0,0.00
1162,S,1,6,6,0.1,5.6,10,0,0,10,10,0,0.00
1203,S,1,37,35,0.1,3.3,11,0,0,11,11,0,0.00
1243,S,1,11,11,0.5,3.3,11,0,0,11,11,0,0.00
1244,S,1,27,25,0.5,6.4,11,-1,-1,10,12,0,0.00
1366,S,1,113,113,0.7,6.4,10,-1,-1,9,11,0,0.00
1370,S,1,2,1,0.7,6.4,11,-1,-1,10,12,0,0.00
1420,S,1,44,46,0.8,4.7,11,-1,0,10,12,0,0.00
1460,S,1,11,11,0.8,4.7,11,-1,0,10,12,0,0.00
1460,S,1,24,25,0.8,2.4,11,-1,0,10,12,0,0.00
1583,S,1,120,125,0.7,2.4,10,-1,0,9,11,0,0.00
1587,S,1,19,20,0.7,2.4,10,0,0,10,10,0,0.00
1658,S,1,69,71,0.2,-2.3,10,0,0,10,10,0,0.00
1778,S,1,134,134,0.1,-2.3,10,0,0,10,10,0,0.00
1786,S,1,1,1,0.1,-2.3,11,0,0,11,11,0,0.00
1848,S,1,76,76,0.0,-1.4,11,0,0,11,11,0,0.00
1977,S,1,132,135,0.0,-1.4,10,0,0,10,10,0,0.00
1985,S,1,1,1,0.0,-1.4,11,0,0,11,11,0,0.00
2057,S,1,83,84,-0.2,-1.9,11,0,0,11,11,0,0.00
2178,S,1,133,133,-0.2,-1.9,10,0,0,10,10,0,0.00
2186,S,1,0,1,-0.2,-1.9,11,0,0,11,11,0,0.00
2248,S,1,72,71,-0.2,-0.8,11,0,0,11,11,0,0.00
2377,S,1,128,127,-0.1,-0.8,10,0,0,10,10,0,0.00
2385,S,1,1,0,-0.1,-0.8,12,0,0,12,12,0,0.00
2436,S,1,56,57,-0.1,-0.2,11,0,0,11,11,0,0.00
2488,S,1,12,13,-0.3,-0.2,11,0,0,11,11,0,0.00
2489,S,1,50,50,-0.3,-1.9,11,0,0,11,11,0,0.00
2607,S,1,133,134,-0.3,-1.9,9,0,0,9,9,0,0.00
2615,S,1,1,1,-0.3,-1.9,11,0,0,11,11,0,0.00
2661,S,1,53,53,-0.4,-1.3,11,0,0,11,11,0,0.00
2701,S,1,13,12,-0.4,-1.3,11,0,0,11,11,0,0.00
2701,S,1,28,27,-0.4,-1.0,11,0,0,11,11,0,0.00
2859,S,1,129,130,-0.3,-1.0,9,0,0,9,9,0,0.00
2859,S,1,58,57,-0.3,-1.0,10,0,0,10,10,0,0.00
2895,S,1,12,11,-0.3,-1.0,10,0,0,10,10,0,0.00
2899,S,1,4,5,-0.3,-0.2,11,0,0,11,11,0,0.00
3058,S,1,123,124,-0.3,-0.2,10,0,0,10,10,0,0.00
3059,S,1,59,57,-0.3,-0.2,10,0,0,10,10,0,0.00
3094,S,1,11,11,-0.2,-0.2,11,0,0,11,11,0,0.00
3098,S,1,28,28,-0.2,1.0,11,0,0,11,11,0,0.00
3223,S,1,122,118,-0.2,1.0,10,0,0,10,10,0,0.00
3227,S,1,19,18,-0.2,1.0,10,0,0,10,10,0,0.00
3277,S,1,43,42,-0.1,0.8,11,0,0,11,11,0,0.00
