t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
1,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
123,S,1,32,35,0.0,0.0,2,0,0,2,2,0,0.00
127,S,1,7,8,0.0,0.0,3,0,0,3,3,0,0.00
226,S,1,46,48,-0.1,0.0,4,0,0,4,4,0,0.00
344,S,1,67,71,-0.2,0.0,4,0,0,4,4,0,0.00
352,S,1,5,4,-0.2,0.0,5,0,0,5,5,0,0.00
419,S,1,37,38,-0.5,-2.1,7,0,0,7,7,0,0.00
543,S,1,74,77,-0.6,-2.1,8,1,0,9,7,0,0.00
551,S,1,8,10,-0.6,-2.1,8,0,0,8,8,0,0.00
597,S,1,26,28,-0.7,-1.4,10,0,0,10,10,0,0.00
637,S,1,8,9,-1.0,-1.4,11,0,0,11,11,0,0.00
638,S,1,22,24,-1.0,-5.0,11,1,0,12,10,0,0.00
760,S,1,111,109,-1.2,-5.0,11,1,0,12,10,0,0.00
764,S,1,1,0,-1.2,-5.0,12,1,0,13,11,0,0.00
835,S,1,78,76,-1.4,-3.8,11,1,0,12,10,0,0.00
954,S,1,139,129,-1.3,-3.8,9,1,0,10,8,0,0.00
963,S,1,8,7,-1.3,-3.8,10,1,0,11,9,0,0.00
1029,S,1,69,62,-0.9,0.8,10,0,0,10,10,0,0.00
1154,S,1,128,134,-0.7,0.8,9,1,0,10,8,0,0.00
1162,S,1,8,8,-0.7,0.8,10,0,0,10,10,0,0.00
1224,S,1,60,59,-0.4,3.1,11,0,0,11,11,0,0.00
1354,S,1,127,123,-0.3,3.1,9,0,0,9,9,0,0.00
1362,S,1,8,8,-0.3,3.1,10,0,0,10,10,0,0.00
1433,S,1,68,66,0.1,3.7,10,0,0,10,10,0,0.00
1554,S,1,116,113,0.2,3.7,9,0,0,9,9,0,0.00
1563,S,1,7,7,0.2,3.7,10,0,0,10,10,0,0.00
1629,S,1,64,61,0.5,3.9,11,0,0,11,11,0,0.00
1754,S,1,131,126,0.6,3.9,10,-1,0,9,11,0,0.00
1762,S,1,8,8,0.6,3.9,10,-1,0,9,11,0,0.00
1829,S,1,64,66,0.8,3.4,10,-1,0,9,11,0,0.00
1954,S,1,128,127,0.9,3.4,10,-1,0,9,11,0,0.00
1962,S,1,8,8,0.9,3.4,10,-1,0,9,11,0,0.00
2029,S,1,63,65,1.0,2.4,10,-1,0,9,11,0,0.00
2154,S,1,124,130,0.9,2.4,10,-1,0,9,11,0,0.00
2162,S,1,8,8,0.9,2.4,10,-1,0,9,11,0,0.00
2229,S,1,62,68,0.3,-2.5,11,0,0,11,11,0,0.00
2354,S,1,119,124,0.1,-2.5,10,0,0,10,10,0,0.00
2362,S,1,7,8,0.1,-2.5,11,0,0,11,11,0,0.00
2429,S,1,62,63,-0.2,-3.2,11,0,0,11,11,0,0.00
2554,S,1,124,125,-0.3,-3.2,10,1,0,11,9,0,0.00
2562,S,1,8,8,-0.3,-3.2,11,0,0,11,11,0,0.00
2629,S,1,64,66,-0.6,-3.4,10,1,0,11,9,0,0.00
2754,S,1,131,129,-0.7,-3.4,10,1,0,11,9,0,0.00
2762,S,1,8,8,-0.7,-3.4,10,1,0,11,9,0,0.00
2829,S,1,69,64,-0.7,-1.5,10,0,0,10,10,0,0.00
2954,S,1,133,128,-0.4,-1.5,9,1,0,10,8,0,0.00
2962,S,1,9,8,-0.4,-1.5,10,0,0,10,10,0,0.00
3029,S,1,66,64,-0.0,1.9,10,0,0,10,10,0,0.00
3154,S,1,125,124,0.2,1.9,10,0,0,10,10,0,0.00
3162,S,1,8,8,0.2,1.9,10,0,0,10,10,0,0.00
3229,S,1,61,60,0.4,2.4,11,0,0,11,11,0,0.00
3354,S,1,122,115,0.4,2.4,10,0,0,10,10,0,0.00
3362,S,1,7,7,0.4,2.4,11,0,0,11,11,0,0.00
3429,S,1,65,61,0.7,3.3,11,-1,0,10,12,0,0.00
3554,S,1,127,127,0.9,3.3,10,-1,0,9,11,0,0.00
3562,S,1,8,8,0.9,3.3,10,-1,0,9,11,0,0.00
3629,S,1,63,67,1.1,2.7,10,-1,0,9,11,0,0.00
3754,S,1,131,131,1.1,2.7,9,-1,0,8,10,0,0.00
3762,S,1,8,9,1.1,2.7,10,-1,0,9,11,0,0.00
3829,S,1,62,65,0.7,-0.9,10,0,0,10,10,0,0.00
3954,S,1,125,126,0.6,-0.9,9,0,0,9,9,0,0.00
3962,S,1,8,8,0.6,-0.9,10,0,0,10,10,0,0.00
4008,S,1,40,42,0.6,-0.9,11,0,0,11,11,0,0.00
4048,S,1,11,11,0.5,-0.9,11,0,0,11,11,0,0.00
4049,S,1,29,30,0.5,-1.1,11,0,0,11,11,0,0.00
4171,S,1,120,123,0.4,-1.1,10,0,0,10,10,0,0.00
4175,S,1,18,19,0.4,-1.1,10,0,0,10,10,0,0.00
4225,S,1,46,47,0.4,-1.1,11,0,0,11,11,0,0.00
4260,S,1,10,10,0.0,-1.1,11,0,0,11,11,0,0.00
4383,S,1,113,117,-0.1,-5.7,10,1,0,11,9,0,0.00
4387,S,1,18,17,-0.1,-5.7,10,0,0,10,10,0,0.00
4457,S,1,61,61,-0.3,-4.2,11,0,0,11,11,0,0.00
4578,S,1,125,124,-0.3,-4.2,9,1,0,10,8,0,0.00
4587,S,1,3,4,-0.3,-4.2,10,0,0,10,10,0,0.00
4653,S,1,72,75,-0.5,-3.3,10,0,0,10,10,0,0.00
4778,S,1,127,132,-0.5,-3.3,9,1,0,10,8,0,0.00
4786,S,1,3,4,-0.5,-3.3,10,1,0,11,9,0,0.00
4853,S,1,69,67,-0.8,-3.1,11,1,0,12,10,0,0.00
4978,S,1,137,127,-0.6,-3.1,9,1,0,10,8,0,0.00
4986,S,1,4,3,-0.6,-3.1,10,1,0,11,9,0,0.00
5032,S,1,49,45,-0.6,-1.2,11,0,0,11,11,0,0.00
5072,S,1,12,12,-0.1,-1.2,11,0,0,11,11,0,0.00
5073,S,1,23,25,-0.1,5.7,11,0,0,11,11,0,0.00
5230,S,1,121,123,0.2,5.7,9,0,0,9,9,0,0.00
5231,S,1,55,54,0.2,5.7,10,-1,0,9,11,0,0.00
5266,S,1,11,11,0.3,5.7,11,-1,0,10,12,0,0.00
5270,S,1,26,26,0.3,3.3,11,0,0,11,11,0,0.00
5390,S,1,123,116,0.3,3.3,10,0,0,10,10,0,0.00
5398,S,1,2,2,0.3,3.3,11,0,0,11,11,0,0.00
5449,S,1,57,53,0.3,1.7,11,0,0,11,11,0,0.00
5490,S,1,12,11,0.6,1.7,11,0,0,11,11,0,0.00
5490,S,1,35,34,0.6,4.1,11,-1,0,10,12,0,0.00
5613,S,1,129,132,0.8,4.1,9,-1,0,8,10,0,0.00
5617,S,1,20,21,0.8,4.1,10,-1,0,9,11,0,0.00
5688,S,1,63,67,0.9,2.7,10,-1,0,9,11,0,0.00
5807,S,1,120,121,0.8,2.7,9,-1,0,8,10,0,0.00
5816,S,1,4,4,0.8,2.7,10,-1,0,9,11,0,0.00
5861,S,1,42,44,0.8,1.0,11,0,0,11,11,0,0.00
5897,S,1,11,11,0.6,1.0,12,0,0,12,12,0,0.00
6019,S,1,122,122,0.6,-1.7,10,0,0,10,10,0,0.00
6023,S,1,2,2,0.6,-1.7,11,0,0,11,11,0,0.00
