t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
12,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
157,S,1,27,29,0.0,0.0,2,0,0,2,2,0,0.00
158,S,1,13,12,0.0,0.0,3,0,0,3,3,0,0.00
216,S,1,20,18,0.0,0.0,5,0,0,5,5,0,0.00
343,S,1,48,44,0.2,0.0,6,0,0,6,6,0,0.00
344,S,1,11,10,0.2,0.0,6,0,0,6,6,0,0.00
397,S,1,21,19,0.3,1.1,8,0,0,8,8,0,0.00
542,S,1,71,66,0.5,1.1,9,0,0,9,9,0,0.00
543,S,1,14,13,0.5,1.1,10,-1,0,9,11,0,0.00
621,S,1,47,46,0.9,3.4,12,-1,-1,11,13,0,0.00
740,S,1,97,96,1.0,3.4,11,-2,-1,9,13,0,0.00
748,S,1,7,8,1.0,3.4,11,-1,-1,10,12,0,0.00
794,S,1,37,39,1.1,2.1,11,-1,-1,10,12,0,0.00
834,S,1,10,10,1.1,2.1,12,-1,-1,11,13,0,0.00
834,S,1,28,29,1.1,1.8,12,-1,-1,11,13,0,0.00
957,S,1,113,118,1.0,1.8,10,-1,-1,9,11,0,0.00
961,S,1,0,1,1.0,1.8,12,-1,-1,11,13,0,0.00
1032,S,1,66,72,0.5,-3.0,11,1,1,12,10,0,0.00
1152,S,1,111,112,0.2,-3.0,10,1,1,11,9,0,0.00
1160,S,1,5,5,0.2,-3.0,11,1,1,12,10,0,0.00
1227,S,1,59,57,0.1,-2.0,11,1,1,12,10,0,0.00
1351,S,1,123,114,0.2,-2.0,10,1,1,11,9,0,0.00
1359,S,1,6,5,0.2,-2.0,11,1,1,12,10,0,0.00
1421,S,1,60,54,0.5,1.5,11,-1,0,10,12,0,0.00
1551,S,1,114,121,0.6,1.5,10,-1,0,9,11,0,0.00
1559,S,1,5,6,0.6,1.5,11,-1,0,10,12,0,0.00
1631,S,1,63,65,0.6,0.8,11,-1,0,10,12,0,0.00
1752,S,1,104,108,0.6,0.8,10,-1,0,9,11,0,0.00
1760,S,1,6,5,0.6,0.8,11,0,0,11,11,0,0.00
1806,S,1,37,38,0.6,0.6,11,0,0,11,11,0,0.00
1846,S,1,10,10,0.1,0.6,12,0,0,12,12,0,0.00
1847,S,1,30,31,0.1,-5.3,12,2,2,14,10,0,0.00
1969,S,1,121,110,0.0,-5.3,10,2,2,12,8,0,0.00
1973,S,1,18,17,0.0,-5.3,10,2,2,12,8,0,0.00
