t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
122,S,1,16,32,0.0,0.0,2,0,0,2,2,0,0.00
126,S,1,1,0,0.0,0.0,3,0,0,3,3,0,0.00
203,S,1,16,28,0.0,0.0,4,0,0,4,4,0,0.00
369,S,1,33,47,-1.4,0.0,5,0,0,5,5,0,0.00
370,S,1,24,25,-1.4,0.0,7,1,0,8,6,0,0.00
404,S,1,10,8,-2.3,-12.8,8,2,1,10,6,0,0.00
562,S,1,72,47,-2.2,-12.8,9,2,1,11,7,0,0.00
562,S,1,47,25,-2.2,-12.8,10,2,1,12,8,0,0.00
598,S,1,10,5,-0.3,-12.8,10,2,1,12,8,0,0.00
602,S,1,27,13,-0.3,8.6,11,0,0,11,11,0,0.00
721,S,1,128,78,0.8,8.6,11,0,0,11,11,0,0.00
730,S,1,2,2,0.8,8.6,12,0,0,12,12,0,0.00
779,S,1,62,42,1.4,9.7,12,-1,0,11,13,0,0.00
814,S,1,14,10,5.0,9.7,11,-1,0,10,12,0,0.00
971,S,1,129,148,7.4,19.9,9,-7,-4,2,16,0,0.00
972,S,1,56,85,7.4,19.9,10,-7,-4,3,17,0,0.00
1007,S,1,11,18,6.5,19.9,10,-7,-4,3,17,0,0.00
1011,S,1,25,42,6.5,-3.3,10,-3,0,7,13,0,0.00
1137,S,1,111,178,5.1,-3.3,9,-4,0,5,13,0,0.00
1141,S,1,17,26,5.1,-3.3,9,-2,0,7,11,0,0.00
1191,S,1,36,56,3.5,-16.7,10,1,3,11,9,0,0.00
1232,S,1,10,14,-0.1,-16.7,11,1,3,12,10,0,0.00
1232,S,1,29,38,-0.1,-23.3,11,5,5,16,6,0,0.00
1354,S,1,140,124,-3.2,-23.3,9,6,5,15,3,0,0.00
1359,S,1,24,17,-3.2,-23.3,10,7,5,17,3,0,0.00
1408,S,1,56,34,-4.3,-21.8,10,6,5,16,4,0,0.00
1448,S,1,17,11,-3.8,-21.8,10,7,5,17,3,0,0.00
1448,S,1,42,24,-3.8,-4.8,10,1,0,11,9,0,0.00
