t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
122,S,1,31,39,-0.0,0.0,2,0,0,2,2,0,0.00
126,S,1,1,0,-0.0,0.0,3,0,0,3,3,0,0.00
229,S,1,45,61,-0.5,0.0,3,0,0,3,3,0,0.00
347,S,1,64,81,-1.2,0.0,4,0,0,4,4,0,0.00
356,S,1,4,6,-1.2,0.0,5,1,0,6,4,0,0.00
422,S,1,37,48,-2.7,-19.8,6,4,3,10,2,0,0.00
546,S,1,91,96,-3.4,-19.8,7,5,3,12,2,0,0.00
554,S,1,11,11,-3.4,-19.8,8,4,3,12,4,0,0.00
600,S,1,34,32,-3.6,-4.4,9,2,1,11,7,0,0.00
634,S,1,20,18,-4.1,-13.4,10,4,2,14,6,0,0.00
757,S,1,122,107,-4.1,-13.4,10,4,2,14,6,0,0.00
761,S,1,21,18,-4.1,-13.4,10,4,2,14,6,0,0.00
832,S,1,79,59,-3.5,7.9,10,0,-1,10,10,0,0.00
951,S,1,143,125,-2.6,7.9,9,1,-1,10,8,0,0.00
960,S,1,4,3,-2.6,7.9,10,0,-1,10,10,0,0.00
1026,S,1,79,66,-0.2,30.0,10,-4,-5,6,14,0,0.00
1151,S,1,132,143,0.6,30.0,9,-5,-5,4,14,0,0.00
1159,S,1,3,4,0.6,30.0,10,-5,-5,5,15,0,0.00
1226,S,1,67,87,0.7,2.1,10,0,0,10,10,0,0.00
1351,S,1,130,148,-0.3,2.1,9,-1,0,8,10,0,0.00
1359,S,1,3,3,-0.3,2.1,10,0,0,10,10,0,0.00
1405,S,1,43,49,-0.8,-9.6,11,2,1,13,9,0,0.00
1445,S,1,11,12,-2.4,-9.6,11,2,1,13,9,0,0.00
1446,S,1,25,24,-2.4,-30.0,11,6,5,17,5,0,0.00
1603,S,1,153,115,-3.1,-30.0,9,6,5,15,3,0,0.00
1604,S,1,82,57,-3.1,-30.0,9,6,5,15,3,0,0.00
1639,S,1,16,11,-1.2,-30.0,11,6,5,17,5,0,0.00
1643,S,1,42,27,-1.2,30.0,10,-4,-5,6,14,0,0.00
1762,S,1,141,147,-0.0,30.0,9,-4,-5,5,13,0,0.00
1771,S,1,2,3,-0.0,30.0,10,-4,-5,6,14,0,0.00
1821,S,1,55,67,0.6,11.3,10,-2,-2,8,12,0,0.00
1862,S,1,11,15,1.9,11.3,11,-2,-2,9,13,0,0.00
1862,S,1,33,40,1.9,30.0,11,-5,-5,6,16,0,0.00
1985,S,1,120,169,1.0,30.0,9,-6,-5,3,15,0,0.00
1989,S,1,18,27,1.0,30.0,9,-5,-5,4,14,0,0.00
2055,S,1,55,82,-2.6,-30.0,10,6,5,16,4,0,0.00
2179,S,1,159,148,-4.3,-30.0,8,6,5,14,2,0,0.00
2187,S,1,7,6,-4.3,-30.0,9,6,5,15,3,0,0.00
2237,S,1,67,49,-5.1,-12.5,10,4,2,14,6,0,0.00
2272,S,1,16,11,-5.6,-12.5,10,4,2,14,6,0,0.00
2395,S,1,173,114,-4.7,-16.0,8,6,2,14,2,0,0.00
2399,S,1,27,18,-4.7,-16.0,9,5,2,14,4,0,0.00
2470,S,1,91,56,-1.1,30.0,10,-4,-5,6,14,0,0.00
2589,S,1,146,143,2.5,30.0,8,-4,-5,4,12,0,0.00
2598,S,1,7,7,2.5,30.0,9,-5,-5,4,14,0,0.00
2664,S,1,70,85,4.8,29.7,10,-6,-4,4,16,0,0.00
2789,S,1,127,186,4.0,29.7,9,-7,-4,2,16,0,0.00
2797,S,1,6,9,4.0,29.7,9,-6,-4,3,15,0,0.00
2864,S,1,64,106,0.4,-30.0,9,5,5,14,4,0,0.00
2989,S,1,163,156,-2.6,-30.0,9,5,5,14,4,0,0.00
2997,S,1,9,7,-2.6,-30.0,9,6,5,15,3,0,0.00
3064,S,1,94,67,-4.2,-21.2,10,5,3,15,5,0,0.00
3189,S,1,192,123,-2.8,-21.2,9,6,3,15,3,0,0.00
3197,S,1,9,5,-2.8,-21.2,9,5,3,14,4,0,0.00
3264,S,1,106,61,0.8,30.0,9,-5,-5,4,14,0,0.00
3389,S,1,158,162,4.7,30.0,9,-5,-5,4,14,0,0.00
3397,S,1,6,8,4.7,30.0,9,-6,-5,3,15,0,0.00
3443,S,1,45,59,5.6,17.1,10,-5,-3,5,15,0,0.00
3483,S,1,12,16,6.8,17.1,10,-5,-3,5,15,0,0.00
3484,S,1,33,46,6.8,30.0,10,-7,-5,3,17,0,0.00
3607,S,1,119,181,5.7,30.0,9,-8,-5,1,17,0,0.00
3610,S,1,18,31,5.7,30.0,9,-7,-5,2,16,0,0.00
3661,S,1,40,64,4.6,-19.0,9,1,3,10,8,0,0.00
3717,S,1,11,16,1.0,-19.0,10,1,3,11,9,0,0.00
3718,S,1,53,60,1.0,-30.0,10,4,5,14,6,0,0.00
3836,S,1,132,133,-3.7,-30.0,9,5,5,14,4,0,0.00
3844,S,1,16,13,-3.7,-30.0,9,6,5,15,3,0,0.00
3885,S,1,42,34,-4.1,-9.0,10,3,1,13,7,0,0.00
3925,S,1,14,12,-4.2,-9.0,10,3,1,13,7,0,0.00
3926,S,1,30,23,-4.2,-1.2,10,2,0,12,8,0,0.00
4049,S,1,144,110,-3.4,-1.2,9,3,0,12,6,0,0.00
4052,S,1,22,17,-3.4,-1.2,9,2,0,11,7,0,0.00
4124,S,1,78,58,-0.4,30.0,10,-4,-5,6,14,0,0.00
4244,S,1,123,136,0.9,30.0,10,-5,-5,5,15,0,0.00
