t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
196,S,1,31,35,0.0,0.0,2,0,0,2,2,0,0.00
196,S,1,46,42,0.0,0.0,3,0,0,3,3,0,0.00
317,S,1,71,64,0.2,0.0,4,0,0,4,4,0,0.00
326,S,1,9,7,0.2,0.0,4,0,0,4,4,0,0.00
392,S,1,49,43,0.8,8.0,6,-4,-4,2,10,0,0.00
551,S,1,90,83,1.2,8.0,6,-5,-4,1,11,0,0.00
552,S,1,37,34,1.2,8.0,8,-5,-4,3,13,0,0.00
587,S,1,16,17,1.8,16.1,9,-8,-8,1,17,0,0.00
722,S,1,104,154,1.9,16.1,10,-9,-8,1,19,0,0.00
725,S,1,18,29,1.9,16.1,10,-9,-8,1,19,0,0.00
802,S,1,72,124,-1.6,-30.0,9,8,15,17,1,0,0.00
919,S,1,163,163,-4.4,-30.0,8,7,15,15,1,0,0.00
928,S,1,13,11,-4.4,-30.0,9,8,15,17,1,0,0.00
968,S,1,51,39,-5.5,-22.5,9,8,11,17,1,0,0.00
1008,S,1,18,12,-6.8,-22.5,10,9,11,19,1,0,0.00
1008,S,1,37,26,-6.8,-30.0,10,9,15,19,1,0,0.00
1166,S,1,210,125,-4.3,-30.0,8,7,15,15,1,0,0.00
1166,S,1,103,56,-4.3,-30.0,8,7,15,15,1,0,0.00
1202,S,1,20,11,-0.7,-30.0,10,9,15,19,1,0,0.00
1206,S,1,46,25,-0.7,30.0,10,-9,-15,1,19,0,0.00
1365,S,1,164,164,5.9,30.0,8,-7,-15,1,15,0,0.00
1366,S,1,67,87,5.9,30.0,8,-7,-15,1,15,0,0.00
1401,S,1,12,18,6.9,30.0,10,-9,-15,1,19,0,0.00
1405,S,1,30,41,6.9,29.4,10,-9,-15,1,19,0,0.00
1565,S,1,123,207,4.7,29.4,8,-7,-15,1,15,0,0.00
1565,S,1,57,105,4.7,29.4,8,-7,-15,1,15,0,0.00
1601,S,1,11,21,1.1,29.4,9,-8,-15,1,17,0,0.00
1605,S,1,25,50,1.1,-30.0,9,8,15,17,1,0,0.00
1765,S,1,160,164,-5.8,-30.0,8,7,15,15,1,0,0.00
1766,S,1,82,67,-5.8,-30.0,8,7,15,15,1,0,0.00
1801,S,1,40,28,-7.5,-30.0,10,9,15,19,1,0,0.00
1930,S,1,195,122,-6.8,-30.0,8,7,15,15,1,0,0.00
1934,S,1,33,19,-6.8,-30.0,8,7,15,15,1,0,0.00
1984,S,1,71,40,-5.7,20.1,9,-8,-10,1,17,0,0.00
2025,S,1,17,13,-2.1,20.1,10,-8,-10,2,18,0,0.00
2025,S,1,42,45,-2.1,30.0,10,-9,-15,1,19,0,0.00
2148,S,1,150,176,2.3,30.0,8,-7,-15,1,15,0,0.00
2152,S,1,20,30,2.3,30.0,8,-7,-15,1,15,0,0.00
2202,S,1,41,63,3.9,29.5,9,-8,-15,1,17,0,0.00
2243,S,1,11,18,2.0,29.5,9,-8,-15,1,17,0,0.00
2243,S,1,29,48,2.0,-30.0,9,8,15,17,1,0,0.00
2366,S,1,168,153,-0.3,-30.0,8,7,15,15,1,0,0.00
2370,S,1,2,2,-0.3,-30.0,10,9,15,19,1,0,0.00
2441,S,1,115,76,-2.1,-24.8,9,8,12,17,1,0,0.00
2560,S,1,207,119,-0.2,-24.8,7,6,12,13,1,0,0.00
2569,S,1,13,7,-0.2,-24.8,9,8,12,17,1,0,0.00
2614,S,1,70,38,0.7,15.7,9,-8,-8,1,17,0,0.00
2650,S,1,18,13,4.3,15.7,10,-8,-8,2,18,0,0.00
2807,S,1,146,168,10.5,30.0,8,-7,-15,1,15,0,0.00
2808,S,1,61,84,10.5,30.0,8,-7,-15,1,15,0,0.00
2842,S,1,12,16,9.6,30.0,10,-9,-15,1,19,0,0.00
2847,S,1,28,44,9.6,-26.2,10,9,13,19,1,0,0.00
2972,S,1,188,144,8.5,-26.2,8,7,13,15,1,0,0.00
2976,S,1,30,20,8.5,-26.2,8,7,13,15,1,0,0.00
3047,S,1,111,68,8.1,-5.3,9,-1,3,8,10,0,0.00
3167,S,1,166,140,10.4,-5.3,9,-1,3,8,10,0,0.00
3176,S,1,17,15,10.4,-5.3,9,-2,3,7,11,0,0.00
3241,S,1,78,78,13.9,30.0,9,-8,-15,1,17,0,0.00
3367,S,1,123,166,14.2,30.0,8,-7,-15,1,15,0,0.00
3375,S,1,0,0,14.2,30.0,10,-9,-15,1,19,0,0.00
3421,S,1,48,78,14.2,0.4,10,-6,0,4,16,0,0.00
3460,S,1,12,18,11.4,0.4,10,-6,0,4,16,0,0.00
3461,S,1,26,43,11.4,-30.0,10,9,15,19,1,0,0.00
3618,S,1,174,151,7.2,-30.0,8,7,15,15,1,0,0.00
3618,S,1,86,63,7.2,-30.0,8,7,15,15,1,0,0.00
3649,S,1,17,12,7.5,-30.0,9,8,15,17,1,0,0.00
3658,S,1,14,10,7.5,9.7,9,-8,-5,1,17,0,0.00
3821,S,1,146,167,9.4,9.7,8,-7,-5,1,15,0,0.00
3821,S,1,66,91,9.4,9.7,8,-7,-5,1,15,0,0.00
3857,S,1,11,16,9.1,9.7,9,-8,-5,1,17,0,0.00
4011,S,1,128,163,7.3,-8.6,9,0,4,9,9,0,0.00
4012,S,1,50,62,7.3,-8.6,9,1,4,10,8,0,0.00
