t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
175,S,1,36,38,-0.0,0.0,2,0,0,2,2,0,0.00
175,S,1,37,39,-0.0,0.0,3,0,0,3,3,0,0.00
215,S,1,6,6,-0.1,0.0,3,0,0,3,3,0,0.00
216,S,1,16,17,-0.1,-0.5,4,0,0,4,4,0,0.00
373,S,1,76,80,-0.2,0.0,4,0,0,4,4,0,0.00
374,S,1,39,40,-0.2,0.0,6,0,0,6,6,0,0.00
409,S,1,15,15,-0.5,-2.3,7,0,0,7,7,0,0.00
571,S,1,83,86,-0.7,-2.3,8,0,0,8,8,0,0.00
572,S,1,39,41,-0.7,-2.3,10,0,0,10,10,0,0.00
607,S,1,15,15,-1.0,-3.6,11,1,0,12,10,0,0.00
772,S,1,115,113,-1.0,-3.6,11,1,0,12,10,0,0.00
772,S,1,59,58,-1.0,-3.6,11,1,0,12,10,0,0.00
808,S,1,12,11,-1.0,-3.6,11,1,0,12,10,0,0.00
812,S,1,1,2,-1.0,-2.6,12,1,0,13,11,0,0.00
933,S,1,140,140,-1.0,-2.6,10,1,0,11,9,0,0.00
941,S,1,9,8,-1.0,-2.6,10,1,0,11,9,0,0.00
992,S,1,52,48,-1.0,-2.0,10,1,0,11,9,0,0.00
1031,S,1,12,11,-1.0,-2.0,11,1,0,12,10,0,0.00
1032,S,1,27,25,-1.0,-1.3,11,0,0,11,11,0,0.00
1155,S,1,133,130,-0.9,-1.3,9,1,0,10,8,0,0.00
1158,S,1,20,19,-0.9,-1.3,10,0,0,10,10,0,0.00
1230,S,1,72,69,-0.2,1.3,10,0,0,10,10,0,0.00
1383,S,1,124,119,0.1,1.3,9,0,0,9,9,0,0.00
1384,S,1,52,50,0.1,1.3,10,0,0,10,10,0,0.00
1414,S,1,16,15,0.4,3.7,11,-1,0,10,12,0,0.00
1592,S,1,122,122,0.6,3.7,9,-1,0,8,10,0,0.00
1592,S,1,62,64,0.6,3.7,10,-1,0,9,11,0,0.00
1628,S,1,10,11,0.6,3.7,10,-1,0,9,11,0,0.00
1787,S,1,128,130,0.4,2.5,10,-1,0,9,11,0,0.00
1788,S,1,58,65,0.4,2.5,10,0,0,10,10,0,0.00
1818,S,1,12,12,0.0,2.5,11,0,0,11,11,0,0.00
1827,S,1,0,1,0.0,-1.5,12,0,0,12,12,0,0.00
1992,S,1,132,138,-0.4,-1.5,10,0,0,10,10,0,0.00
1992,S,1,69,71,-0.4,-1.5,10,0,0,10,10,0,0.00
2028,S,1,12,12,-0.9,-1.5,10,0,0,10,10,0,0.00
2153,S,1,135,119,-1.1,-5.1,10,2,1,12,8,0,0.00
2157,S,1,21,17,-1.1,-5.1,10,2,1,12,8,0,0.00
2223,S,1,70,59,-0.3,-1.0,11,0,0,11,11,0,0.00
2387,S,1,138,129,0.4,-1.0,9,0,0,9,9,0,0.00
2388,S,1,62,56,0.4,-1.0,10,0,0,10,10,0,0.00
2434,S,1,45,39,1.9,6.8,11,-3,-2,8,14,0,0.00
2587,S,1,116,135,2.2,6.8,9,-3,-2,6,12,0,0.00
2587,S,1,50,62,2.2,6.8,10,-3,-2,7,13,0,0.00
2618,S,1,10,12,1.3,6.8,11,-3,-2,8,14,0,0.00
2627,S,1,1,2,1.3,-2.0,12,0,0,12,12,0,0.00
2795,S,1,123,149,0.0,-2.0,10,-1,0,9,11,0,0.00
2795,S,1,62,77,0.0,-2.0,10,0,0,10,10,0,0.00
2830,S,1,11,12,-2.2,-2.0,11,0,0,11,11,0,0.00
2990,S,1,144,121,-3.3,-9.0,9,4,3,13,5,0,0.00
2991,S,1,71,54,-3.3,-9.0,9,4,3,13,5,0,0.00
3026,S,1,24,17,-2.2,0.8,10,1,0,11,9,0,0.00
3191,S,1,150,123,-0.9,0.8,9,1,0,10,8,0,0.00
3191,S,1,68,53,-0.9,0.8,10,0,0,10,10,0,0.00
3227,S,1,12,10,1.7,0.8,10,0,0,10,10,0,0.00
3231,S,1,2,1,1.7,8.1,11,-3,-2,8,14,0,0.00
3391,S,1,121,133,2.9,8.1,10,-4,-2,6,14,0,0.00
3391,S,1,54,67,2.9,8.1,10,-4,-2,6,14,0,0.00
3427,S,1,11,13,2.4,8.1,10,-4,-2,6,14,0,0.00
3431,S,1,2,3,2.4,2.6,11,-1,0,10,12,0,0.00
3591,S,1,118,145,0.9,2.6,10,-2,0,8,12,0,0.00
3591,S,1,50,68,0.9,2.6,10,-1,0,9,11,0,0.00
3627,S,1,10,13,-1.2,2.6,10,-1,0,9,11,0,0.00
3631,S,1,3,3,-1.2,-5.5,11,2,1,13,9,0,0.00
3756,S,1,125,124,-1.9,-5.5,10,2,1,12,8,0,0.00
3760,S,1,4,4,-1.9,-5.5,11,2,1,13,9,0,0.00
3810,S,1,52,46,-2.6,-7.3,11,3,2,14,8,0,0.00
3867,S,1,14,11,-2.4,-7.3,10,3,2,13,7,0,0.00
3867,S,1,50,39,-2.4,-4.6,11,2,1,13,9,0,0.00
3985,S,1,143,114,-1.9,-4.6,9,2,1,11,7,0,0.00
3994,S,1,5,4,-1.9,-4.6,10,2,1,12,8,0,0.00
4034,S,1,46,34,-1.6,-1.9,11,1,0,12,10,0,0.00
4074,S,1,13,10,0.2,-1.9,11,1,0,12,10,0,0.00
4074,S,1,33,26,0.2,6.1,11,-2,-2,9,13,0,0.00
4197,S,1,125,130,1.3,6.1,9,-2,-2,7,11,0,0.00
4201,S,1,3,2,1.3,6.1,11,-2,-2,9,13,0,0.00
4272,S,1,73,80,2.5,8.8,10,-4,-3,6,14,0,0.00
4391,S,1,113,146,2.1,8.8,9,-4,-3,5,13,0,0.00
4400,S,1,8,11,2.1,8.8,10,-4,-3,6,14,0,0.00
4445,S,1,35,50,1.9,5.5,10,-2,-1,8,12,0,0.00
4480,S,1,10,14,-0.4,5.5,10,-2,-1,8,12,0,0.00
4637,S,1,111,142,-2.5,-3.4,9,1,0,10,8,0,0.00
4638,S,1,53,59,-2.5,-3.4,10,1,0,11,9,0,0.00
4673,S,1,26,30,-4.7,-10.0,11,5,3,16,6,0,0.00
4837,S,1,145,117,-5.7,-10.0,9,6,3,15,3,0,0.00
4837,S,1,77,52,-5.7,-10.0,10,5,3,15,5,0,0.00
4873,S,1,15,10,-4.0,-10.0,10,5,3,15,5,0,0.00
4877,S,1,38,24,-4.0,-0.0,10,2,0,12,8,0,0.00
5037,S,1,154,104,-1.6,-0.0,9,2,0,11,7,0,0.00
5038,S,1,68,47,-1.6,-0.0,10,1,0,11,9,0,0.00
5073,S,1,14,10,2.0,-0.0,11,1,0,12,10,0,0.00
5077,S,1,32,22,2.0,7.5,11,-3,-2,8,14,0,0.00
5237,S,1,127,126,4.2,7.5,9,-4,-2,5,13,0,0.00
5237,S,1,55,64,4.2,7.5,10,-4,-2,6,14,0,0.00
5273,S,1,10,14,4.8,7.5,10,-4,-2,6,14,0,0.00
5277,S,1,25,30,4.8,9.6,11,-5,-3,6,16,0,0.00
5404,S,1,107,155,4.3,9.6,9,-6,-3,3,15,0,0.00
5407,S,1,18,27,4.3,9.6,9,-5,-3,4,14,0,0.00
5458,S,1,39,60,3.5,3.8,10,-2,0,8,12,0,0.00
5498,S,1,10,16,0.5,3.8,11,-2,0,9,13,0,0.00
5498,S,1,31,45,0.5,-4.6,10,1,1,11,9,0,0.00
5655,S,1,121,139,-2.8,-4.6,9,1,1,10,8,0,0.00
5656,S,1,53,57,-2.8,-4.6,10,2,1,12,8,0,0.00
5691,S,1,22,22,-4.9,-11.0,11,5,3,16,6,0,0.00
5819,S,1,149,115,-5.1,-11.0,9,7,3,16,2,0,0.00
5823,S,1,24,16,-5.1,-11.0,10,5,3,15,5,0,0.00
5873,S,1,69,44,-5.1,-8.0,10,5,2,15,5,0,0.00
5913,S,1,17,10,-3.0,-8.0,10,5,2,15,5,0,0.00
5913,S,1,38,24,-3.0,1.5,10,1,0,11,9,0,0.00
6071,S,1,158,116,0.2,1.5,9,1,0,10,8,0,0.00
6071,S,1,69,50,0.2,1.5,9,0,0,9,9,0,0.00
6123,S,1,12,9,3.8,1.5,10,0,0,10,10,0,0.00
6123,S,1,41,31,3.8,8.6,10,-4,-3,6,14,0,0.00
6271,S,1,113,116,5.7,8.6,9,-5,-3,4,14,0,0.00
6272,S,1,44,52,5.7,8.6,10,-5,-3,5,15,0,0.00
6307,S,1,17,23,5.7,6.6,10,-4,-2,6,14,0,0.00
6479,S,1,115,160,4.6,6.6,9,-5,-2,4,14,0,0.00
6480,S,1,53,78,4.6,6.6,9,-4,-2,5,13,0,0.00
6515,S,1,26,38,1.8,-2.6,10,-1,0,9,11,0,0.00
6679,S,1,115,144,-0.5,-2.6,9,0,0,9,9,0,0.00
6680,S,1,50,61,-0.5,-2.6,9,0,0,9,9,0,0.00
6731,S,1,39,48,-3.7,-9.4,10,4,3,14,6,0,0.00
6884,S,1,121,109,-4.4,-9.4,9,6,3,15,3,0,0.00
6885,S,1,61,50,-4.4,-9.4,9,5,3,14,4,0,0.00
6915,S,1,22,16,-4.2,-5.1,10,3,1,13,7,0,0.00
7053,S,1,152,107,-3.9,-5.1,9,4,1,13,5,0,0.00
7057,S,1,24,16,-3.9,-5.1,9,3,1,12,6,0,0.00
7132,S,1,85,60,-0.3,3.7,10,0,0,10,10,0,0.00
7250,S,1,134,107,1.9,3.7,9,-1,0,8,10,0,0.00
7258,S,1,14,12,1.9,3.7,9,-1,0,8,10,0,0.00
7320,S,1,57,49,4.8,10.2,10,-5,-3,5,15,0,0.00
7488,S,1,120,138,5.8,10.2,9,-6,-3,3,15,0,0.00
7489,S,1,55,74,5.8,10.2,9,-5,-3,4,14,0,0.00
7524,S,1,27,37,4.6,0.2,10,-2,0,8,12,0,0.00
7689,S,1,111,145,3.3,0.2,9,-3,0,6,12,0,0.00
7689,S,1,51,64,3.3,0.2,9,-1,0,8,10,0,0.00
7725,S,1,11,13,0.3,0.2,11,-1,0,10,12,0,0.00
7729,S,1,26,32,0.3,-7.4,11,2,2,13,9,0,0.00
