t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
122,S,1,33,36,0.0,0.0,2,0,0,2,2,0,0.00
126,S,1,8,7,0.0,0.0,3,0,0,3,3,0,0.00
199,S,1,37,35,0.0,0.0,4,0,0,4,4,0,0.00
370,S,1,74,70,0.1,0.0,4,0,0,4,4,0,0.00
371,S,1,49,46,0.1,0.0,6,0,0,6,6,0,0.00
401,S,1,12,11,0.5,2.8,7,0,0,7,7,0,0.00
523,S,1,85,80,0.5,2.8,7,0,0,7,7,0,0.00
528,S,1,2,1,0.5,2.8,9,0,0,9,9,0,0.00
577,S,1,35,33,0.7,2.8,10,0,0,10,10,0,0.00
617,S,1,9,9,1.1,2.8,11,0,0,11,11,0,0.00
618,S,1,20,19,1.1,4.8,11,-1,-1,10,12,0,0.00
741,S,1,111,110,1.3,4.8,11,-2,-1,9,13,0,0.00
744,S,1,18,19,1.3,4.8,11,-1,-1,10,12,0,0.00
816,S,1,69,69,1.5,4.1,11,-1,-1,10,12,0,0.00
936,S,1,130,134,1.4,4.1,10,-1,-1,9,11,0,0.00
944,S,1,1,1,1.4,4.1,12,-1,-1,11,13,0,0.00
1006,S,1,76,76,1.4,3.0,11,-1,0,10,12,0,0.00
1135,S,1,130,136,1.4,3.0,10,-1,0,9,11,0,0.00
1144,S,1,1,1,1.4,3.0,11,-1,0,10,12,0,0.00
1215,S,1,77,88,0.6,-0.1,11,0,0,11,11,0,0.00
1336,S,1,125,136,0.1,-0.1,10,0,0,10,10,0,0.00
1344,S,1,0,0,0.1,-0.1,11,0,0,11,11,0,0.00
1406,S,1,71,74,-0.8,-3.1,11,1,0,12,10,0,0.00
1535,S,1,135,128,-0.9,-3.1,10,1,0,11,9,0,0.00
1543,S,1,1,1,-0.9,-3.1,11,1,0,12,10,0,0.00
1615,S,1,86,80,-0.7,-1.6,11,0,0,11,11,0,0.00
1736,S,1,133,128,-0.3,-1.6,10,0,0,10,10,0,0.00
1744,S,1,1,0,-0.3,-1.6,11,0,0,11,11,0,0.00
1811,S,1,80,74,0.2,0.8,11,0,0,11,11,0,0.00
1936,S,1,136,124,0.5,0.8,9,0,0,9,9,0,0.00
1943,S,1,1,1,0.5,0.8,11,0,0,11,11,0,0.00
2006,S,1,71,69,1.2,3.1,11,-1,0,10,12,0,0.00
2135,S,1,129,137,1.3,3.1,10,-1,0,9,11,0,0.00
2144,S,1,0,1,1.3,3.1,11,-1,0,10,12,0,0.00
2215,S,1,82,88,1.0,1.1,10,0,0,10,10,0,0.00
2335,S,1,132,132,0.6,1.1,10,-1,0,9,11,0,0.00
2344,S,1,1,1,0.6,1.1,11,0,0,11,11,0,0.00
2405,S,1,70,71,0.5,0.2,11,0,0,11,11,0,0.00
2535,S,1,131,130,0.5,0.2,10,0,0,10,10,0,0.00
2543,S,1,1,1,0.5,0.2,11,0,0,11,11,0,0.00
2594,S,1,57,56,0.5,0.2,11,0,0,11,11,0,0.00
2634,S,1,12,12,0.5,0.2,11,0,0,11,11,0,0.00
2634,S,1,33,33,0.5,0.3,11,0,0,11,11,0,0.00
2757,S,1,131,128,0.4,0.3,9,0,0,9,9,0,0.00
2761,S,1,19,21,0.4,0.3,10,0,0,10,10,0,0.00
2832,S,1,64,65,0.5,0.4,10,0,0,10,10,0,0.00
2952,S,1,118,118,0.6,0.4,9,0,0,9,9,0,0.00
2960,S,1,4,5,0.6,0.4,10,0,0,10,10,0,0.00
3022,S,1,61,61,0.5,0.0,11,0,0,11,11,0,0.00
3151,S,1,130,134,0.4,0.0,9,0,0,9,9,0,0.00
3159,S,1,5,5,0.4,0.0,10,0,0,10,10,0,0.00
3210,S,1,50,51,0.4,-0.2,11,0,0,11,11,0,0.00
3250,S,1,12,11,0.1,-0.2,11,0,0,11,11,0,0.00
3251,S,1,28,28,0.1,-1.5,11,0,0,11,11,0,0.00
3374,S,1,128,126,0.2,-1.5,9,0,0,9,9,0,0.00
3377,S,1,3,2,0.2,-1.5,11,0,0,11,11,0,0.00
3444,S,1,68,67,0.3,-0.7,11,0,0,11,11,0,0.00
3567,S,1,129,131,0.3,-0.7,10,0,0,10,10,0,0.00
3576,S,1,13,14,0.3,-0.7,10,0,0,10,10,0,0.00
3642,S,1,64,64,0.2,-1.0,10,0,0,10,10,0,0.00
3767,S,1,124,123,0.2,-1.0,9,0,0,9,9,0,0.00
3775,S,1,13,13,0.2,-1.0,10,0,0,10,10,0,0.00
3821,S,1,37,36,0.2,-0.8,11,0,0,11,11,0,0.00
3862,S,1,11,11,0.1,-0.8,11,0,0,11,11,0,0.00
3862,S,1,28,28,0.1,-0.8,11,0,0,11,11,0,0.00
3985,S,1,121,127,0.1,-0.8,9,0,0,9,9,0,0.00
3989,S,1,1,1,0.1,-0.8,11,0,0,11,11,0,0.00
4060,S,1,74,78,-0.2,-1.6,11,0,0,11,11,0,0.00
4179,S,1,135,134,-0.4,-1.6,9,0,0,9,9,0,0.00
4188,S,1,8,9,-0.4,-1.6,10,0,0,10,10,0,0.00
4233,S,1,43,43,-0.4,-1.4,10,0,0,10,10,0,0.00
4274,S,1,12,12,-0.5,-1.4,11,0,0,11,11,0,0.00
4274,S,1,32,32,-0.5,-1.7,11,0,0,11,11,0,0.00
4397,S,1,129,131,-0.5,-1.7,9,0,0,9,9,0,0.00
4401,S,1,20,20,-0.5,-1.7,10,0,0,10,10,0,0.00
4451,S,1,43,42,-0.5,-1.3,10,0,0,10,10,0,0.00
4492,S,1,11,12,-0.5,-1.3,11,0,0,11,11,0,0.00
4492,S,1,30,30,-0.5,-0.8,11,0,0,11,11,0,0.00
4615,S,1,129,126,-0.5,-0.8,9,0,0,9,9,0,0.00
4619,S,1,1,1,-0.5,-0.8,11,0,0,11,11,0,0.00
4690,S,1,75,75,-0.6,-1.0,11,0,0,11,11,0,0.00
4809,S,1,127,127,-0.5,-1.0,9,0,0,9,9,0,0.00
4818,S,1,8,8,-0.5,-1.0,10,0,0,10,10,0,0.00
4863,S,1,41,41,-0.5,-0.7,10,0,0,10,10,0,0.00
4899,S,1,12,12,-0.4,-0.7,11,0,0,11,11,0,0.00
5021,S,1,128,127,-0.4,0.0,9,0,0,9,9,0,0.00
5026,S,1,19,18,-0.4,0.0,10,0,0,10,10,0,0.00
5075,S,1,45,46,-0.4,-0.0,10,0,0,10,10,0,0.00
5115,S,1,12,11,-0.4,-0.0,11,0,0,11,11,0,0.00
5116,S,1,33,34,-0.4,-0.0,11,0,0,11,11,0,0.00
5239,S,1,129,124,-0.4,-0.0,10,0,0,10,10,0,0.00
5242,S,1,20,20,-0.4,-0.0,10,0,0,10,10,0,0.00
5293,S,1,43,40,-0.3,0.3,10,0,0,10,10,0,0.00
5333,S,1,12,11,0.1,0.3,11,0,0,11,11,0,0.00
5334,S,1,31,29,0.1,3.0,11,0,0,11,11,0,0.00
5457,S,1,126,118,0.3,3.0,10,0,0,10,10,0,0.00
5461,S,1,19,18,0.3,3.0,10,0,0,10,10,0,0.00
5511,S,1,39,38,0.4,2.8,11,0,0,11,11,0,0.00
5552,S,1,12,11,0.8,2.8,11,0,0,11,11,0,0.00
5552,S,1,29,28,0.8,4.5,11,-1,-1,10,12,0,0.00
5675,S,1,119,125,0.9,4.5,9,-1,-1,8,10,0,0.00
5679,S,1,1,1,0.9,4.5,11,-1,-1,10,12,0,0.00
5750,S,1,70,73,0.7,2.5,11,0,0,11,11,0,0.00
5869,S,1,122,121,0.5,2.5,9,-1,0,8,10,0,0.00
5878,S,1,7,8,0.5,2.5,10,0,0,10,10,0,0.00
5939,S,1,57,59,0.4,1.4,10,0,0,10,10,0,0.00
6069,S,1,115,120,0.3,1.4,9,0,0,9,9,0,0.00
