t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
300,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
301,S,1,34,33,0.0,0.0,2,0,0,2,2,0,0.00
514,S,1,59,56,0.2,0.0,3,0,0,3,3,0,0.00
514,S,1,74,74,0.2,0.5,3,0,0,3,3,0,0.00
729,S,1,81,80,0.4,0.8,4,0,0,4,4,0,0.00
729,S,1,84,82,0.4,0.8,5,0,0,5,5,0,0.00
855,S,1,86,82,0.5,0.8,6,0,0,6,6,0,0.00
856,S,1,16,15,0.5,0.9,7,0,0,7,7,0,0.00
981,S,1,86,83,0.8,1.5,9,-1,0,8,10,0,0.00
1194,S,1,86,88,0.8,1.8,10,-1,-1,9,11,0,0.00
1194,S,1,100,104,0.8,0.5,10,0,0,10,10,0,0.00
1408,S,1,107,110,0.5,-0.1,9,0,0,9,9,0,0.00
1409,S,1,104,104,0.5,-0.8,8,0,0,8,8,0,0.00
1535,S,1,91,91,0.4,-1.1,9,0,0,9,9,0,0.00
1536,S,1,16,16,0.4,-0.8,10,0,0,10,10,0,0.00
1642,S,1,86,87,0.4,-0.4,10,0,0,10,10,0,0.00
1855,S,1,112,112,0.5,-0.4,9,0,0,9,9,0,0.00
1856,S,1,111,109,0.5,-0.7,9,0,0,9,9,0,0.00
2066,S,1,105,104,0.4,-0.9,8,0,0,8,8,0,0.00
2066,S,1,94,94,0.4,-0.5,8,0,0,8,8,0,0.00
2187,S,1,87,87,0.4,-0.3,8,0,0,8,8,0,0.00
2193,S,1,2,2,0.4,0.4,11,0,0,11,11,0,0.00
2294,S,1,90,91,0.5,0.1,10,0,0,10,10,0,0.00
2504,S,1,114,114,0.4,-0.2,9,0,0,9,9,0,0.00
2505,S,1,104,105,0.4,-0.4,9,0,0,9,9,0,0.00
2622,S,1,98,99,0.4,-0.6,8,0,0,8,8,0,0.00
2631,S,1,7,7,0.4,-0.9,10,0,0,10,10,0,0.00
2729,S,1,88,87,0.4,-0.6,10,0,0,10,10,0,0.00
2852,S,1,117,114,0.5,-0.5,9,0,0,9,9,0,0.00
2856,S,1,18,17,0.5,0.1,10,0,0,10,10,0,0.00
2961,S,1,99,97,0.5,0.6,10,0,0,10,10,0,0.00
3087,S,1,119,119,0.6,0.6,9,0,0,9,9,0,0.00
3088,S,1,22,22,0.6,0.6,9,0,0,9,9,0,0.00
3194,S,1,107,105,0.6,1.2,10,-1,0,9,11,0,0.00
3408,S,1,122,125,0.5,1.4,9,-1,0,8,10,0,0.00
3408,S,1,110,118,0.5,-0.7,8,0,0,8,8,0,0.00
3534,S,1,91,99,0.2,-1.8,8,0,1,8,8,0,0.00
3535,S,1,15,16,0.2,-3.7,9,1,1,10,8,0,0.00
3640,S,1,85,84,-0.3,-3.8,10,1,1,11,9,0,0.00
3854,S,1,112,108,-0.2,-3.2,9,1,1,10,8,0,0.00
3855,S,1,116,101,-0.2,-0.4,9,0,0,9,9,0,0.00
4068,S,1,105,108,0.4,1.0,8,0,0,8,8,0,0.00
4068,S,1,99,98,0.4,-0.0,8,0,0,8,8,0,0.00
4281,S,1,95,91,0.6,-0.6,8,0,0,8,8,0,0.00
4281,S,1,89,85,0.6,0.6,8,0,0,8,8,0,0.00
4496,S,1,88,85,1.0,1.1,8,-1,0,7,9,0,0.00
4496,S,1,89,89,1.0,0.7,8,-1,0,7,9,0,0.00
4709,S,1,87,88,1.1,0.5,8,-1,0,7,9,0,0.00
4709,S,1,84,86,1.1,0.0,9,-1,0,8,10,0,0.00
4836,S,1,90,93,1.0,-0.2,8,0,0,8,8,0,0.00
4836,S,1,18,18,1.0,-0.1,9,0,0,9,9,0,0.00
4943,S,1,9,9,0.7,-0.0,11,0,0,11,11,0,0.00
4944,S,1,91,91,0.7,0.2,10,0,0,10,10,0,0.00
5157,S,1,116,116,0.7,0.2,9,0,0,9,9,0,0.00
5158,S,1,112,109,0.7,0.9,8,-1,0,7,9,0,0.00
5371,S,1,103,104,0.6,1.2,8,-1,0,7,9,0,0.00
5371,S,1,97,100,0.6,0.0,8,0,0,8,8,0,0.00
5585,S,1,91,92,0.5,-0.6,8,0,0,8,8,0,0.00
5586,S,1,89,89,0.5,-0.5,8,0,0,8,8,0,0.00
5798,S,1,85,84,0.6,-0.4,8,0,0,8,8,0,0.00
5799,S,1,81,79,0.6,-0.1,9,0,0,9,9,0,0.00
6012,S,1,82,84,0.5,0.1,9,0,0,9,9,0,0.00
6012,S,1,89,90,0.5,-1.0,9,0,0,9,9,0,0.00
6138,S,1,92,93,0.5,-1.6,8,0,0,8,8,0,0.00
6139,S,1,17,17,0.5,-0.6,9,0,0,9,9,0,0.00
6246,S,1,97,94,0.5,0.8,10,-1,0,9,11,0,0.00
6458,S,1,115,115,0.4,1.1,9,-1,0,8,10,0,0.00
6459,S,1,106,110,0.4,0.3,8,0,0,8,8,0,0.00
6672,S,1,97,98,0.2,-0.1,8,0,0,8,8,0,0.00
6673,S,1,86,88,0.2,-1.2,8,0,0,8,8,0,0.00
6886,S,1,86,84,0.1,-1.7,8,0,1,8,8,0,0.00
6887,S,1,83,82,0.1,-1.4,8,0,0,8,8,0,0.00
7013,S,1,78,78,0.1,-1.3,9,0,0,9,9,0,0.00
7014,S,1,14,14,0.1,-0.4,10,0,0,10,10,0,0.00
7120,S,1,75,78,0.1,0.6,10,0,0,10,10,0,0.00
7334,S,1,103,103,-0.0,0.7,9,0,0,9,9,0,0.00
7334,S,1,103,103,-0.0,0.5,9,0,0,9,9,0,0.00
7547,S,1,101,98,-0.0,0.4,8,0,0,8,8,0,0.00
7548,S,1,91,91,-0.0,-0.6,8,0,0,8,8,0,0.00
7742,S,1,83,82,0.1,-1.2,8,0,0,8,8,0,0.00
7743,S,1,68,67,0.1,-0.6,9,0,0,9,9,0,0.00
7960,S,1,90,89,0.1,-0.3,9,0,0,9,9,0,0.00
7960,S,1,92,92,0.1,-0.9,8,0,0,8,8,0,0.00
8087,S,1,90,90,0.1,-1.2,8,0,0,8,8,0,0.00
8087,S,1,16,16,0.1,-0.2,9,0,0,9,9,0,0.00
8195,S,1,8,8,0.1,0.5,11,0,0,11,11,0,0.00
8195,S,1,88,88,0.1,1.0,10,0,0,10,10,0,0.00
8320,S,1,106,107,0.2,1.2,9,-1,0,8,10,0,0.00
8322,S,1,18,19,0.2,1.5,10,-1,0,9,11,0,0.00
8427,S,1,93,98,0.2,-0.8,9,0,0,9,9,0,0.00
8640,S,1,101,103,-0.4,-2.0,9,0,1,9,9,0,0.00
8640,S,1,99,101,-0.4,-1.1,8,0,0,8,8,0,0.00
8854,S,1,92,92,-0.5,-0.7,8,0,0,8,8,0,0.00
8855,S,1,87,85,-0.5,-0.1,8,0,0,8,8,0,0.00
