t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
119,S,1,32,39,0.0,0.0,2,0,0,2,2,0,0.00
127,S,1,2,2,0.0,0.0,1,0,0,1,1,0,0.00
234,S,1,56,66,-0.6,-3.2,1,1,1,2,0,0,0.00
352,S,1,63,29,-0.7,-4.9,3,2,1,5,1,0,0.00
360,S,1,0,0,-0.7,-6.1,19,2,2,21,17,0,0.00
466,S,1,124,100,2.4,6.3,14,-3,-2,11,17,0,0.00
651,S,1,163,161,2.9,12.5,11,-6,-4,5,17,0,0.00
651,S,1,103,135,2.9,-1.7,11,-1,1,10,12,0,0.00
787,S,1,213,222,2.4,-14.2,16,2,4,18,14,0,0.00
792,S,1,35,32,2.4,-22.0,15,6,7,21,9,0,0.00
907,S,1,246,162,2.5,13.8,10,-5,-4,5,15,0,0.00
1025,S,1,186,166,3.7,34.7,9,-8,-10,1,17,0,0.00
1033,S,1,17,19,3.7,45.1,12,-11,-14,1,23,0,0.00
1130,S,1,105,218,3.9,-6.1,13,0,2,13,13,0,0.00
1253,S,1,139,252,2.1,-35.6,10,9,11,19,1,0,0.00
1257,S,1,0,0,2.1,-81.6,19,18,20,37,1,0,0.00
1359,S,1,243,141,-1.5,-24.5,14,8,7,22,6,0,0.00
1477,S,1,294,127,-6.8,7.9,10,-1,-2,9,11,0,0.00
1485,S,1,13,8,-6.8,32.2,15,-7,-10,8,22,0,0.00
1591,S,1,171,187,-3.2,18.3,12,-4,-5,8,16,0,0.00
1710,S,1,132,201,9.6,9.3,10,-2,-3,8,12,0,0.00
1718,S,1,4,7,9.6,2.6,23,-5,-1,18,28,0,0.00
1824,S,1,171,245,6.0,-24.1,17,5,7,22,12,0,0.00
1942,S,1,230,241,0.0,-36.9,12,9,11,21,3,0,0.00
1951,S,1,2,2,0.0,-46.5,43,14,14,57,29,0,0.00
2003,S,1,201,115,-2.7,-19.9,31,7,6,38,24,0,0.00
2087,S,1,45,25,0.9,1.2,25,1,0,26,24,0,0.00
2088,S,1,271,206,0.9,29.5,19,-9,-9,10,28,0,0.00
