t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
198,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
393,S,1,31,37,-0.1,0.0,3,0,0,3,3,0,0.00
393,S,1,44,44,-0.1,0.4,3,0,0,3,3,0,0.00
605,S,1,68,68,-0.2,0.8,4,0,0,4,4,0,0.00
605,S,1,70,70,-0.2,0.3,5,0,0,5,5,0,0.00
789,S,1,79,80,-0.1,0.1,6,0,0,6,6,0,0.00
789,S,1,58,58,-0.1,0.7,7,0,0,7,7,0,0.00
1006,S,1,82,81,0.1,1.1,9,0,0,9,9,0,0.00
1006,S,1,74,71,0.1,0.5,10,0,0,10,10,0,0.00
1191,S,1,95,92,0.3,0.3,10,0,0,10,10,0,0.00
1191,S,1,75,73,0.3,1.0,10,0,0,10,10,0,0.00
1406,S,1,111,114,0.3,1.5,9,-1,0,8,10,0,0.00
1407,S,1,92,93,0.3,0.5,9,0,0,9,9,0,0.00
1525,S,1,100,95,0.3,-0.0,9,0,0,9,9,0,0.00
1533,S,1,3,3,0.3,-0.4,11,0,0,11,11,0,0.00
1639,S,1,104,101,0.5,0.5,10,0,0,10,10,0,0.00
1758,S,1,115,114,0.5,1.1,9,-1,0,8,10,0,0.00
1766,S,1,1,0,0.5,1.4,11,-1,0,10,12,0,0.00
1864,S,1,107,109,0.5,0.2,10,0,0,10,10,0,0.00
2052,S,1,122,118,0.8,-0.5,9,0,0,9,9,0,0.00
2052,S,1,87,82,0.8,0.8,9,-1,0,8,10,0,0.00
2181,S,1,111,115,0.8,1.7,9,-1,-1,8,10,0,0.00
2190,S,1,7,7,0.8,1.9,10,-1,-1,9,11,0,0.00
2300,S,1,101,107,0.6,-0.3,10,0,0,10,10,0,0.00
2422,S,1,114,113,0.5,-1.4,9,0,0,9,9,0,0.00
2426,S,1,16,16,0.5,-2.4,10,0,1,10,10,0,0.00
2527,S,1,94,88,0.4,-0.8,10,0,0,10,10,0,0.00
2646,S,1,111,112,0.4,0.3,9,0,0,9,9,0,0.00
2654,S,1,2,3,0.4,1.2,11,-1,0,10,12,0,0.00
2760,S,1,110,116,0.4,-1.2,10,0,0,10,10,0,0.00
2878,S,1,123,122,0.3,-2.4,9,1,1,10,8,0,0.00
2886,S,1,13,13,0.3,-3.1,9,1,1,10,8,0,0.00
2984,S,1,106,99,0.4,0.4,9,0,0,9,9,0,0.00
3172,S,1,109,107,0.9,2.3,9,-1,-1,8,10,0,0.00
3172,S,1,76,78,0.9,1.6,9,-1,0,8,10,0,0.00
3301,S,1,107,107,0.9,1.1,9,-1,0,8,10,0,0.00
3310,S,1,7,7,0.9,0.9,10,-1,0,9,11,0,0.00
3419,S,1,103,107,0.5,-0.8,10,0,0,10,10,0,0.00
3608,S,1,108,110,0.2,-1.6,9,0,0,9,9,0,0.00
3608,S,1,81,81,0.2,-1.0,9,0,0,9,9,0,0.00
3737,S,1,112,111,0.2,-0.4,10,0,0,10,10,0,0.00
3745,S,1,2,2,0.2,-0.4,11,0,0,11,11,0,0.00
3856,S,1,124,126,0.0,-0.6,10,0,0,10,10,0,0.00
4044,S,1,123,127,-0.1,-0.7,8,0,0,8,8,0,0.00
4045,S,1,83,82,-0.1,-0.7,9,0,0,9,9,0,0.00
4248,S,1,111,111,0.1,-0.7,9,0,0,9,9,0,0.00
4249,S,1,85,82,0.1,-0.0,9,0,0,9,9,0,0.00
4448,S,1,109,110,0.1,0.5,9,0,0,9,9,0,0.00
4449,S,1,85,87,0.1,-0.3,9,0,0,9,9,0,0.00
4573,S,1,116,117,0.1,-0.8,9,0,0,9,9,0,0.00
4582,S,1,5,5,0.1,-1.0,10,0,0,10,10,0,0.00
4687,S,1,104,102,-0.1,-0.8,9,0,0,9,9,0,0.00
4805,S,1,105,105,-0.1,-0.7,9,0,0,9,9,0,0.00
4813,S,1,2,3,-0.1,-0.6,11,0,0,11,11,0,0.00
4919,S,1,106,108,-0.1,-0.1,10,0,0,10,10,0,0.00
5038,S,1,118,119,-0.1,0.1,9,0,0,9,9,0,0.00
5046,S,1,1,1,-0.1,0.3,11,0,0,11,11,0,0.00
5152,S,1,118,117,-0.2,-0.2,10,0,0,10,10,0,0.00
5270,S,1,118,118,-0.2,-0.4,9,0,0,9,9,0,0.00
5279,S,1,9,8,-0.2,-0.6,10,0,0,10,10,0,0.00
5331,S,1,44,44,-0.1,0.4,10,0,0,10,10,0,0.00
5415,S,1,10,11,-0.1,1.2,11,0,0,11,11,0,0.00
5416,S,1,75,73,-0.1,0.7,10,0,0,10,10,0,0.00
5605,S,1,118,116,-0.2,0.4,9,0,0,9,9,0,0.00
5605,S,1,84,85,-0.2,0.1,9,0,0,9,9,0,0.00
5733,S,1,111,112,-0.2,-0.1,9,0,0,9,9,0,0.00
5742,S,1,5,5,-0.2,-0.1,10,0,0,10,10,0,0.00
5847,S,1,100,99,-0.2,0.2,9,0,0,9,9,0,0.00
5965,S,1,108,106,-0.1,0.4,9,0,0,9,9,0,0.00
5974,S,1,3,3,-0.1,0.5,10,0,0,10,10,0,0.00
6059,S,1,85,86,-0.1,-0.5,10,0,0,10,10,0,0.00
6257,S,1,114,117,-0.1,-1.0,9,0,0,9,9,0,0.00
6258,S,1,91,90,-0.1,-0.5,9,0,0,9,9,0,0.00
6447,S,1,104,102,-0.0,-0.2,9,0,0,9,9,0,0.00
6447,S,1,80,77,-0.0,0.2,9,0,0,9,9,0,0.00
6577,S,1,109,109,-0.0,0.6,9,0,0,9,9,0,0.00
6585,S,1,2,2,-0.0,0.7,11,0,0,11,11,0,0.00
6696,S,1,119,120,-0.1,0.1,9,0,0,9,9,0,0.00
6818,S,1,113,110,-0.1,-0.2,9,0,0,9,9,0,0.00
6822,S,1,0,0,-0.1,0.2,11,0,0,11,11,0,0.00
6923,S,1,102,100,0.0,1.1,10,0,0,10,10,0,0.00
7042,S,1,118,117,0.1,1.6,9,-1,0,8,10,0,0.00
7050,S,1,6,7,0.1,1.9,10,-1,-1,9,11,0,0.00
7156,S,1,102,106,-0.1,0.3,9,0,0,9,9,0,0.00
7274,S,1,105,106,-0.1,-0.6,9,0,0,9,9,0,0.00
7282,S,1,4,3,-0.1,-1.2,10,0,0,10,10,0,0.00
7379,S,1,92,91,-0.2,-1.2,10,0,0,10,10,0,0.00
7567,S,1,111,112,-0.3,-1.1,9,0,0,9,9,0,0.00
7568,S,1,80,81,-0.3,-1.0,9,0,0,9,9,0,0.00
7697,S,1,104,105,-0.3,-0.9,9,0,0,9,9,0,0.00
7705,S,1,1,1,-0.3,-0.9,11,0,0,11,11,0,0.00
7799,S,1,98,97,-0.6,-0.3,10,0,0,10,10,0,0.00
7988,S,1,116,117,-0.6,-0.1,9,0,0,9,9,0,0.00
7988,S,1,85,86,-0.6,0.6,9,0,0,9,9,0,0.00
8200,S,1,109,109,-0.6,1.2,9,0,0,9,9,0,0.00
8200,S,1,97,96,-0.6,1.3,9,0,0,9,9,0,0.00
8319,S,1,101,101,-0.6,1.4,8,0,0,8,8,0,0.00
8327,S,1,11,10,-0.6,1.4,9,0,0,9,9,0,0.00
