t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
188,S,1,27,32,-0.3,0.0,2,0,0,2,2,0,0.00
188,S,1,28,38,-0.3,-3.0,3,1,1,4,2,0,0.00
317,S,1,48,64,-0.4,-5.2,4,2,2,6,2,0,0.00
326,S,1,1,2,-0.4,-5.7,5,2,2,7,3,0,0.00
435,S,1,50,62,-2.4,-7.1,6,4,2,10,2,0,0.00
624,S,1,59,68,-3.3,-7.7,7,5,3,12,2,0,0.00
624,S,1,55,55,-3.3,-4.2,8,3,1,11,5,0,0.00
807,S,1,80,80,-3.8,-1.6,9,3,1,12,6,0,0.00
808,S,1,52,52,-3.8,-2.7,10,3,1,13,7,0,0.00
877,S,1,51,47,-3.8,-0.5,12,2,0,14,10,0,0.00
1065,S,1,110,98,-1.8,1.0,10,2,0,12,8,0,0.00
1065,S,1,89,64,-1.8,6.3,10,-1,-2,9,11,0,0.00
1194,S,1,99,107,-1.6,10.3,9,-2,-4,7,11,0,0.00
1203,S,1,5,5,-1.6,11.3,11,-3,-4,8,14,0,0.00
1313,S,1,84,99,-1.3,1.1,10,1,0,11,9,0,0.00
1435,S,1,88,96,-1.6,-4.1,9,3,1,12,6,0,0.00
1439,S,1,14,14,-1.6,-10.6,10,5,4,15,5,0,0.00
1540,S,1,99,72,-2.2,-2.9,10,2,1,12,8,0,0.00
1724,S,1,120,90,0.8,3.4,9,1,-1,10,8,0,0.00
1724,S,1,78,60,0.8,9.3,9,-3,-3,6,12,0,0.00
1941,S,1,95,108,1.4,13.7,9,-5,-5,4,14,0,0.00
1941,S,1,81,97,1.4,2.0,9,-1,-1,8,10,0,0.00
2059,S,1,86,98,1.1,-3.9,9,1,1,10,8,0,0.00
2068,S,1,1,1,1.1,-8.3,11,3,3,14,8,0,0.00
2173,S,1,97,74,0.5,0.3,10,0,0,10,10,0,0.00
2291,S,1,97,89,0.7,5.0,10,-1,-2,9,11,0,0.00
2299,S,1,11,10,0.7,7.3,10,-2,-3,8,12,0,0.00
2396,S,1,71,81,1.8,4.0,10,-2,-1,8,12,0,0.00
2584,S,1,88,98,0.6,1.5,10,-1,-1,9,11,0,0.00
2585,S,1,65,72,0.6,-2.9,10,1,1,11,9,0,0.00
2714,S,1,98,87,0.5,-6.2,9,2,2,11,7,0,0.00
2722,S,1,5,6,0.5,-7.0,11,3,2,14,8,0,0.00
2816,S,1,84,71,0.4,0.8,10,0,0,10,10,0,0.00
3005,S,1,101,99,1.9,4.8,9,-2,-2,7,11,0,0.00
3005,S,1,70,72,1.9,4.6,9,-2,-2,7,11,0,0.00
3217,S,1,92,94,2.1,4.5,9,-2,-2,7,11,0,0.00
3217,S,1,79,77,2.1,1.6,9,-1,-1,8,10,0,0.00
3336,S,1,83,80,2.1,0.2,9,-1,0,8,10,0,0.00
3344,S,1,4,3,2.1,-0.9,11,0,0,11,11,0,0.00
3450,S,1,82,83,1.9,-0.1,10,-1,0,9,11,0,0.00
3634,S,1,90,95,1.7,0.4,10,-1,0,9,11,0,0.00
3635,S,1,67,69,1.7,0.0,10,-1,0,9,11,0,0.00
3771,S,1,98,99,1.6,-0.2,9,-1,0,8,10,0,0.00
3776,S,1,12,13,1.6,-1.2,10,0,0,10,10,0,0.00
3891,S,1,87,89,1.2,-2.5,10,0,1,10,10,0,0.00
4009,S,1,95,101,1.1,-2.8,9,1,1,10,8,0,0.00
4017,S,1,1,1,1.1,-3.1,11,1,1,12,10,0,0.00
4115,S,1,90,91,0.7,-1.7,10,0,1,10,10,0,0.00
4303,S,1,102,104,0.6,-1.0,9,0,0,9,9,0,0.00
4304,S,1,71,70,0.6,-0.3,9,0,0,9,9,0,0.00
4433,S,1,92,91,0.6,0.3,9,0,0,9,9,0,0.00
4441,S,1,7,6,0.6,0.4,10,0,0,10,10,0,0.00
4552,S,1,88,90,0.6,0.4,10,0,0,10,10,0,0.00
4674,S,1,95,98,0.6,0.4,9,0,0,9,9,0,0.00
4678,S,1,13,14,0.6,-0.6,10,0,0,10,10,0,0.00
4765,S,1,68,68,0.4,-1.7,10,0,1,10,10,0,0.00
4957,S,1,98,98,0.2,-1.8,9,1,1,10,8,0,0.00
4958,S,1,76,68,0.2,-0.4,9,0,0,9,9,0,0.00
5157,S,1,89,97,0.2,0.6,10,0,0,10,10,0,0.00
5157,S,1,73,75,0.2,0.1,9,0,0,9,9,0,0.00
5357,S,1,96,98,-0.1,-0.2,9,0,0,9,9,0,0.00
5357,S,1,77,76,-0.1,-1.2,9,1,0,10,8,0,0.00
5557,S,1,98,95,0.1,-1.9,9,1,1,10,8,0,0.00
5557,S,1,74,67,0.1,-0.5,9,0,0,9,9,0,0.00
5757,S,1,96,100,0.6,0.5,10,0,0,10,10,0,0.00
5757,S,1,79,75,0.6,2.3,9,-1,-1,8,10,0,0.00
5957,S,1,95,95,0.5,3.7,9,-1,-1,8,10,0,0.00
5957,S,1,69,73,0.5,0.2,9,0,0,9,9,0,0.00
6157,S,1,93,92,0.5,-2.4,10,1,1,11,9,0,0.00
6157,S,1,75,72,0.5,0.2,9,0,0,9,9,0,0.00
6357,S,1,93,98,0.2,2.2,9,-1,-1,8,10,0,0.00
6358,S,1,71,74,0.2,-0.2,9,0,0,9,9,0,0.00
6486,S,1,92,92,0.2,-1.9,10,1,1,11,9,0,0.00
6491,S,1,4,3,0.2,-1.3,11,0,0,11,11,0,0.00
6585,S,1,77,81,-0.1,-2.0,10,1,1,11,9,0,0.00
6777,S,1,102,98,-0.2,-2.3,9,1,1,10,8,0,0.00
6778,S,1,76,71,-0.2,-0.2,9,0,0,9,9,0,0.00
