HB:t=223,m=S,run=1,el=0,er=0,yaw=-0.0,yr=0.0,pc=2,hd=0,dp=0,OL=2,OR=2
HB:t=223,m=S,run=1,el=25,er=29,yaw=-0.0,yr=-0.4,pc=3,hd=0,dp=0,OL=3,OR=3
HB:t=342,m=S,run=1,el=40,er=38,yaw=-0.0,yr=-0.6,pc=4,hd=0,dp=0,OL=4,OR=4
HB:t=350,m=S,run=1,el=2,er=2,yaw=-0.0,yr=-0.7,pc=4,hd=0,dp=0,OL=4,OR=4
HB:t=456,m=S,run=1,el=49,er=47,yaw=0.0,yr=-0.3,pc=5,hd=0,dp=0,OL=5,OR=5
HB:t=574,m=S,run=1,el=57,er=56,yaw=0.0,yr=-0.0,pc=6,hd=0,dp=0,OL=6,OR=6
HB:t=582,m=S,run=1,el=1,er=1,yaw=0.0,yr=0.2,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=679,m=S,run=1,el=53,er=53,yaw=0.1,yr=0.4,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=802,m=S,run=1,el=65,er=63,yaw=0.1,yr=0.6,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=806,m=S,run=1,el=10,er=11,yaw=0.1,yr=0.2,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=907,m=S,run=1,el=67,er=66,yaw=0.4,yr=1.2,pc=11,hd=-1,dp=0,OL=10,OR=12
HB:t=1026,m=S,run=1,el=86,er=86,yaw=0.4,yr=1.9,pc=11,hd=-1,dp=-1,OL=10,OR=12
HB:t=1034,m=S,run=1,el=11,er=11,yaw=0.4,yr=2.2,pc=11,hd=-1,dp=-1,OL=10,OR=12
HB:t=1140,m=S,run=1,el=88,er=86,yaw=0.6,yr=1.6,pc=10,hd=-1,dp=-1,OL=9,OR=11
HB:t=1258,m=S,run=1,el=87,er=86,yaw=0.6,yr=1.2,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=1266,m=S,run=1,el=9,er=10,yaw=0.6,yr=1.0,pc=11,hd=-1,dp=0,OL=10,OR=12
HB:t=1364,m=S,run=1,el=72,er=73,yaw=0.6,yr=0.9,pc=11,hd=-1,dp=0,OL=10,OR=12
HB:t=1552,m=S,run=1,el=93,er=95,yaw=0.6,yr=1.0,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=1552,m=S,run=1,el=69,er=69,yaw=0.6,yr=0.1,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=1681,m=S,run=1,el=100,er=95,yaw=0.6,yr=-0.5,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=1690,m=S,run=1,el=5,er=5,yaw=0.6,yr=-0.6,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=1799,m=S,run=1,el=94,er=90,yaw=0.8,yr=0.5,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=1987,m=S,run=1,el=89,er=94,yaw=0.7,yr=1.0,pc=10,hd=-1,dp=0,OL=9,OR=11
