t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
118,S,1,37,37,0.0,0.0,2,0,0,2,2,0,0.00
126,S,1,1,1,0.0,0.0,3,0,0,3,3,0,0.00
228,S,1,65,61,0.0,0.2,3,0,0,3,3,0,0.00
347,S,1,81,79,0.2,0.3,4,0,0,4,4,0,0.00
355,S,1,1,2,0.2,0.4,5,0,0,5,5,0,0.00
408,S,1,38,38,0.3,1.1,7,-1,0,6,8,0,0.00
492,S,1,8,8,0.4,1.5,8,-1,-1,7,9,0,0.00
680,S,1,148,147,0.5,0.2,7,0,0,7,7,0,0.00
681,S,1,72,70,0.5,0.8,8,-1,0,7,9,0,0.00
799,S,1,98,95,0.5,1.1,9,-1,0,8,10,0,0.00
808,S,1,11,11,0.5,1.2,10,-1,0,9,11,0,0.00
913,S,1,106,107,0.6,-0.4,10,0,0,10,10,0,0.00
1032,S,1,129,128,0.6,-1.3,9,0,0,9,9,0,0.00
1040,S,1,8,7,0.6,-1.9,10,0,1,10,10,0,0.00
1137,S,1,108,108,0.6,-0.5,9,0,0,9,9,0,0.00
1325,S,1,123,122,0.8,0.3,8,0,0,8,8,0,0.00
1326,S,1,85,83,0.8,0.7,9,-1,0,8,10,0,0.00
1455,S,1,114,119,0.8,1.0,9,-1,0,8,10,0,0.00
1463,S,1,3,4,0.8,1.1,11,-1,0,10,12,0,0.00
1557,S,1,102,105,0.5,-1.0,10,0,0,10,10,0,0.00
1746,S,1,130,129,0.3,-2.1,9,0,1,9,9,0,0.00
1747,S,1,96,96,0.3,-1.4,8,0,0,8,8,0,0.00
1958,S,1,134,133,0.4,-0.9,9,0,0,9,9,0,0.00
1958,S,1,112,110,0.4,-0.1,8,0,0,8,8,0,0.00
2077,S,1,112,111,0.4,0.4,8,0,0,8,8,0,0.00
2085,S,1,1,1,0.4,0.7,10,-1,0,9,11,0,0.00
2192,S,1,112,117,0.4,-0.8,10,0,0,10,10,0,0.00
2310,S,1,129,127,0.3,-1.6,8,0,1,8,8,0,0.00
2318,S,1,13,14,0.3,-2.0,9,0,1,9,9,0,0.00
2415,S,1,103,96,0.5,0.3,9,0,0,9,9,0,0.00
2603,S,1,117,117,0.5,1.6,9,-1,-1,8,10,0,0.00
2604,S,1,84,89,0.5,-0.8,9,0,0,9,9,0,0.00
2807,S,1,122,118,0.5,-2.5,8,1,1,9,7,0,0.00
2808,S,1,94,88,0.5,-0.3,8,0,0,8,8,0,0.00
2932,S,1,119,126,0.5,1.4,9,-1,-1,8,10,0,0.00
2941,S,1,6,7,0.5,1.9,10,-1,-1,9,11,0,0.00
3051,S,1,115,122,-0.0,-0.8,9,0,0,9,9,0,0.00
3239,S,1,119,122,-0.3,-2.2,8,1,1,9,7,0,0.00
3239,S,1,87,84,-0.3,-0.5,8,0,0,8,8,0,0.00
3368,S,1,104,105,-0.3,0.7,9,0,0,9,9,0,0.00
3377,S,1,11,11,-0.3,0.9,10,0,0,10,10,0,0.00
3482,S,1,104,105,-0.3,0.2,9,0,0,9,9,0,0.00
3646,S,1,110,111,-0.4,-0.2,9,0,0,9,9,0,0.00
3647,S,1,61,60,-0.4,-0.0,9,0,0,9,9,0,0.00
3720,S,1,69,68,-0.5,0.4,10,0,0,10,10,0,0.00
3903,S,1,128,127,-0.3,0.5,9,0,0,9,9,0,0.00
3904,S,1,88,87,-0.3,0.7,9,0,0,9,9,0,0.00
4111,S,1,120,120,-0.3,0.8,9,0,0,9,9,0,0.00
4111,S,1,94,95,-0.3,0.0,9,0,0,9,9,0,0.00
4245,S,1,112,112,-0.3,-0.5,9,0,0,9,9,0,0.00
4246,S,1,21,20,-0.3,-0.6,9,0,0,9,9,0,0.00
4359,S,1,109,108,-0.2,0.4,9,0,0,9,9,0,0.00
4543,S,1,116,114,-0.0,0.9,9,0,0,9,9,0,0.00
4543,S,1,80,79,-0.0,0.6,9,0,0,9,9,0,0.00
4759,S,1,117,116,0.0,0.4,9,0,0,9,9,0,0.00
4760,S,1,106,105,0.0,0.9,8,0,0,8,8,0,0.00
