HB:t=214,m=S,run=1,el=0,er=0,yaw=-0.0,yr=0.0,pc=2,hd=0,dp=0,OL=2,OR=2
HB:t=214,m=S,run=1,el=38,er=40,yaw=-0.0,yr=-0.3,pc=3,hd=0,dp=0,OL=3,OR=3
HB:t=333,m=S,run=1,el=66,er=65,yaw=-0.0,yr=-0.4,pc=3,hd=0,dp=0,OL=3,OR=3
HB:t=341,m=S,run=1,el=4,er=5,yaw=-0.0,yr=-0.5,pc=3,hd=0,dp=0,OL=3,OR=3
HB:t=438,m=S,run=1,el=67,er=67,yaw=0.1,yr=0.5,pc=4,hd=0,dp=0,OL=4,OR=4
HB:t=626,m=S,run=1,el=86,er=83,yaw=0.3,yr=1.0,pc=5,hd=0,dp=0,OL=5,OR=5
HB:t=627,m=S,run=1,el=66,er=62,yaw=0.3,yr=1.5,pc=6,hd=-1,dp=0,OL=5,OR=7
HB:t=755,m=S,run=1,el=94,er=90,yaw=0.3,yr=1.9,pc=8,hd=-1,dp=-1,OL=7,OR=9
HB:t=764,m=S,run=1,el=3,er=3,yaw=0.3,yr=2.0,pc=9,hd=-1,dp=-1,OL=8,OR=10
HB:t=874,m=S,run=1,el=94,er=96,yaw=0.6,yr=0.7,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=996,m=S,run=1,el=114,er=111,yaw=0.5,yr=-0.0,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=1000,m=S,run=1,el=4,er=4,yaw=0.5,yr=0.1,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=1101,m=S,run=1,el=116,er=112,yaw=0.8,yr=0.4,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=1220,m=S,run=1,el=133,er=137,yaw=0.8,yr=0.6,pc=8,hd=-1,dp=0,OL=7,OR=9
HB:t=1228,m=S,run=1,el=15,er=15,yaw=0.8,yr=0.7,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=1334,m=S,run=1,el=113,er=115,yaw=0.7,yr=-0.1,pc=9,hd=0,dp=0,OL=9,OR=9
