t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
211,S,1,0,0,0.0,0.0,104,0,0,104,104,0,0.00
212,S,1,0,0,0.0,0.0,104,0,0,104,104,0,0.00
334,S,1,58,50,0.0,0.0,112,0,0,112,112,0,0.00
338,S,1,1,1,0.0,0.0,118,0,0,118,118,0,0.00
468,S,1,137,101,2.5,11.1,63,-32,-36,48,112,0,0.00
680,S,1,174,216,2.6,-5.9,68,3,19,83,77,0,0.00
680,S,1,174,216,2.6,-5.9,68,3,19,83,77,0,0.00
901,S,1,180,194,-0.1,-2.2,69,8,7,88,72,0,0.00
901,S,1,180,194,-0.1,-2.2,69,8,7,88,72,0,0.00
1122,S,1,199,184,0.3,0.4,70,-3,-1,77,83,0,0.00
1123,S,1,199,184,0.3,0.4,70,-3,-1,77,83,0,0.00
1344,S,1,198,181,1.5,1.8,71,-15,-6,65,95,0,0.00
1344,S,1,198,181,1.5,1.8,71,-15,-6,65,95,0,0.00
1565,S,1,184,203,1.4,-1.1,71,-5,3,75,85,0,0.00
1566,S,1,0,1,1.4,-1.1,88,-5,3,83,93,0,0.00
1697,S,1,119,119,1.2,-3.1,90,2,10,92,88,0,0.00
1697,S,1,119,119,1.2,-3.1,90,2,10,92,88,0,0.00
1829,S,1,114,118,0.5,-2.6,7,5,8,85,75,0,0.00
1830,S,1,114,118,0.5,-2.6,7,5,8,85,75,0,0.00
2042,S,1,202,202,-0.1,-1.4,25,4,4,84,76,0,0.00
2042,S,1,202,202,-0.1,-1.4,25,4,4,84,76,0,0.00
2264,S,1,201,198,0.2,-0.4,38,0,1,80,80,0,0.00
2264,S,1,201,198,0.2,-0.4,38,0,1,80,80,0,0.00
2485,S,1,199,196,0.5,-0.1,47,-3,0,77,83,0,0.00
2486,S,1,1,1,0.5,-0.1,71,-3,0,77,83,0,0.00
2706,S,1,194,195,0.6,-0.4,71,-3,1,77,83,0,0.00
2706,S,1,194,195,0.6,-0.4,71,-3,1,77,83,0,0.00
2837,S,1,115,113,0.6,-0.2,78,-3,1,77,83,0,0.00
2837,S,1,115,113,0.6,-0.2,78,-3,1,77,83,0,0.00
2969,S,1,106,108,0.6,0.2,11,-5,-1,75,85,0,0.00
2970,S,1,106,108,0.6,0.2,11,-5,-1,75,85,0,0.00
3182,S,1,184,193,0.2,-1.6,29,3,5,83,77,0,0.00
3182,S,1,184,193,0.2,-1.6,29,3,5,83,77,0,0.00
3403,S,1,198,192,-0.0,-0.3,41,1,1,81,79,0,0.00
3404,S,1,198,192,-0.0,-0.3,41,1,1,81,79,0,0.00
3625,S,1,198,198,0.2,0.1,49,-2,0,78,82,0,0.00
3625,S,1,198,198,0.2,0.1,49,-2,0,78,82,0,0.00
3756,S,1,116,115,0.2,0.4,62,-3,-1,77,83,0,0.00
3756,S,1,116,115,0.2,0.4,62,-3,-1,77,83,0,0.00
3888,S,1,108,109,0.2,-0.3,45,-1,1,79,81,0,0.00
3889,S,1,108,109,0.2,-0.3,45,-1,1,79,81,0,0.00
4101,S,1,183,185,0.2,-0.4,53,-1,1,79,81,0,0.00
4101,S,1,183,185,0.2,-0.4,53,-1,1,79,81,0,0.00
4323,S,1,177,176,0.2,-0.1,59,-1,0,79,81,0,0.00
4323,S,1,177,176,0.2,-0.1,59,-1,0,79,81,0,0.00
4544,S,1,183,182,0.1,-0.7,63,1,2,81,79,0,0.00
4545,S,1,183,182,0.1,-0.7,63,1,2,81,79,0,0.00
4676,S,1,119,117,0.1,0.1,71,-1,0,79,81,0,0.00
4676,S,1,119,117,0.1,0.1,71,-1,0,79,81,0,0.00
4808,S,1,114,113,0.1,0.3,47,-2,-1,78,82,0,0.00
4809,S,1,114,113,0.1,0.3,47,-2,-1,78,82,0,0.00
4931,S,1,112,111,0.1,0.4,61,-3,-1,77,83,0,0.00
4935,S,1,112,111,0.1,0.4,61,-3,-1,77,83,0,0.00
5065,S,1,109,111,0.2,0.2,1,-2,-1,78,82,0,0.00
5276,S,1,188,192,0.1,0.0,21,-1,0,79,81,0,0.00
5277,S,1,188,192,0.1,0.0,21,-1,0,79,81,0,0.00
5399,S,1,100,100,0.0,-0.7,43,1,2,81,79,0,0.00
5404,S,1,100,100,0.0,-0.7,43,1,2,81,79,0,0.00
5524,S,1,86,86,-0.1,-0.6,17,2,2,82,78,0,0.00
5736,S,1,170,169,-0.1,0.1,34,-1,0,79,81,0,0.00
5737,S,1,170,169,-0.1,0.1,34,-1,0,79,81,0,0.00
5949,S,1,189,188,-0.2,-0.2,44,1,1,81,79,0,0.00
5949,S,1,189,188,-0.2,-0.2,44,1,1,81,79,0,0.00
6072,S,1,110,108,-0.2,-0.2,58,1,1,81,79,0,0.00
6076,S,1,3,4,-0.2,-0.2,77,1,1,81,79,0,0.00
6206,S,1,108,109,-0.0,0.3,28,-2,-1,78,82,0,0.00
6386,S,1,161,161,0.0,-0.1,43,-1,0,79,81,0,0.00
6386,S,1,161,161,0.0,-0.1,43,-1,0,79,81,0,0.00
6486,S,1,71,70,-0.0,-0.1,29,0,0,80,80,0,0.00
6698,S,1,172,175,-0.1,-0.1,42,0,0,80,80,0,0.00
6699,S,1,172,175,-0.1,-0.1,42,0,0,80,80,0,0.00
6919,S,1,174,174,-0.1,-0.0,51,0,0,80,80,0,0.00
6920,S,1,174,174,-0.1,-0.0,51,0,0,80,80,0,0.00
7141,S,1,194,189,-0.1,-0.1,55,0,0,80,80,0,0.00
7141,S,1,194,189,-0.1,-0.1,55,0,0,80,80,0,0.00
7362,S,1,196,198,-0.1,0.1,58,0,0,80,80,0,0.00
7363,S,1,196,198,-0.1,0.1,58,0,0,80,80,0,0.00
