t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
220,S,1,0,0,0.0,0.0,123,0,0,123,123,0,0.00
221,S,1,0,0,0.0,0.0,123,0,0,123,123,0,0.00
342,S,1,68,73,0.0,0.0,129,0,0,129,129,0,0.00
347,S,1,1,2,0.0,0.0,129,0,0,129,129,0,0.00
476,S,1,125,165,-2.6,-10.4,45,32,33,112,48,0,0.00
598,S,1,142,123,-3.0,-15.6,68,32,50,112,48,0,0.00
602,S,1,142,123,-3.0,-15.6,68,32,50,112,48,0,0.00
722,S,1,130,79,-0.9,5.2,11,-11,-17,69,91,0,0.00
934,S,1,193,187,1.4,2.6,41,-17,-8,63,97,0,0.00
934,S,1,193,187,1.4,2.6,41,-17,-8,63,97,0,0.00
1155,S,1,173,206,0.2,-2.8,63,8,9,88,72,0,0.00
1156,S,1,173,206,0.2,-2.8,63,8,9,88,72,0,0.00
1377,S,1,203,190,-0.6,-1.0,78,7,3,87,73,0,0.00
1377,S,1,203,190,-0.6,-1.0,78,7,3,87,73,0,0.00
1597,S,1,193,190,-0.2,0.0,88,1,0,89,87,0,0.00
1597,S,1,193,190,-0.2,0.0,88,1,0,89,87,0,0.00
1728,S,1,118,120,-0.1,0.6,97,-1,-2,96,98,0,0.00
1728,S,1,118,120,-0.1,0.6,97,-1,-2,96,98,0,0.00
1860,S,1,128,127,0.0,1.7,0,-5,-5,-5,5,0,0.00
1861,S,1,128,127,0.0,1.7,0,-5,-5,-5,5,0,0.00
2073,S,1,52,51,-0.1,0.9,36,-2,-3,78,82,0,0.00
2073,S,1,52,51,-0.1,0.9,36,-2,-3,78,82,0,0.00
2294,S,1,106,108,-0.1,0.3,61,0,-1,80,80,0,0.00
2295,S,1,106,108,-0.1,0.3,61,0,-1,80,80,0,0.00
2516,S,1,163,168,-0.4,-0.6,76,4,2,84,76,0,0.00
2516,S,1,163,168,-0.4,-0.6,76,4,2,84,76,0,0.00
2647,S,1,109,110,-0.5,-1.5,89,8,5,97,81,0,0.00
2648,S,1,109,110,-0.5,-1.5,89,8,5,97,81,0,0.00
2779,S,1,122,118,-0.5,0.5,2,1,-1,81,79,0,0.00
2901,S,1,125,120,-0.4,1.2,35,-1,-4,79,81,0,0.00
