t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,0,0,0,0,0,0,0.00
221,S,1,0,0,-2.6,-2.7,130,24,9,154,106,0,0.00
221,S,1,0,0,-2.6,-2.7,130,24,9,154,106,0,0.00
442,S,1,391,241,-5.7,-3.9,124,47,12,171,77,0,0.00
442,S,1,391,241,-5.7,-3.9,124,47,12,171,77,0,0.00
583,S,1,337,150,-6.0,-4.4,121,48,14,169,73,0,0.00
583,S,1,337,150,-6.0,-4.4,121,48,14,169,73,0,0.00
706,S,1,255,93,-9.0,-4.8,1,32,15,112,48,0,0.00
918,S,1,364,118,-10.3,1.9,44,32,-6,112,48,0,0.00
919,S,1,364,118,-10.3,1.9,44,32,-6,112,48,0,0.00
1140,S,1,344,107,-10.2,-2.5,75,32,8,112,48,0,0.00
1140,S,1,344,107,-10.2,-2.5,75,32,8,112,48,0,0.00
1360,S,1,342,108,-8.4,-0.5,97,39,2,136,58,0,0.00
1361,S,1,342,108,-8.4,-0.5,97,39,2,136,58,0,0.00
1581,S,1,408,133,-7.0,-2.9,111,44,9,155,67,0,0.00
1582,S,1,408,133,-7.0,-2.9,111,44,9,155,67,0,0.00
1712,S,1,277,96,-7.3,-4.5,123,49,15,172,74,0,0.00
1713,S,1,277,96,-7.3,-4.5,123,49,15,172,74,0,0.00
1844,S,1,298,108,-8.2,2.8,1,32,-9,112,48,0,0.00
2056,S,1,380,124,-4.9,4.6,54,15,-15,95,65,0,0.00
2057,S,1,380,124,-4.9,4.6,54,15,-15,95,65,0,0.00
2278,S,1,256,104,-6.5,0.7,93,37,-2,130,56,0,0.00
2279,S,1,256,104,-6.5,0.7,93,37,-2,130,56,0,0.00
2500,S,1,245,142,-3.0,14.7,120,-29,-47,91,149,0,0.00
2500,S,1,0,0,-3.0,14.7,143,-29,-47,114,172,0,0.00
2631,S,1,168,152,-1.6,28.4,153,-61,-91,92,214,0,0.00
2632,S,1,168,152,-1.6,28.4,153,-61,-91,92,214,0,0.00
2763,S,1,134,281,-4.9,-29.2,1,32,93,112,48,0,0.00
2975,S,1,246,299,-14.3,-9.8,56,32,31,112,48,0,0.00
2976,S,1,246,0,0.0,0.0,0,0,0,0,0,0,0.00
3197,S,1,248,146,-9.1,9.3,96,25,-30,121,71,0,0.00
3197,S,1,248,146,-9.1,9.3,96,25,-30,121,71,0,0.00
3418,S,1,288,160,-1.3,23.9,123,-49,-76,74,172,0,0.00
3419,S,1,288,160,-1.3,23.9,123,-49,-76,74,172,0,0.00
3639,S,1,246,344,-1.3,-11.3,141,44,36,185,97,0,0.00
3640,S,1,0,1,-1.3,-11.3,160,44,36,204,116,0,0.00
3771,S,1,222,236,-3.4,-34.3,163,65,110,228,98,0,0.00
3771,S,1,222,236,-3.4,-34.3,163,65,110,228,98,0,0.00
3903,S,1,291,186,-3.0,13.8,1,-26,-44,54,106,0,0.00
