t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,102,0,0,102,102,0,0.00
221,S,1,152,149,0.2,1.0,96,-4,-3,92,100,0,0.00
221,S,1,152,149,0.2,1.0,96,-4,-3,92,100,0,0.00
344,S,1,128,127,0.3,1.9,95,-8,-6,87,103,0,0.00
348,S,1,128,127,0.3,1.9,95,-8,-6,87,103,0,0.00
468,S,1,110,109,0.6,1.0,1,-6,-3,74,86,0,0.00
680,S,1,196,199,0.6,0.8,28,-6,-2,74,86,0,0.00
681,S,1,196,199,0.6,0.8,28,-6,-2,74,86,0,0.00
893,S,1,177,180,0.4,-0.3,47,-1,1,79,81,0,0.00
893,S,1,177,180,0.4,-0.3,47,-1,1,79,81,0,0.00
1113,S,1,175,172,0.3,-0.2,60,-1,1,79,81,0,0.00
1114,S,1,175,172,0.3,-0.2,60,-1,1,79,81,0,0.00
1326,S,1,176,178,0.2,-0.3,70,0,1,80,80,0,0.00
1327,S,1,176,178,0.2,-0.3,70,0,1,80,80,0,0.00
1548,S,1,190,189,0.2,0.0,76,-1,0,79,81,0,0.00
1548,S,1,190,189,0.2,0.0,76,-1,0,79,81,0,0.00
1769,S,1,185,182,0.4,0.7,80,-5,-2,75,85,0,0.00
1770,S,1,185,182,0.4,0.7,80,-5,-2,75,85,0,0.00
1901,S,1,109,112,0.5,0.9,85,-6,-3,79,91,0,0.00
1901,S,1,109,112,0.5,0.9,85,-6,-3,79,91,0,0.00
2034,S,1,111,113,0.4,-0.7,39,0,2,80,80,0,0.00
2034,S,1,111,113,0.4,-0.7,39,0,2,80,80,0,0.00
2156,S,1,112,108,0.4,-0.8,56,0,2,80,80,0,0.00
2161,S,1,112,108,0.4,-0.8,56,0,2,80,80,0,0.00
2290,S,1,96,95,0.4,-0.0,1,-2,0,78,82,0,0.00
2502,S,1,176,176,0.4,0.4,28,-3,-1,77,83,0,0.00
2502,S,1,176,176,0.4,0.4,28,-3,-1,77,83,0,0.00
2625,S,1,105,103,0.4,-0.0,49,-2,0,78,82,0,0.00
2629,S,1,105,103,0.4,-0.0,49,-2,0,78,82,0,0.00
2750,S,1,92,93,0.3,-0.6,1,0,2,80,80,0,0.00
2962,S,1,173,173,0.5,1.4,28,-8,-5,72,88,0,0.00
2962,S,1,173,173,0.5,1.4,28,-8,-5,72,88,0,0.00
3175,S,1,177,179,0.5,0.1,47,-3,0,77,83,0,0.00
3175,S,1,177,179,0.5,0.1,47,-3,0,77,83,0,0.00
3297,S,1,102,103,0.5,-0.5,62,-1,2,79,81,0,0.00
3302,S,1,102,103,0.5,-0.5,62,-1,2,79,81,0,0.00
3431,S,1,95,98,0.2,-1.1,1,2,4,82,78,0,0.00
3642,S,1,166,164,0.2,0.3,28,-2,-1,78,82,0,0.00
3642,S,1,166,164,0.2,0.3,28,-2,-1,78,82,0,0.00
3855,S,1,176,170,0.2,0.4,47,-2,-1,78,82,0,0.00
3855,S,1,176,170,0.2,0.4,47,-2,-1,78,82,0,0.00
4067,S,1,173,172,0.5,1.2,60,-7,-4,73,87,0,0.00
4068,S,1,173,172,0.5,1.2,60,-7,-4,73,87,0,0.00
4289,S,1,174,163,0.9,4.0,69,-18,-13,62,98,0,0.00
4289,S,1,174,163,0.9,4.0,69,-18,-13,62,98,0,0.00
4420,S,1,94,84,1.2,5.7,78,-25,-18,55,105,0,0.00
4420,S,1,94,84,1.2,5.7,78,-25,-18,55,105,0,0.00
4552,S,1,85,88,2.1,3.2,44,-23,-10,57,103,0,0.00
4553,S,1,1,0,2.1,3.2,61,-23,-10,57,103,0,0.00
4675,S,1,86,90,2.1,2.2,70,-20,-7,60,100,0,0.00
4680,S,1,86,90,2.1,2.2,70,-20,-7,60,100,0,0.00
4809,S,1,80,75,2.4,2.5,19,-22,-8,58,102,0,0.00
5021,S,1,133,156,1.3,-4.5,41,6,14,86,74,0,0.00
5021,S,1,133,156,1.3,-4.5,41,6,14,86,74,0,0.00
5234,S,1,159,165,0.4,-3.3,55,8,10,88,72,0,0.00
5234,S,1,159,165,0.4,-3.3,55,8,10,88,72,0,0.00
5356,S,1,99,96,0.3,-3.0,67,8,10,88,72,0,0.00
5361,S,1,99,96,0.3,-3.0,67,8,10,88,72,0,0.00
5490,S,1,98,93,0.5,-0.6,1,-1,2,79,81,0,0.00
5701,S,1,171,172,0.5,0.4,27,-5,-1,75,85,0,0.00
5701,S,1,171,172,0.5,0.4,27,-5,-1,75,85,0,0.00
5914,S,1,171,173,0.6,0.4,45,-5,-1,75,85,0,0.00
5914,S,1,171,173,0.6,0.4,45,-5,-1,75,85,0,0.00
6127,S,1,170,172,0.6,-1.0,58,0,3,80,80,0,0.00
6127,S,1,170,172,0.6,-1.0,58,0,3,80,80,0,0.00
6348,S,1,167,168,0.2,-1.3,67,2,4,82,78,0,0.00
6348,S,1,167,168,0.2,-1.3,67,2,4,82,78,0,0.00
6569,S,1,169,172,0.1,-0.7,73,2,2,82,78,0,0.00
6569,S,1,169,172,0.1,-0.7,73,2,2,82,78,0,0.00
6700,S,1,108,103,0.1,-1.1,79,3,3,83,77,0,0.00
6700,S,1,108,103,0.1,-1.1,79,3,3,83,77,0,0.00
6832,S,1,104,101,0.3,-0.0,24,-2,0,78,82,0,0.00
6833,S,1,0,1,0.3,-0.0,47,-2,0,78,82,0,0.00
7045,S,1,174,180,0.2,-0.2,55,-1,1,79,81,0,0.00
7045,S,1,174,180,0.2,-0.2,55,-1,1,79,81,0,0.00
7266,S,1,179,178,0.3,0.7,64,-4,-2,76,84,0,0.00
7267,S,1,179,178,0.3,0.7,64,-4,-2,76,84,0,0.00
7487,S,1,178,177,0.3,0.0,71,-2,0,78,82,0,0.00
7488,S,1,178,177,0.3,0.0,71,-2,0,78,82,0,0.00
7708,S,1,161,169,-0.1,-0.3,76,2,1,82,78,0,0.00
7709,S,1,161,169,-0.1,-0.3,76,2,1,82,78,0,0.00
7839,S,1,104,105,-0.2,-1.4,80,6,5,86,74,0,0.00
7840,S,1,104,105,-0.2,-1.4,80,6,5,86,74,0,0.00
7971,S,1,103,96,-0.3,-0.2,26,3,1,83,77,0,0.00
8184,S,1,182,179,0.1,0.9,43,-3,-3,77,83,0,0.00
8184,S,1,182,179,0.1,0.9,43,-3,-3,77,83,0,0.00
8405,S,1,182,185,0.1,0.3,56,-1,-1,79,81,0,0.00
8406,S,1,182,185,0.1,0.3,56,-1,-1,79,81,0,0.00
8627,S,1,185,182,0.1,0.6,64,-3,-2,77,83,0,0.00
8627,S,1,185,182,0.1,0.6,64,-3,-2,77,83,0,0.00
8758,S,1,109,109,0.2,0.8,72,-4,-3,76,84,0,0.00
8759,S,1,109,109,0.2,0.8,72,-4,-3,76,84,0,0.00
8891,S,1,92,96,0.1,-0.6,15,1,2,81,79,0,0.00
9102,S,1,166,168,-0.3,-1.8,36,8,6,88,72,0,0.00
9103,S,1,1,0,-0.3,-1.8,54,8,6,88,72,0,0.00
9324,S,1,183,176,-0.2,1.1,59,-2,-3,78,82,0,0.00
9324,S,1,183,176,-0.2,1.1,59,-2,-3,78,82,0,0.00
9545,S,1,185,183,0.2,1.2,66,-5,-4,75,85,0,0.00
9546,S,1,185,183,0.2,1.2,66,-5,-4,75,85,0,0.00
9766,S,1,183,188,0.0,0.3,71,-1,-1,79,81,0,0.00
9767,S,1,183,188,0.0,0.3,71,-1,-1,79,81,0,0.00
9898,S,1,111,114,-0.0,-0.3,76,1,1,81,79,0,0.00
9898,S,1,111,114,-0.0,-0.3,76,1,1,81,79,0,0.00
10030,S,1,102,100,-0.0,-0.2,11,1,1,81,79,0,0.00
10031,S,1,102,100,-0.0,-0.2,11,1,1,81,79,0,0.00
10243,S,1,173,169,0.0,0.0,32,0,0,80,80,0,0.00
10244,S,1,173,169,0.0,0.0,32,0,0,80,80,0,0.00
10465,S,1,178,181,-0.1,-0.1,47,1,0,81,79,0,0.00
10465,S,1,178,181,-0.1,-0.1,47,1,0,81,79,0,0.00
10686,S,1,191,187,-0.1,0.7,57,-2,-2,78,82,0,0.00
10686,S,1,191,187,-0.1,0.7,57,-2,-2,78,82,0,0.00
10818,S,1,110,110,-0.1,0.6,66,-2,-2,78,82,0,0.00
10818,S,1,110,110,-0.1,0.6,66,-2,-2,78,82,0,0.00
10950,S,1,94,99,-0.2,-0.1,1,1,0,81,79,0,0.00
11162,S,1,179,183,-0.4,-0.7,26,4,2,84,76,0,0.00
11162,S,1,179,183,-0.4,-0.7,26,4,2,84,76,0,0.00
11383,S,1,187,184,-0.4,-0.6,44,4,2,84,76,0,0.00
11383,S,1,187,184,-0.4,-0.6,44,4,2,84,76,0,0.00
11605,S,1,170,174,-0.7,-0.3,57,5,1,85,75,0,0.00
11605,S,1,170,174,-0.7,-0.3,57,5,1,85,75,0,0.00
11826,S,1,188,187,-0.9,-0.4,65,7,1,87,73,0,0.00
11826,S,1,188,187,-0.9,-0.4,65,7,1,87,73,0,0.00
11957,S,1,114,112,-0.9,-0.2,73,6,1,86,74,0,0.00
11958,S,1,114,112,-0.9,-0.2,73,6,1,86,74,0,0.00
12089,S,1,99,100,-0.7,0.5,1,3,-2,83,77,0,0.00
12211,S,1,101,101,-0.7,1.3,28,0,-4,80,80,0,0.00
12216,S,1,1,1,-0.7,1.3,50,0,-4,80,80,0,0.00
12345,S,1,103,103,-0.7,0.5,16,2,-2,82,78,0,0.00
12467,S,1,104,104,-0.7,-0.4,39,5,1,85,75,0,0.00
12471,S,1,104,104,-0.7,-0.4,39,5,1,85,75,0,0.00
12591,S,1,90,89,-0.7,0.2,1,3,-1,83,77,0,0.00
12713,S,1,97,96,-0.7,1.1,30,0,-4,80,80,0,0.00
12717,S,1,0,1,-0.7,1.1,52,0,-4,80,80,0,0.00
12846,S,1,94,92,-0.6,0.5,35,2,-2,82,78,0,0.00
13058,S,1,170,168,-0.7,-0.4,52,6,1,86,74,0,0.00
13058,S,1,170,168,-0.7,-0.4,52,6,1,86,74,0,0.00
13271,S,1,180,177,-0.6,0.4,63,2,-1,82,78,0,0.00
13271,S,1,180,177,-0.6,0.4,63,2,-1,82,78,0,0.00
13393,S,1,102,102,-0.6,0.6,73,1,-2,81,79,0,0.00
13398,S,1,102,102,-0.6,0.6,73,1,-2,81,79,0,0.00
13527,S,1,99,96,-0.3,1.5,2,-3,-5,77,83,0,0.00
13707,S,1,150,154,-0.3,0.1,29,1,0,81,79,0,0.00
13707,S,1,150,154,-0.3,0.1,29,1,0,81,79,0,0.00
13807,S,1,69,71,-0.4,0.1,11,2,0,82,78,0,0.00
14019,S,1,171,167,-0.4,0.9,34,0,-3,80,80,0,0.00
14020,S,1,171,167,-0.4,0.9,34,0,-3,80,80,0,0.00
14241,S,1,171,166,-0.3,1.0,50,-1,-3,79,81,0,0.00
14241,S,1,171,166,-0.3,1.0,50,-1,-3,79,81,0,0.00
14463,S,1,178,180,-0.3,0.6,62,0,-2,80,80,0,0.00
14463,S,1,178,180,-0.3,0.6,62,0,-2,80,80,0,0.00
14684,S,1,183,182,-0.4,0.7,70,0,-2,80,80,0,0.00
14685,S,1,183,182,-0.4,0.7,70,0,-2,80,80,0,0.00
14816,S,1,105,105,-0.3,0.3,77,1,-1,81,79,0,0.00
14816,S,1,105,105,-0.3,0.3,77,1,-1,81,79,0,0.00
14948,S,1,94,96,-0.2,-0.7,4,3,2,83,77,0,0.00
14949,S,1,94,96,-0.2,-0.7,4,3,2,83,77,0,0.00
15161,S,1,176,174,-0.2,-1.6,28,6,5,86,74,0,0.00
15161,S,1,176,174,-0.2,-1.6,28,6,5,86,74,0,0.00
15383,S,1,174,169,-0.1,-0.3,46,1,1,81,79,0,0.00
15383,S,1,174,169,-0.1,-0.3,46,1,1,81,79,0,0.00
15604,S,1,170,168,0.1,0.8,58,-3,-3,77,83,0,0.00
15604,S,1,170,168,0.1,0.8,58,-3,-3,77,83,0,0.00
15736,S,1,105,103,0.1,1.1,68,-4,-3,76,84,0,0.00
15736,S,1,105,103,0.1,1.1,68,-4,-3,76,84,0,0.00
15868,S,1,92,93,-0.0,-0.2,2,1,1,81,79,0,0.00
15990,S,1,98,99,-0.0,-0.4,28,1,1,81,79,0,0.00
15994,S,1,3,3,-0.0,-0.4,48,1,1,81,79,0,0.00
16123,S,1,95,95,0.1,0.2,10,-1,-1,79,81,0,0.00
16245,S,1,98,98,0.1,0.3,34,-1,-1,79,81,0,0.00
16249,S,1,98,98,0.1,0.3,34,-1,-1,79,81,0,0.00
16369,S,1,86,84,0.3,0.6,1,-4,-2,76,84,0,0.00
16581,S,1,167,170,0.1,0.1,27,-1,0,79,81,0,0.00
16582,S,1,167,170,0.1,0.1,27,-1,0,79,81,0,0.00
16803,S,1,164,168,-0.1,0.5,45,-1,-2,79,81,0,0.00
16803,S,1,164,168,-0.1,0.5,45,-1,-2,79,81,0,0.00
17024,S,1,176,170,-0.2,0.4,58,0,-1,80,80,0,0.00
17024,S,1,176,170,-0.2,0.4,58,0,-1,80,80,0,0.00
17155,S,1,107,107,-0.1,0.7,69,-1,-2,79,81,0,0.00
17156,S,1,107,107,-0.1,0.7,69,-1,-2,79,81,0,0.00
17287,S,1,93,97,-0.2,0.3,1,0,-1,80,80,0,0.00
17499,S,1,172,173,-0.3,-0.0,27,1,0,81,79,0,0.00
17499,S,1,172,173,-0.3,-0.0,27,1,0,81,79,0,0.00
17721,S,1,183,178,-0.1,0.7,44,-2,-2,78,82,0,0.00
17721,S,1,183,178,-0.1,0.7,44,-2,-2,78,82,0,0.00
17942,S,1,174,180,-0.1,-0.5,57,2,2,82,78,0,0.00
17942,S,1,174,180,-0.1,-0.5,57,2,2,82,78,0,0.00
18163,S,1,171,166,-0.3,0.3,66,1,-1,81,79,0,0.00
18164,S,1,171,166,-0.3,0.3,66,1,-1,81,79,0,0.00
18295,S,1,106,104,-0.2,0.4,73,0,-1,80,80,0,0.00
18295,S,1,106,104,-0.2,0.4,73,0,-1,80,80,0,0.00
18427,S,1,97,96,-0.1,0.9,1,-2,-3,78,82,0,0.00
18428,S,1,97,96,-0.1,0.9,1,-2,-3,78,82,0,0.00
18549,S,1,102,103,-0.1,0.8,28,-2,-3,78,82,0,0.00
18554,S,1,3,2,-0.1,0.8,48,-2,-3,78,82,0,0.00
18683,S,1,99,101,-0.1,-0.2,1,1,1,81,79,0,0.00
18895,S,1,177,175,-0.0,0.2,27,0,-1,80,80,0,0.00
18895,S,1,177,175,-0.0,0.2,27,0,-1,80,80,0,0.00
19107,S,1,176,174,0.1,0.1,45,-1,0,79,81,0,0.00
19108,S,1,176,174,0.1,0.1,45,-1,0,79,81,0,0.00
19229,S,1,99,98,0.2,0.6,60,-3,-2,77,83,0,0.00
19234,S,1,2,2,0.2,0.6,72,-3,-2,77,83,0,0.00
19363,S,1,92,94,0.1,-0.2,25,0,1,80,80,0,0.00
19575,S,1,165,165,-0.0,0.0,44,0,0,80,80,0,0.00
