HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,dp=0,OL=0,OR=0,hi=0.00
HB:t=219,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.1,pc=130,hd=0,dp=0,OL=130,OR=130,hi=-0.00
HB:t=220,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.1,pc=130,hd=0,dp=0,OL=130,OR=130,hi=-0.00
HB:t=440,m=S,run=1,el=131,er=122,yaw=0.3,yr=2.4,pc=128,hd=-9,dp=-8,OL=119,OR=137,hi=-0.00
HB:t=440,m=S,run=1,el=131,er=122,yaw=0.3,yr=2.4,pc=128,hd=-9,dp=-8,OL=119,OR=137,hi=-0.00
HB:t=562,m=S,run=1,el=132,er=130,yaw=0.4,yr=1.9,pc=126,hd=-9,dp=-6,OL=117,OR=135,hi=-0.00
HB:t=567,m=S,run=1,el=132,er=130,yaw=0.4,yr=1.9,pc=126,hd=-9,dp=-6,OL=117,OR=135,hi=-0.00
HB:t=696,m=S,run=1,el=145,er=152,yaw=0.5,yr=-0.9,pc=1,hd=0,dp=3,OL=80,OR=80,hi=-0.00
HB:t=818,m=S,run=1,el=139,er=140,yaw=0.4,yr=-2.8,pc=39,hd=6,dp=9,OL=86,OR=74,hi=-0.01
HB:t=822,m=S,run=1,el=3,er=3,yaw=0.4,yr=-2.8,pc=68,hd=6,dp=9,OL=86,OR=74,hi=-0.01
HB:t=942,m=S,run=1,el=107,er=107,yaw=0.3,yr=-0.1,pc=41,hd=-2,dp=0,OL=78,OR=82,hi=-0.01
HB:t=1154,m=S,run=1,el=182,er=180,yaw=0.6,yr=-0.4,pc=66,hd=-2,dp=1,OL=78,OR=82,hi=-0.01
HB:t=1154,m=S,run=1,el=182,er=180,yaw=0.6,yr=-0.4,pc=66,hd=-2,dp=1,OL=78,OR=82,hi=-0.01
HB:t=1375,m=S,run=1,el=163,er=167,yaw=0.3,yr=-1.4,pc=84,hd=3,dp=5,OL=87,OR=81,hi=-0.01
HB:t=1375,m=S,run=1,el=163,er=167,yaw=0.3,yr=-1.4,pc=84,hd=3,dp=5,OL=87,OR=81,hi=-0.01
HB:t=1596,m=S,run=1,el=179,er=179,yaw=0.1,yr=-0.9,pc=96,hd=3,dp=3,OL=99,OR=93,hi=-0.01
HB:t=1597,m=S,run=1,el=179,er=179,yaw=0.1,yr=-0.9,pc=96,hd=3,dp=3,OL=99,OR=93,hi=-0.01
HB:t=1728,m=S,run=1,el=128,er=125,yaw=0.1,yr=-0.5,pc=106,hd=1,dp=2,OL=107,OR=105,hi=-0.01
HB:t=1728,m=S,run=1,el=128,er=125,yaw=0.1,yr=-0.5,pc=106,hd=1,dp=2,OL=107,OR=105,hi=-0.01
HB:t=1860,m=S,run=1,el=143,er=141,yaw=0.3,yr=0.3,pc=32,hd=-3,dp=-1,OL=77,OR=83,hi=-0.01
HB:t=1861,m=S,run=1,el=0,er=0,yaw=0.3,yr=0.3,pc=63,hd=-3,dp=-1,OL=77,OR=83,hi=-0.01
HB:t=2073,m=S,run=1,el=217,er=225,yaw=0.2,yr=-0.0,pc=76,hd=-1,dp=0,OL=79,OR=81,hi=-0.01
HB:t=2073,m=S,run=1,el=217,er=225,yaw=0.2,yr=-0.0,pc=76,hd=-1,dp=0,OL=79,OR=81,hi=-0.01
HB:t=2294,m=S,run=1,el=191,er=186,yaw=0.2,yr=0.5,pc=90,hd=-3,dp=-2,OL=87,OR=93,hi=-0.01
HB:t=2295,m=S,run=1,el=191,er=186,yaw=0.2,yr=0.5,pc=90,hd=-3,dp=-2,OL=87,OR=93,hi=-0.01
HB:t=2516,m=S,run=1,el=189,er=197,yaw=0.0,yr=-0.7,pc=99,hd=2,dp=2,OL=101,OR=97,hi=-0.01
HB:t=2516,m=S,run=1,el=189,er=197,yaw=0.0,yr=-0.7,pc=99,hd=2,dp=2,OL=101,OR=97,hi=-0.01
HB:t=2647,m=S,run=1,el=131,er=132,yaw=-0.1,yr=-2.9,pc=108,hd=10,dp=9,OL=118,OR=98,hi=-0.01
HB:t=2648,m=S,run=1,el=131,e
r=132,yaw=-0.1,yr=-2.9,pc=108,hd=10,dp=9,OL=118,OR=98,hi=-0.01
HB:t=2780,m=S,run=1,el=150,er=141,yaw=-0.2,yr=-0.8,pc=13,hd=4,dp=2,OL=84,OR=76,hi=-0.01
HB:t=2901,m=S,run=1,el=142,er=131,yaw=-0.2,yr=1.2,pc=46,hd=-3,dp=-4,OL=77,OR=83,hi=-0.01
HB:t=2906,m=S,run=1,el=142,er=131,yaw=-0.2,yr=1.2,pc=46,hd=-3,dp=-4,OL=77,OR=83,hi=-0.01
HB:t=3035,m=S,run=1,el=106,er=115,yaw=0.3,yr=0.1,pc=1,hd=-2,dp=0,OL=78,OR=82,hi=-0.01
HB:t=3157,m=S,run=1,el=112,er=111,yaw=0.3,yr=0.5,pc=38,hd=-4,dp=-2,OL=76,OR=84,hi=-0.01
HB:t=3161,m=S,run=1,el=3,er=3,yaw=0.3,yr=0.5,pc=66,hd=-4,dp=-2,OL=76,OR=84,hi=-0.01
HB:t=3281,m=S,run=1,el=94,er=97,yaw=0.3,yr=0.2,pc=36,hd=-2,dp=-1,OL=78,OR=82,hi=-0.01
HB:t=3403,m=S,run=1,el=104,er=103,yaw=0.2,yr=-0.4,pc=62,hd=0,dp=1,OL=80,OR=80,hi=-0.01
HB:t=3407,m=S,run=1,el=104,er=103,yaw=0.2,yr=-0.4,pc=62,hd=0,dp=1,OL=80,OR=80,hi=-0.01
HB:t=3537,m=S,run=1,el=101,er=103,yaw=0.3,yr=-0.1,pc=13,hd=-1,dp=0,OL=79,OR=81,hi=-0.01
HB:t=3749,m=S,run=1,el=181,er=180,yaw=0.0,yr=-1.4,pc=45,hd=4,dp=4,OL=84,OR=76,hi=-0.01
HB:t=3750,m=S,run=1,el=181,er=180,yaw=0.0,yr=-1.4,pc=45,hd=4,dp=4,OL=84,OR=76,hi=-0.01
HB:t=3970,m=S,run=1,el=191,er=189,yaw=-0.0,yr=-0.5,pc=66,hd=2,dp=2,OL=82,OR=78,hi=-0.01
HB:t=3971,m=S,run=1,el=1,er=0,yaw=-0.0,yr=-0.5,pc=85,hd=2,dp=2,OL=87,OR=83,hi=-0.01
HB:t=4192,m=S,run=1,el=196,er=196,yaw=0.2,yr=-0.2,pc=91,hd=0,dp=1,OL=91,OR=91,hi=-0.01
HB:t=4192,m=S,run=1,el=196,er=196,yaw=0.2,yr=-0.2,pc=91,hd=0,dp=1,OL=91,OR=91,hi=-0.01
HB:t=4413,m=S,run=1,el=213,er=216,yaw=0.1,yr=-0.4,pc=98,hd=1,dp=1,OL=99,OR=97,hi=-0.01
HB:t=4413,m=S,run=1,el=213,er=216,yaw=0.1,yr=-0.4,pc=98,hd=1,dp=1,OL=99,OR=97,hi=-0.01
HB:t=4634,m=S,run=1,el=236,er=239,yaw=-0.1,yr=-1.8,pc=103,hd=6,dp=6,OL=109,OR=97,hi=-0.01
HB:t=4635,m=S,run=1,el=236,er=239,yaw=-0.1,yr=-1.8,pc=103,hd=6,dp=6,OL=109,OR=97,hi=-0.01
HB:t=4855,m=S,run=1,el=250,er=247,yaw=-0.2,yr=-0.0,pc=106,hd=1,dp=0,OL=107,OR=105,hi=-0.01
HB:t=4855,m=S,run=1,el=250,e
r=247,yaw=-0.2,yr=-0.0,pc=106,hd=1,dp=0,OL=107,OR=105,hi=-0.01
HB:t=5076,m=S,run=1,el=275,er=278,yaw=-0.4,yr=0.0,pc=107,hd=2,dp=0,OL=109,OR=105,hi=-0.01
HB:t=5076,m=S,run=1,el=275,er=278,yaw=-0.4,yr=0.0,pc=107,hd=2,dp=0,OL=109,OR=105,hi=-0.01
