HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,dp=0,OL=0,OR=0,hi=0.00
HB:t=221,m=S,run=1,el=0,er=0,yaw=-0.0,yr=0.0,pc=6,hd=0,dp=0,OL=86,OR=86,hi=0.00
HB:t=222,m=S,run=1,el=0,er=0,yaw=-0.0,yr=0.0,pc=6,hd=0,dp=0,OL=86,OR=86,hi=0.00
HB:t=443,m=S,run=1,el=79,er=95,yaw=-0.1,yr=-2.6,pc=10,hd=9,dp=8,OL=99,OR=81,hi=0.00
HB:t=443,m=S,run=1,el=79,er=95,yaw=-0.1,yr=-2.6,pc=10,hd=9,dp=8,OL=99,OR=81,hi=0.00
HB:t=574,m=S,run=1,el=74,er=105,yaw=-0.5,yr=-6.3,pc=9,hd=23,dp=20,OL=112,OR=66,hi=0.00
HB:t=574,m=S,run=1,el=74,er=105,yaw=-0.5,yr=-6.3,pc=9,hd=23,dp=20,OL=112,OR=66,hi=0.00
HB:t=706,m=S,run=1,el=98,er=99,yaw=-3.2,yr=-4.6,pc=1,hd=32,dp=15,OL=113,OR=49,hi=0.00
HB:t=707,m=S,run=1,el=98,er=99,yaw=-3.2,yr=-4.6,pc=1,hd=32,dp=15,OL=113,OR=49,hi=0.00
HB:t=919,m=S,run=1,el=208,er=153,yaw=-1.3,yr=7.6,pc=5,hd=-17,dp=-24,OL=68,OR=102,hi=0.01
HB:t=919,m=S,run=1,el=208,er=153,yaw=-1.3,yr=7.6,pc=5,hd=-17,dp=-24,OL=68,OR=102,hi=0.01
HB:t=1141,m=S,run=1,el=185,er=200,yaw=0.3,yr=0.1,pc=7,hd=-2,dp=0,OL=85,OR=89,hi=0.01
HB:t=1141,m=S,run=1,el=185,er=200,yaw=0.3,yr=0.1,pc=7,hd=-2,dp=0,OL=85,OR=89,hi=0.01
HB:t=1362,m=S,run=1,el=187,er=207,yaw=-1.3,yr=-2.6,pc=9,hd=16,dp=8,OL=105,OR=73,hi=0.01
HB:t=1362,m=S,run=1,el=187,er=207,yaw=-1.3,yr=-2.6,pc=9,hd=16,dp=8,OL=105,OR=73,hi=0.01
HB:t=1494,m=S,run=1,el=136,er=118,yaw=-1.5,yr=-4.6,pc=11,hd=24,dp=15,OL=115,OR=67,hi=0.02
HB:t=1494,m=S,run=1,el=136,er=118,yaw=-1.5,yr=-4.6,pc=11,hd=24,dp=15,OL=115,OR=67,hi=0.02
HB:t=1626,m=S,run=1,el=140,er=109,yaw=-0.2,yr=6.2,pc=1,hd=-18,dp=-20,OL=63,OR=99,hi=0.02
HB:t=1838,m=S,run=1,el=192,er=217,yaw=0.7,yr=-0.9,pc=6,hd=-1,dp=3,OL=85,OR=87,hi=0.01
HB:t=1838,m=S,run=1,el=192,er=217,yaw=0.7,yr=-0.9,pc=6,hd=-1,dp=3,OL=85,OR=87,hi=0.01
HB:t=2059,m=S,run=1,el=204,er=221,yaw=-0.9,yr=-3.2,pc=10,hd=16,dp=10,OL=106,OR=74,hi=0.02
HB:t=2059,m=S,run=1,el=204,er=221,yaw=-0.9,yr=-3.2,pc=10,hd=16,dp=10,OL=106,OR=74,hi=0.02
HB:t=2281,m=S,run=1,el=212,er=197,yaw=-0.8,yr=1.1,pc=13,hd=1,dp=-3,OL=94,OR=92,hi=0.02
HB:t=2281,m=S,run=1,el=212,er=197,yaw=-0.8,yr=1.1,pc=13,hd=1,dp=-3,OL=94,OR=92,hi=0.02
HB:t=2502,m=S,run=1,el=216,er=207,yaw=-0.1,yr=1.3,pc=15,hd=-4,dp=-4,OL=91,OR=99,hi=0.02
HB:t=2502,m=S,run=1,el=216,er=207,yaw=-0.1,yr=1.3,pc=15,hd=-4,dp=-4,OL=91,OR=99,hi=0.02
HB:t=2633,m=S,run=1,el=138,er=138,yaw=0.0,yr=1.4,pc=16,hd=-5,dp=-4,OL=91,OR=101,hi=0.02
HB:t=2633,m=S,run=1,el=138,er=138,yaw=0.0,yr=1.4,pc=16,hd=-5,dp=-4,OL=91,OR=101,hi=0.02
HB:t=2766,m=S,run=1,el=133,er=134,yaw=-0.0,yr=-0.7,pc=1,hd=3,dp=2,OL=84,OR=78,hi=0.02
HB:t=2766,m=S,run=1,el=133,er=134,yaw=-0.0,yr=-0.7,pc=1,hd=3,dp=2,OL=84,OR=78,hi=0.02
HB:t=2978,m=S,run=1,el=215,er=210,yaw=0.1,yr=0.4,pc=7,hd=-2,dp=-1,OL=85,OR=89,hi=0.02
HB:t=2979,m=S,run=1,el=215,er=210,yaw=0.1,yr=0.4,pc=7,hd=-2,dp=-1,OL=85,OR=89,hi=0.02
HB:t=3199,m=S,run=1,el=200,er=209,yaw=-0.2,yr=-1.8,pc=11,hd=7,dp=6,OL=98,OR=84,hi=0.02
HB:t=3200,m=S,run=1,el=200,er=209,yaw=-0.2,yr=-1.8,pc=11,hd=7,dp=6,OL=98,OR=84,hi=0.02
HB:t=3421,m=S,run=1,el=205,er=202,yaw=-0.3,yr=-0.1,pc=14,hd=2,dp=0,OL=96,OR=92,hi=0.02
HB:t=3421,m=S,run=1,el=205,er=202,yaw=-0.3,yr=-0.1,pc=14,hd=2,dp=0,OL=96,OR=92,hi=0.02
HB:t=3641,m=S,run=1,el=172,er=184,yaw=-0.8,yr=-1.3,pc=16,hd=9,dp=4,OL=105,OR=87,hi=0.03
HB:t=3642,m=S,run=1,el=172,er=184,yaw=-0.8,yr=-1.3,pc=16,hd=9,dp=4,OL=105,OR=87,hi=0.03
HB:t=3862,m=S,run=1,el=199,er=193,yaw=-0.8,yr=-1.0,pc=17,hd=8,dp=3,OL=105,OR=89,hi=0.03
HB:t=3863,m=S,run=1,el=199,er=193,yaw=-0.8,yr=-1.0,pc=17,hd=8,dp=3,OL=105,OR=89,hi=0.03
HB:t=3993,m=S,run=1,el=114,er=116,yaw=-0.8,yr=-0.9,pc=18,hd=8,dp=3,OL=106,OR=90,hi=0.03
HB:t=3994,m=S,run=1,el=114,er=116,yaw=-0.8,yr=-0.9,pc=18,hd=8,dp=3,OL=106,OR=90,hi=0.03
HB:t=4125,m=S,run=1,el=102,er=104,yaw=-0.8,yr=-0.8,pc=2,hd=8,dp=3,OL=90,OR=74,hi=0.03
HB:t=4337,m=S,run=1,el=171,er=165,yaw=-0.7,yr=-0.3,pc=8,hd=5,dp=1,OL=93,OR=83,hi=0.04
HB:t=4338,m=S,run=1,el=0,er=0,yaw=-0.7,yr=-0.3,pc=12,hd=5,dp=1,OL=97,OR=87,hi=0.04
HB:t=4559,m=S,run=1,el=170,er=177,yaw=-0.9,yr=-1.3,pc=14,hd=10,dp=4,OL=104,OR=84,hi=0.04
HB:t=4559,m=S,run=1,el=170,er=177,yaw=-0.9,yr=-1.3,pc=14,hd=10,dp=4,OL=104,OR=84,hi=0.04
HB:t=4780,m=S,run=1,el=156,er=161,yaw=-1.4,yr=-0.5,pc=16,hd=10,dp=2,OL=106,OR=86,hi=0.05
HB:t=4781,m=S,run=1,el=156,er=161,yaw=-1.4,yr=-0.5,pc=16,hd=10,dp=2,OL=106,OR=86,hi=0.05
HB:t=4912,m=S,run=1,el=95,er=93,yaw=-1.4,yr=-1.2,pc=18,hd=12,dp=4,OL=110,OR=86,hi=0.05
HB:t=4912,m=S,run=1,el=95,er=93,yaw=-1.4,yr=-1.2,pc=18,hd=12,dp=4,OL=110,OR=86,hi=0.05
HB:t=5045,m=S,run=1,el=106,er=97,yaw=-1.3,yr=0.7,pc=2,hd=6,dp=-2,OL=88,OR=76,hi=0.05
HB:t=5045,m=S,run=1,el=106,er=97,yaw=-1.3,yr=0.7,pc=2,hd=6,dp=-2,OL=88,OR=76,hi=0.05
HB:t=5167,m=S,run=1,el=101,er=101,yaw=-1.2,yr=1.9,pc=8,hd=1,dp=-6,OL=89,OR=87,hi=0.06
HB:t=5172,m=S,run=1,el=0,er=1,yaw=-1.2,yr=1.9,pc=12,hd=1,dp=-6,OL=93,OR=91,hi=0.06
HB:t=5301,m=S,run=1,el=103,er=111,yaw=-1.4,yr=-2.1,pc=6,hd=15,dp=7,OL=101,OR=71,hi=0.06
HB:t=5513,m=S,run=1,el=184,er=166,yaw=-0.9,yr=2.0,pc=10,hd=-1,dp=-6,OL=89,OR=91,hi=0.06
HB:t=5513,m=S,run=1,el=184,er=166,yaw=-0.9,yr=2.0,pc=10,hd=-1,dp=-6,OL=89,OR=91,hi=0.06
HB:t=5726,m=S,run=1,el=173,er=188,yaw=-1.3,yr=-0.6,pc=13,hd=10,dp=2,OL=103,OR=83,hi=0.07
HB:t=5726,m=S,run=1,el=173,er=188,yaw=-1.3,yr=-0.6,pc=13,hd=10,dp=2,OL=103,OR=83,hi=0.07
HB:t=5848,m=S,run=1,el=110,er=95,yaw=-1.5,yr=-0.9,pc=15,hd=12,dp=3,OL=107,OR=83,hi=0.08
HB:t=5853,m=S,run=1,el=110,er=95,yaw=-1.5,yr=-0.9,pc=15,hd=12,dp=3,OL=107,OR=83,hi=0.08
HB:t=5982,m=S,run=1,el=177,er=128,yaw=-2.3,yr=5.1,pc=6,hd=-3,dp=-16,OL=83,OR=89,hi=0.08
HB:t=6193,m=S,run=1,el=244,er=234,yaw=-1.6,yr=3.7,pc=10,hd=-2,dp=-12,OL=88,OR=92,hi=0.08
HB:t=6193,m=S,run=1,el=244,er=234,yaw=-1.6,yr=3.7,pc=10,hd=-2,dp=-12,OL=88,OR=92,hi=0.08
HB:t=6406,m=S,run=1,el=245,er=247,yaw=-2.3,yr=-9.5,pc=12,hd=37,dp=30,OL=129,OR=55,hi=0.08
HB:t=6406,m=S,run=1,el=245,er=247,yaw=-2.3,yr=-9.5,pc=12,hd=37,dp=30,OL=129,OR=55,hi=0.08
HB:t=6618,m=S,run=1,el=357,er=148,yaw=-5.3,yr=-8.4,pc=14,hd=38,dp=27,OL=132,OR=56,hi=0.09
HB:t=6619,m=S,run=1,el=357,er=148,yaw=-5.3,yr=-8.4,pc=14,hd=38,dp=27,OL=132,OR=56,hi=0.09
HB:t=6840,m=S,run=1,el=313,er=126,yaw=-5.5,yr=-2.1,pc=16,hd=38,dp=7,OL=134,OR=58,hi=0.10
HB:t=6840,m=S,run=1,el=313,er=126,yaw=-5.5,yr=-2.1,pc=16,hd=38,dp=7,OL=134,OR=58,hi=0.10
HB:t=6971,m=S,run=1,el=153,er=99,yaw=-5.2,yr=3.4,pc=17,hd=21,dp=-11,OL=118,OR=76,hi=0.10
HB:t=6972,m=S,run=1,el=153,er=99,yaw=-5.2,yr=3.4,pc=17,hd=21,dp=-11,OL=118,OR=76,hi=0.10
HB:t=7104,m=S,run=1,el=153,er=107,yaw=-1.6,yr=15.5,pc=1,hd=-32,dp=-49,OL=49,OR=113,hi=0.10
HB:t=7316,m=S,run=1,el=185,er=222,yaw=1.6,yr=-0.8,pc=8,hd=-7,dp=3,OL=81,OR=95,hi=0.10
HB:t=7316,m=S,run=1,el=185,er=222,yaw=1.6,yr=-0.8,pc=8,hd=-7,dp=3,OL=81,OR=95,hi=0.10
HB:t=7538,m=S,run=1,el=194,er=235,yaw=-2.0,yr=-6.4,pc=12,hd=33,dp=20,OL=125,OR=59,hi=0.10
HB:t=7538,m=S,run=1,el=194,er=235,yaw=-2.0,yr=-6.4,pc=12,hd=33,dp=20,OL=125,OR=59,hi=0.10
HB:t=7759,m=S,run=1,el=242,er=192,yaw=-1.7,yr=5.4,pc=16,hd=-7,dp=-17,OL=89,OR=103,hi=0.11
HB:t=7759,m=S,run=1,el=242,er=192,yaw=-1.7,yr=5.4,pc=16,hd=-7,dp=-17,OL=89,OR=103,hi=0.11
HB:t=7980,m=S,run=1,el=243,er=235,yaw=0.5,yr=3.4,pc=18,hd=-14,dp=-11,OL=84,OR=112,hi=0.10
HB:t=7980,m=S,run=1,el=243,er=235,yaw=0.5,yr=3.4,pc=18,hd=-14,dp=-11,OL=84,OR=112,hi=0.10
HB:t=8111,m=S,run=1,el=145,er=151,yaw=0.5,yr=2.5,pc=20,hd=-11,dp=-8,OL=89,OR=111,hi=0.10
HB:t=8112,m=S,run=1,el=145,er=151,yaw=0.5,yr=2.5,pc=20,hd=-11,dp=-8,OL=89,OR=111,hi=0.10
HB:t=8243,m=S,run=1,el=134,er=140,yaw=0.2,yr=-0.0,pc=1,hd=-1,dp=0,OL=80,OR=82,hi=0.10
HB:t=8455,m=S,run=1,el=216,er=220,yaw=-0.3,yr=-1.2,pc=8,hd=6,dp=4,OL=94,OR=82,hi=0.10
HB:t=8455,m=S,run=1,el=216,er=220,yaw=-0.3,yr=-1.2,pc=8,hd=6,dp=4,OL=94,OR=82,hi=0.10
HB:t=8676,m=S,run=1,el=213,er=212,yaw=-0.4,yr=-0.7,pc=13,hd=5,dp=2,OL=98,OR=88,hi=0.10
HB:t=8677,m=S,run=1,el=213,er=212,yaw=-0.4,yr=-0.7,pc=13,hd=5,dp=2,OL=98,OR=88,hi=0.10
HB:t=8898,m=S,run=1,el=226,er=221,yaw=-0.3,yr=-0.0,pc=17,hd=2,dp=0,OL=99,OR=95,hi=0.11
HB:t=8898,m=S,run=1,el=226,er=221,yaw=-0.3,yr=-0.0,pc=17,hd=2,dp=0,OL=99,OR=95,hi=0.11
HB:t=9119,m=S,run=1,el=243,er=246,yaw=-0.3,yr=-0.0,pc=19,hd=2,dp=0,OL=101,OR=97,hi=0.11
HB:t=9120,m=S,run=1,el=243,er=246,yaw=-0.3,yr=-0.0,pc=19,hd=2,dp=0,OL=101,OR=97,hi=0.11
HB:t=9251,m=S,run=1,el=150,er=146,yaw=-0.2,yr=0.2,pc=21,hd=1,dp=-1,OL=102,OR=100,hi=0.11
HB:t=9251,m=S,run=1,el=150,er=146,yaw=-0.2,yr=0.2,pc=21,hd=1,dp=-1,OL=102,OR=100,hi=0.11
HB:t=9383,m=S,run=1,el=99,er=129,yaw=-1.4,yr=-10.0,pc=4,hd=34,dp=32,OL=118,OR=50,hi=0.11
HB:t=9384,m=S,run=1,el=99,er=129,yaw=-1.4,yr=-10.0,pc=4,hd=34,dp=32,OL=118,OR=50,hi=0.11
HB:t=9596,m=S,run=1,el=264,er=171,yaw=0.7,yr=13.1,pc=10,hd=-36,dp=-42,OL=54,OR=126,hi=0.11
HB:t=9596,m=S,run=1,el=264,e
r=171,yaw=0.7,yr=13.1,pc=10,hd=-36,dp=-42,OL=54,OR=126,hi=0.11
HB:t=9817,m=S,run=1,el=187,er=240,yaw=1.9,yr=-4.6,pc=15,hd=3,dp=15,OL=98,OR=92,hi=0.10
HB:t=9818,m=S,run=1,el=0,er=1,yaw=1.9,yr=-4.6,pc=18,hd=3,dp=15,OL=101,OR=95,hi=0.10
HB:t=10039,m=S,run=1,el=219,er=258,yaw=-1.6,yr=-7.4,pc=19,hd=33,dp=24,OL=132,OR=66,hi=0.10
HB:t=10039,m=S,run=1,el=219,
er=258,yaw=-1.6,yr=-7.4,pc=19,hd=33,dp=24,OL=132,OR=66,hi=0.10
HB:t=10170,m=S,run=1,el=159,er=134,yaw=-2.0,yr=-8.5,pc=21,hd=40,dp=27,OL=141,OR=61,hi=0.11
HB:t=10171,m=S,run=1,el=159,
er=134,yaw=-2.0,yr=-8.5,pc=21,hd=40,dp=27,OL=141,OR=61,hi=0.11
HB:t=10303,m=S,run=1,el=162,er=105,yaw=0.9,yr=12.0,pc=1,hd=-32,dp=-38,OL=49,OR=113,hi=0.11
HB:t=10514,m=S,run=1,el=186,er=227,yaw=2.3,yr=-5.7,pc=8,hd=5,dp=18,OL=93,OR=83,hi=0.10
HB:t=10515,m=S,run=1,el=186,er=227,yaw=2.3,yr=-5.7,pc=8,hd=5,dp=18,OL=93,OR=83,hi=0.10
HB:t=10736,m=S,run=1,el=191,er=219,yaw=-1.0,yr=-7.3,pc=13,hd=29,dp=23,OL=122,OR=64,hi=0.11
HB:t=10736,m=S,run=1,el=191,
er=219,yaw=-1.0,yr=-7.3,pc=13,hd=29,dp=23,OL=122,OR=64,hi=0.11
HB:t=10957,m=S,run=1,el=237,er=197,yaw=-0.6,yr=3.7,pc=16,hd=-8,dp=-12,OL=88,OR=104,hi=0.11
HB:t=10958,m=S,run=1,el=1,er=0,yaw=-0.6,yr=3.7,pc=20,hd=-8,dp=-12,OL=92,OR=108,hi=0.11
HB:t=11178,m=S,run=1,el=247,er=246,yaw=1.1,yr=2.2,pc=20,hd=-13,dp=-7,OL=87,OR=113,hi=0.11
HB:t=11179,m=S,run=1,el=247,er=246,yaw=1.1,yr=2.2,pc=20,hd=-13,dp=-7,OL=87,OR=113,hi=0.11
HB:t=11399,m=S,run=1,el=250,er=269,yaw=0.6,yr=-1.2,pc=21,hd=0,dp=4,OL=101,OR=101,hi=0.11
HB:t=11399,m=S,run=1,el=250,er=269,yaw=0.6,yr=-1.2,pc=21,hd=0,dp=4,OL=101,OR=101,hi=0.11
HB:t=11530,m=S,run=1,el=152,er=158,yaw=0.4,yr=-4.5,pc=22,hd=12,dp=14,OL=114,OR=90,hi=0.10
HB:t=11531,m=S,run=1,el=152,er=158,yaw=0.4,yr=-4.5,pc=22,hd=12,dp=14,OL=114,OR=90,hi=0.10
HB:t=11662,m=S,run=1,el=137,er=135,yaw=-0.8,yr=-3.5,pc=1,hd=16,dp=11,OL=97,OR=65,hi=0.10
HB:t=11874,m=S,run=1,el=222,er=202,yaw=-0.3,yr=1.1,pc=8,hd=-1,dp=-3,OL=87,OR=89,hi=0.11
HB:t=11874,m=S,run=1,el=222,er=202,yaw=-0.3,yr=1.1,pc=8,hd=-1,dp=-3,OL=87,OR=89,hi=0.11
HB:t=12096,m=S,run=1,el=210,er=209,yaw=0.7,yr=1.4,pc=13,hd=-8,dp=-4,OL=85,OR=101,hi=0.10
HB:t=12096,m=S,run=1,el=210,er=209,yaw=0.7,yr=1.4,pc=13,hd=-8,dp=-4,OL=85,OR=101,hi=0.10
HB:t=12317,m=S,run=1,el=224,er=230,yaw=0.6,yr=0.5,pc=16,hd=-5,dp=-1,OL=91,OR=101,hi=0.10
HB:t=12317,m=S,run=1,el=224,er=230,yaw=0.6,yr=0.5,pc=16,hd=-5,dp=-1,OL=91,OR=101,hi=0.10
HB:t=12538,m=S,run=1,el=238,er=238,yaw=0.5,yr=-0.1,pc=19,hd=-3,dp=0,OL=96,OR=102,hi=0.10
HB:t=12538,m=S,run=1,el=238,er=238,yaw=0.5,yr=-0.1,pc=19,hd=-3,dp=0,OL=96,OR=102,hi=0.10
HB:t=12669,m=S,run=1,el=140,er=145,yaw=0.5,yr=-1.2,pc=21,hd=1,dp=4,OL=102,OR=100,hi=0.10
HB:t=12670,m=S,run=1,el=140,er=145,yaw=0.5,yr=-1.2,pc=21,hd=1,dp=4,OL=102,OR=100,hi=0.10
HB:t=12802,m=S,run=1,el=129,er=130,yaw=-0.1,yr=-1.1,pc=1,hd=4,dp=3,OL=85,OR=77,hi=0.10
HB:t=13014,m=S,run=1,el=214,er=211,yaw=-0.2,yr=-0.5,pc=8,hd=3,dp=2,OL=91,OR=85,hi=0.10
HB:t=13014,m=S,run=1,el=214,er=211,yaw=-0.2,yr=-0.5,pc=8,hd=3,dp=2,OL=91,OR=85,hi=0.10
HB:t=13236,m=S,run=1,el=208,er=211,yaw=-0.1,yr=0.0,pc=13,hd=1,dp=0,OL=94,OR=92,hi=0.10
HB:t=13236,m=S,run=1,el=208,er=211,yaw=-0.1,yr=0.0,pc=13,hd=1,dp=0,OL=94,OR=92,hi=0.10
HB:t=13457,m=S,run=1,el=226,er=228,yaw=-0.2,yr=0.0,pc=16,hd=1,dp=0,OL=97,OR=95,hi=0.10
HB:t=13457,m=S,run=1,el=226,er=228,yaw=-0.2,yr=0.0,pc=16,hd=1,dp=0,OL=97,OR=95,hi=0.10
HB:t=13678,m=S,run=1,el=238,er=232,yaw=-0.1,yr=0.1,pc=18,hd=0,dp=0,OL=98,OR=98,hi=0.10
HB:t=13678,m=S,run=1,el=1,er=1,yaw=-0.1,yr=0.1,pc=21,hd=0,dp=0,OL=101,OR=101,hi=0.10
HB:t=13809,m=S,run=1,el=142,er=145,yaw=-0.1,yr=-0.6,pc=21,hd=3,dp=2,OL=104,OR=98,hi=0.10
HB:t=13809,m=S,run=1,el=142,er=145,yaw=-0.1,yr=-0.6,pc=21,hd=3,dp=2,OL=104,OR=98,hi=0.10
HB:t=13941,m=S,run=1,el=133,er=133,yaw=-0.3,yr=0.4,pc=1,hd=1,dp=-1,OL=82,OR=80,hi=0.10
HB:t=13942,m=S,run=1,el=133,er=133,yaw=-0.3,yr=0.4,pc=1,hd=1,dp=-1,OL=82,OR=80,hi=0.10
HB:t=14063,m=S,run=1,el=132,er=128,yaw=-0.3,yr=0.8,pc=8,hd=-1,dp=-3,OL=87,OR=89,hi=0.10
HB:t=14068,m=S,run=1,el=4,er=4,yaw=-0.3,yr=0.8,pc=14,hd=-1,dp=-3,OL=93,OR=95,hi=0.10
HB:t=14197,m=S,run=1,el=122,er=123,yaw=-0.0,yr=0.4,pc=2,hd=-1,dp=-1,OL=81,OR=83,hi=0.10
HB:t=14319,m=S,run=1,el=121,er=124,yaw=-0.0,yr=-0.1,pc=9,hd=1,dp=0,OL=90,OR=88,hi=0.10
HB:t=14323,m=S,run=1,el=121,er=124,yaw=-0.0,yr=-0.1,pc=9,hd=1,dp=0,OL=90,OR=88,hi=0.10
HB:t=14443,m=S,run=1,el=110,er=107,yaw=-0.0,yr=0.4,pc=1,hd=-1,dp=-1,OL=80,OR=82,hi=0.10
HB:t=14655,m=S,run=1,el=202,er=197,yaw=0.1,yr=0.6,pc=8,hd=-2,dp=-2,OL=86,OR=90,hi=0.10
HB:t=14655,m=S,run=1,el=202,er=197,yaw=0.1,yr=0.6,pc=8,hd=-2,dp=-2,OL=86,OR=90,hi=0.10
