HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,dp=0,OL=0,OR=0,hi=0.00
HB:t=221,m=S,run=1,el=0,er=0,yaw=-0.0,yr=0.0,pc=9,hd=0,dp=0,OL=89,OR=89,hi=0.00
HB:t=222,m=S,run=1,el=0,er=0,yaw=-0.0,yr=0.0,pc=9,hd=0,dp=0,OL=89,OR=89,hi=0.00
HB:t=442,m=S,run=1,el=105,er=125,yaw=-0.3,yr=-1.7,pc=16,hd=8,dp=6,OL=104,OR=88,hi=0.00
HB:t=443,m=S,run=1,el=0,er=1,yaw=-0.3,yr=-1.7,pc=16,hd=8,dp=6,OL=104,OR=88,hi=0.00
HB:t=663,m=S,run=1,el=201,er=214,yaw=-1.3,yr=-3.7,pc=14,hd=20,dp=12,OL=114,OR=74,hi=0.01
HB:t=664,m=S,run=1,el=201,er=214,yaw=-1.3,yr=-3.7,pc=14,hd=20,dp=12,OL=114,OR=74,hi=0.01
HB:t=884,m=S,run=1,el=244,er=213,yaw=-1.0,yr=3.1,pc=14,hd=-4,dp=-10,OL=90,OR=98,hi=0.01
HB:t=884,m=S,run=1,el=244,er=213,yaw=-1.0,yr=3.1,pc=14,hd=-4,dp=-10,OL=90,OR=98,hi=0.01
HB:t=1015,m=S,run=1,el=140,er=138,yaw=-0.5,yr=7.6,pc=14,hd=-21,dp=-24,OL=73,OR=115,hi=0.01
HB:t=1016,m=S,run=1,el=140,e
r=138,yaw=-0.5,yr=7.6,pc=14,hd=-21,dp=-24,OL=73,OR=115,hi=0.01
HB:t=1147,m=S,run=1,el=105,er=126,yaw=-0.3,yr=-2.6,pc=1,hd=10,dp=8,OL=91,OR=71,hi=0.01
HB:t=1359,m=S,run=1,el=187,er=193,yaw=-1.8,yr=-2.0,pc=7,hd=17,dp=6,OL=104,OR=70,hi=0.01
HB:t=1360,m=S,run=1,el=187,er=193,yaw=-1.8,yr=-2.0,pc=7,hd=17,dp=6,OL=104,OR=70,hi=0.01
HB:t=1581,m=S,run=1,el=213,er=187,yaw=-0.8,yr=3.4,pc=11,hd=-6,dp=-11,OL=85,OR=97,hi=0.02
HB:t=1582,m=S,run=1,el=213,er=187,yaw=-0.8,yr=3.4,pc=11,hd=-6,dp=-11,OL=85,OR=97,hi=0.02
HB:t=1802,m=S,run=1,el=213,er=216,yaw=0.1,yr=2.7,pc=13,hd=-9,dp=-9,OL=84,OR=102,hi=0.02
HB:t=1803,m=S,run=1,el=1,er=0,yaw=0.1,yr=2.7,pc=16,hd=-9,dp=-9,OL=87,OR=105,hi=0.02
HB:t=2023,m=S,run=1,el=227,er=227,yaw=0.2,yr=1.4,pc=16,hd=-5,dp=-4,OL=91,OR=101,hi=0.02
HB:t=2023,m=S,run=1,el=227,er=227,yaw=0.2,yr=1.4,pc=16,hd=-5,dp=-4,OL=91,OR=101,hi=0.02
HB:t=2244,m=S,run=1,el=223,er=227,yaw=0.1,yr=-0.5,pc=17,hd=1,dp=2,OL=98,OR=96,hi=0.02
HB:t=2244,m=S,run=1,el=223,er=227,yaw=0.1,yr=-0.5,pc=17,hd=1,dp=2,OL=98,OR=96,hi=0.02
HB:t=2375,m=S,run=1,el=134,er=139,yaw=-0.1,yr=-2.3,pc=18,hd=8,dp=7,OL=106,OR=90,hi=0.02
HB:t=2375,m=S,run=1,el=134,er=139,yaw=-0.1,yr=-2.3,pc=18,hd=8,dp=7,OL=106,OR=90,hi=0.02
HB:t=2506,m=S,run=1,el=125,er=121,yaw=-0.6,yr=-0.1,pc=1,hd=4,dp=0,OL=85,OR=77,hi=0.02
HB:t=2628,m=S,run=1,el=122,er=119,yaw=-0.6,yr=0.5,pc=8,hd=2,dp=-2,OL=90,OR=86,hi=0.02
HB:t=2633,m=S,run=1,el=4,er=4,yaw=-0.6,yr=0.5,pc=13,hd=2,dp=-2,OL=95,OR=91,hi=0.02
HB:t=2762,m=S,run=1,el=117,er=116,yaw=-0.1,yr=1.2,pc=1,hd=-3,dp=-4,OL=78,OR=84,hi=0.02
HB:t=2884,m=S,run=1,el=116,er=118,yaw=-0.1,yr=1.7,pc=8,hd=-5,dp=-5,OL=83,OR=93,hi=0.02
HB:t=2888,m=S,run=1,el=116,er=118,yaw=-0.1,yr=1.7,pc=8,hd=-5,dp=-5,OL=83,OR=93,hi=0.02
HB:t=3008,m=S,run=1,el=101,er=101,yaw=-0.2,yr=0.8,pc=1,hd=-2,dp=-3,OL=79,OR=83,hi=0.02
HB:t=3220,m=S,run=1,el=189,er=187,yaw=-0.1,yr=1.0,pc=7,hd=-2,dp=-3,OL=85,OR=89,hi=0.02
HB:t=3220,m=S,run=1,el=189,er=187,yaw=-0.1,yr=1.0,pc=7,hd=-2,dp=-3,OL=85,OR=89,hi=0.02
HB:t=3442,m=S,run=1,el=184,er=192,yaw=-0.5,yr=-1.9,pc=12,hd=9,dp=6,OL=101,OR=83,hi=0.02
HB:t=3442,m=S,run=1,el=184,er=192,yaw=-0.5,yr=-1.9,pc=12,hd=9,dp=6,OL=101,OR=83,hi=0.02
HB:t=3662,m=S,run=1,el=211,er=209,yaw=-0.8,yr=0.5,pc=15,hd=3,dp=-2,OL=98,OR=92,hi=0.03
HB:t=3663,m=S,run=1,el=1,er=0,yaw=-0.8,yr=0.5,pc=18,hd=3,dp=-2,OL=101,OR=95,hi=0.03
HB:t=3794,m=S,run=1,el=138,er=137,yaw=-0.7,yr=1.8,pc=19,hd=-1,dp=-6,OL=98,OR=100,hi=0.03
HB:t=3794,m=S,run=1,el=138,er=137,yaw=-0.7,yr=1.8,pc=19,hd=-1,dp=-6,OL=98,OR=100,hi=0.03
HB:t=3926,m=S,run=1,el=127,er=125,yaw=-0.3,yr=1.5,pc=1,hd=-3,dp=-5,OL=78,OR=84,hi=0.03
HB:t=3927,m=S,run=1,el=127,er=125,yaw=-0.3,yr=1.5,pc=1,hd=-3,dp=-5,OL=78,OR=84,hi=0.03
HB:t=4139,m=S,run=1,el=209,er=211,yaw=-0.4,yr=0.9,pc=8,hd=-1,dp=-3,OL=87,OR=89,hi=0.03
HB:t=4139,m=S,run=1,el=209,er=211,yaw=-0.4,yr=0.9,pc=8,hd=-1,dp=-3,OL=87,OR=89,hi=0.03
HB:t=4360,m=S,run=1,el=206,er=202,yaw=-0.3,yr=0.4,pc=12,hd=0,dp=-1,OL=92,OR=92,hi=0.03
HB:t=4361,m=S,run=1,el=206,er=202,yaw=-0.3,yr=0.4,pc=12,hd=0,dp=-1,OL=92,OR=92,hi=0.03
HB:t=4582,m=S,run=1,el=212,er=212,yaw=-0.3,yr=0.0,pc=15,hd=2,dp=0,OL=97,OR=93,hi=0.03
HB:t=4582,m=S,run=1,el=212,er=212,yaw=-0.3,yr=0.0,pc=15,hd=2,dp=0,OL=97,OR=93,hi=0.03
HB:t=4713,m=S,run=1,el=136,er=137,yaw=-0.4,yr=-0.7,pc=18,hd=4,dp=2,OL=102,OR=94,hi=0.04
HB:t=4714,m=S,run=1,el=136,er=137,yaw=-0.4,yr=-0.7,pc=18,hd=4,dp=2,OL=102,OR=94,hi=0.04
