t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,hi,sb,lp
219,S,1,0,0,0.0,0.0,102,0,0,102,102,-0.000,0,0.00
220,S,1,0,0,0.0,0.0,102,0,0,102,102,-0.000,0,0.00
432,S,1,140,142,0.0,0.7,99,-2,-2,97,101,-0.000,0,0.00
432,S,1,140,142,0.0,0.7,99,-2,-2,97,101,-0.000,0,0.00
653,S,1,230,230,0.1,0.1,96,-1,0,95,97,-0.000,0,0.00
654,S,1,230,230,0.1,0.1,96,-1,0,95,97,-0.000,0,0.00
875,S,1,235,236,-0.2,-0.5,93,3,2,96,90,0.000,0,0.00
875,S,1,235,236,-0.2,-0.5,93,3,2,96,90,0.000,0,0.00
1095,S,1,231,232,-0.3,0.1,91,1,0,92,90,0.000,0,0.00
1096,S,1,231,232,-0.3,0.1,91,1,0,92,90,0.000,0,0.00
1227,S,1,134,132,-0.2,0.8,92,-1,-3,91,93,0.010,0,0.00
1227,S,1,134,132,-0.2,0.8,92,-1,-3,91,93,0.010,0,0.00
1359,S,1,125,128,-0.2,0.1,45,1,0,81,79,0.010,0,0.00
1360,S,1,125,128,-0.2,0.1,45,1,0,81,79,0.010,0,0.00
1572,S,1,198,198,-0.2,-0.4,58,3,1,83,77,0.010,0,0.00
1572,S,1,198,198,-0.2,-0.4,58,3,1,83,77,0.010,0,0.00
1793,S,1,189,181,-0.1,-0.3,67,2,1,82,78,0.010,0,0.00
1794,S,1,189,181,-0.1,-0.3,67,2,1,82,78,0.010,0,0.00
2015,S,1,177,178,-0.0,0.3,73,-1,-1,79,81,0.010,0,0.00
2015,S,1,177,178,-0.0,0.3,73,-1,-1,79,81,0.010,0,0.00
2146,S,1,111,109,-0.0,-0.0,80,0,0,80,80,0.010,0,0.00
2147,S,1,0,0,-0.0,-0.0,86,0,0,86,86,0.010,0,0.00
2279,S,1,110,108,0.1,0.4,42,-2,-1,78,82,0.010,0,0.00
2490,S,1,181,182,0.2,0.3,56,-2,-1,78,82,0.010,0,0.00
2491,S,1,181,182,0.2,0.3,56,-2,-1,78,82,0.010,0,0.00
2712,S,1,187,188,0.2,0.1,65,-2,0,78,82,0.000,0,0.00
2712,S,1,187,188,0.2,0.1,65,-2,0,78,82,0.000,0,0.00
2933,S,1,189,182,0.3,0.5,72,-4,-2,76,84,0.000,0,0.00
2933,S,1,189,182,0.3,0.5,72,-4,-2,76,84,0.000,0,0.00
3154,S,1,180,185,0.2,0.1,77,-2,0,78,82,-0.000,0,0.00
3155,S,1,180,185,0.2,0.1,77,-2,0,78,82,-0.000,0,0.00
3286,S,1,103,105,0.2,-0.6,82,1,2,83,81,-0.000,0,0.00
3286,S,1,103,105,0.2,-0.6,82,1,2,83,81,-0.000,0,0.00
3418,S,1,106,106,-0.2,-0.6,43,4,2,84,76,-0.000,0,0.00
3419,S,1,106,106,-0.2,-0.6,43,4,2,84,76,-0.000,0,0.00
3631,S,1,183,183,-0.2,0.5,56,0,-1,80,80,-0.000,0,0.00
3631,S,1,183,183,-0.2,0.5,56,0,-1,80,80,-0.000,0,0.00
3852,S,1,187,185,0.0,0.3,65,-1,-1,79,81,-0.000,0,0.00
3853,S,1,187,185,0.0,0.3,65,-1,-1,79,81,-0.000,0,0.00
4074,S,1,191,191,0.0,0.3,71,-1,-1,79,81,-0.000,0,0.00
4075,S,1,191,191,0.0,0.3,71,-1,-1,79,81,-0.000,0,0.00
4294,S,1,185,185,-0.0,-0.1,76,0,0,80,80,-0.000,0,0.00
4295,S,1,185,185,-0.0,-0.1,76,0,0,80,80,-0.000,0,0.00
4426,S,1,102,101,-0.1,-0.5,81,2,1,83,79,-0.000,0,0.00
4426,S,1,102,101,-0.1,-0.5,81,2,1,83,79,-0.000,0,0.00
4558,S,1,104,103,-0.2,-0.4,44,3,1,83,77,-0.000,0,0.00
4559,S,1,104,103,-0.2,-0.4,44,3,1,83,77,-0.000,0,0.00
4680,S,1,106,108,-0.2,-0.0,58,1,0,81,79,0.000,0,0.00
4685,S,1,106,108,-0.2,-0.0,58,1,0,81,79,0.000,0,0.00
4814,S,1,100,103,-0.3,-0.2,1,2,1,82,78,0.000,0,0.00
5026,S,1,178,175,-0.3,-0.1,29,2,0,82,78,0.000,0,0.00
5026,S,1,178,175,-0.3,-0.1,29,2,0,82,78,0.000,0,0.00
5149,S,1,103,101,-0.2,0.3,50,1,-1,81,79,0.010,0,0.00
5153,S,1,103,101,-0.2,0.3,50,1,-1,81,79,0.010,0,0.00
5273,S,1,88,90,-0.1,0.4,4,-1,-1,79,81,0.010,0,0.00
5396,S,1,103,103,-0.1,-0.8,32,3,3,83,77,0.010,0,0.00
5400,S,1,0,1,-0.1,-0.8,55,3,3,83,77,0.010,0,0.00
5506,S,1,83,79,-0.2,0.9,42,-2,-3,78,82,0.010,0,0.00
5717,S,1,169,170,-0.3,0.4,57,0,-1,80,80,0.010,0,0.00
