t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,hi,sb,lp
0,S,1,0,0,0.0,0.0,0,0,0,0,0,0.000,0,0.00
122,S,1,0,0,0.0,0.0,102,0,0,102,102,0.000,0,0.00
127,S,1,0,0,0.0,0.0,102,0,0,102,102,0.000,0,0.00
255,S,1,67,58,0.3,3.8,55,-14,-12,66,94,-0.000,0,0.00
467,S,1,157,150,1.2,2.1,65,-14,-7,66,94,-0.010,0,0.00
468,S,1,157,150,1.2,2.1,65,-14,-7,66,94,-0.010,0,0.00
689,S,1,170,173,1.2,0.8,73,-10,-3,70,90,-0.010,0,0.00
689,S,1,170,173,1.2,0.8,73,-10,-3,70,90,-0.010,0,0.00
911,S,1,174,177,1.0,-0.2,78,-5,1,75,85,-0.010,0,0.00
911,S,1,174,177,1.0,-0.2,78,-5,1,75,85,-0.010,0,0.00
1132,S,1,175,177,0.8,-0.3,81,-4,1,77,85,-0.020,0,0.00
1133,S,1,175,177,0.8,-0.3,81,-4,1,77,85,-0.020,0,0.00
1264,S,1,106,112,0.7,-1.0,85,-1,3,84,86,-0.020,0,0.00
1264,S,1,106,112,0.7,-1.0,85,-1,3,84,86,-0.020,0,0.00
1396,S,1,107,112,0.2,-1.7,31,4,6,84,76,-0.020,0,0.00
1397,S,1,107,112,0.2,-1.7,31,4,6,84,76,-0.020,0,0.00
1519,S,1,108,109,0.2,-1.7,50,4,5,84,76,-0.020,0,0.00
1523,S,1,108,109,0.2,-1.7,50,4,5,84,76,-0.020,0,0.00
1652,S,1,95,96,-0.0,-0.7,1,2,2,82,78,-0.020,0,0.00
1774,S,1,92,96,-0.1,-0.4,30,2,1,82,78,-0.020,0,0.00
1778,S,1,1,1,-0.1,-0.4,53,2,1,82,78,-0.020,0,0.00
1898,S,1,88,91,-0.4,-0.4,33,3,1,83,77,-0.020,0,0.00
2110,S,1,173,174,-0.6,-0.8,51,6,3,86,74,-0.020,0,0.00
2110,S,1,173,174,-0.6,-0.8,51,6,3,86,74,-0.020,0,0.00
