t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
209,S,1,38,42,0.0,0.0,2,0,0,2,2,0,0.00
209,S,1,66,70,0.0,-1.0,2,0,0,2,2,0,0.00
398,S,1,86,88,-0.2,-1.5,3,1,1,4,2,0,0.00
398,S,1,70,70,-0.2,-0.5,4,0,0,4,4,0,0.00
527,S,1,99,98,-0.2,0.3,5,0,0,5,5,0,0.00
535,S,1,3,3,-0.2,0.5,6,0,0,6,6,0,0.00
646,S,1,91,88,-0.2,-0.0,7,0,0,7,7,0,0.00
834,S,1,90,92,-0.2,-0.3,8,0,0,8,8,0,0.00
835,S,1,72,73,-0.2,-0.5,9,0,0,9,9,0,0.00
963,S,1,108,110,-0.2,-0.7,9,0,0,9,9,0,0.00
972,S,1,8,7,-0.2,-0.8,10,0,0,10,10,0,0.00
1083,S,1,119,119,-0.6,-1.0,9,1,0,10,8,0,0.00
1271,S,1,128,117,-0.4,-1.1,8,1,0,9,7,0,0.00
1271,S,1,91,90,-0.4,0.2,8,0,0,8,8,0,0.00
1400,S,1,113,119,-0.4,1.2,9,0,0,9,9,0,0.00
1409,S,1,0,0,-0.4,1.5,11,0,-1,11,11,0,0.00
1514,S,1,124,123,-0.2,1.2,9,0,0,9,9,0,0.00
1698,S,1,125,125,-0.1,1.0,8,0,0,8,8,0,0.00
1698,S,1,80,80,-0.1,1.0,9,0,0,9,9,0,0.00
1835,S,1,126,124,-0.1,1.0,9,0,0,9,9,0,0.00
1840,S,1,18,18,-0.1,0.9,10,0,0,10,10,0,0.00
1954,S,1,123,125,-0.2,0.2,9,0,0,9,9,0,0.00
2138,S,1,121,122,-0.2,-0.1,8,0,0,8,8,0,0.00
2138,S,1,82,81,-0.2,0.3,8,0,0,8,8,0,0.00
2354,S,1,121,120,-0.1,0.7,9,0,0,9,9,0,0.00
2355,S,1,107,106,-0.1,0.5,9,0,0,9,9,0,0.00
2474,S,1,115,117,-0.1,0.4,8,0,0,8,8,0,0.00
2482,S,1,6,7,-0.1,0.4,10,0,0,10,10,0,0.00
2588,S,1,107,106,-0.1,0.3,9,0,0,9,9,0,0.00
2773,S,1,116,113,0.1,0.3,9,0,0,9,9,0,0.00
2773,S,1,83,81,0.1,0.7,9,0,0,9,9,0,0.00
2909,S,1,114,115,0.1,0.9,9,0,0,9,9,0,0.00
2914,S,1,1,1,0.1,0.1,11,0,0,11,11,0,0.00
3027,S,1,125,125,-0.1,-0.7,9,0,0,9,9,0,0.00
3146,S,1,125,123,-0.1,-1.0,8,1,0,9,7,0,0.00
3154,S,1,5,5,-0.1,-1.3,10,1,0,11,9,0,0.00
3252,S,1,105,102,0.1,1.4,9,-1,-1,8,10,0,0.00
3373,S,1,114,120,0.2,2.8,8,-1,-1,7,9,0,0.00
3378,S,1,16,17,0.2,2.8,9,-1,-1,8,10,0,0.00
3483,S,1,101,102,-0.1,1.0,9,0,0,9,9,0,0.00
3672,S,1,115,113,-0.1,0.1,9,0,0,9,9,0,0.00
3672,S,1,85,84,-0.1,0.2,9,0,0,9,9,0,0.00
3874,S,1,108,107,-0.0,0.3,9,0,0,9,9,0,0.00
3875,S,1,84,84,-0.0,-0.2,9,0,0,9,9,0,0.00
4074,S,1,113,112,-0.1,-0.6,9,0,0,9,9,0,0.00
4075,S,1,92,90,-0.1,-0.0,9,0,0,9,9,0,0.00
4274,S,1,111,112,0.1,0.4,9,0,0,9,9,0,0.00
4275,S,1,88,86,0.1,0.9,9,0,0,9,9,0,0.00
4474,S,1,108,106,0.3,1.2,9,0,0,9,9,0,0.00
4475,S,1,87,84,0.3,0.7,9,0,0,9,9,0,0.00
4674,S,1,107,106,0.5,0.3,9,0,0,9,9,0,0.00
4675,S,1,84,83,0.5,1.0,9,-1,0,8,10,0,0.00
4874,S,1,106,108,0.4,1.5,9,-1,-1,8,10,0,0.00
4875,S,1,81,82,0.4,-0.3,9,0,0,9,9,0,0.00
