t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
208,S,1,33,41,-0.0,0.0,2,0,0,2,2,0,0.00
209,S,1,59,60,-0.0,-0.3,3,0,0,3,3,0,0.00
398,S,1,78,75,-0.2,-0.4,3,0,0,3,3,0,0.00
398,S,1,67,66,-0.2,-0.7,4,0,0,4,4,0,0.00
600,S,1,98,96,-0.0,-0.8,5,0,0,5,5,0,0.00
601,S,1,74,74,-0.0,-0.8,6,0,0,6,6,0,0.00
800,S,1,98,100,-0.1,-0.7,8,0,0,8,8,0,0.00
801,S,1,74,75,-0.1,-0.5,9,0,0,9,9,0,0.00
1000,S,1,104,104,-0.1,-0.4,10,0,0,10,10,0,0.00
1001,S,1,84,83,-0.1,0.2,9,0,0,9,9,0,0.00
1200,S,1,116,113,0.1,0.5,9,0,0,9,9,0,0.00
1201,S,1,82,85,0.1,-0.4,9,0,0,9,9,0,0.00
1400,S,1,108,109,-0.1,-0.9,8,0,0,8,8,0,0.00
1401,S,1,80,79,-0.1,-1.1,9,0,0,9,9,0,0.00
1600,S,1,105,103,-0.2,-1.1,8,0,0,8,8,0,0.00
1601,S,1,82,82,-0.2,0.4,9,0,0,9,9,0,0.00
1726,S,1,111,110,-0.1,1.2,8,0,0,8,8,0,0.00
1735,S,1,4,5,-0.1,1.8,10,-1,-1,9,11,0,0.00
1840,S,1,103,110,-0.3,-1.5,10,1,1,11,9,0,0.00
1959,S,1,124,119,-0.3,-3.2,9,1,1,10,8,0,0.00
1967,S,1,1,2,-0.3,-4.5,11,2,2,13,9,0,0.00
2053,S,1,100,94,-0.2,-0.3,10,0,0,10,10,0,0.00
2252,S,1,126,129,-0.1,1.9,9,-1,-1,8,10,0,0.00
2252,S,1,97,103,-0.1,-0.9,8,0,0,8,8,0,0.00
2441,S,1,99,101,-0.6,-2.4,8,1,1,9,7,0,0.00
2441,S,1,73,73,-0.6,-1.6,9,1,1,10,8,0,0.00
2645,S,1,109,105,-0.3,-1.0,9,1,0,10,8,0,0.00
2645,S,1,97,90,-0.3,0.6,9,0,0,9,9,0,0.00
2771,S,1,114,115,-0.3,1.7,9,0,-1,9,9,0,0.00
2779,S,1,13,12,-0.3,1.9,9,0,-1,9,9,0,0.00
