t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
214,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
214,S,1,41,42,0.0,-0.6,2,0,0,2,2,0,0.00
402,S,1,70,70,0.1,-0.8,2,0,0,2,2,0,0.00
403,S,1,66,67,0.1,-0.5,3,0,0,3,3,0,0.00
605,S,1,95,93,0.2,-0.3,4,0,0,4,4,0,0.00
606,S,1,76,76,0.2,-0.9,5,0,0,5,5,0,0.00
805,S,1,98,96,0.3,-1.3,6,0,0,6,6,0,0.00
806,S,1,74,74,0.3,0.4,7,0,0,7,7,0,0.00
1005,S,1,93,97,0.2,1.6,9,-1,-1,8,10,0,0.00
1006,S,1,78,80,0.2,-0.1,10,0,0,10,10,0,0.00
1131,S,1,115,114,0.2,-1.4,9,0,0,9,9,0,0.00
1140,S,1,13,12,0.2,-1.6,10,0,1,10,10,0,0.00
1245,S,1,111,110,0.1,-0.6,9,0,0,9,9,0,0.00
1364,S,1,123,121,0.1,-0.1,9,0,0,9,9,0,0.00
1372,S,1,7,7,0.1,0.3,10,0,0,10,10,0,0.00
1478,S,1,114,113,0.3,0.0,9,0,0,9,9,0,0.00
1596,S,1,123,122,0.3,-0.2,8,0,0,8,8,0,0.00
1604,S,1,4,4,0.3,-0.3,10,0,0,10,10,0,0.00
1702,S,1,102,104,0.2,-0.6,10,0,0,10,10,0,0.00
1823,S,1,124,125,0.2,-0.7,9,0,0,9,9,0,0.00
1828,S,1,18,18,0.2,-0.7,9,0,0,9,9,0,0.00
1934,S,1,107,104,0.4,0.4,9,0,0,9,9,0,0.00
2122,S,1,119,119,0.3,0.9,8,-1,0,7,9,0,0.00
2123,S,1,85,88,0.3,0.2,9,0,0,9,9,0,0.00
2326,S,1,115,115,0.2,-0.4,9,0,0,9,9,0,0.00
2327,S,1,91,89,0.2,-0.2,9,0,0,9,9,0,0.00
2451,S,1,122,120,0.2,-0.0,9,0,0,9,9,0,0.00
2460,S,1,13,13,0.2,-0.0,9,0,0,9,9,0,0.00
2565,S,1,107,111,0.3,-0.7,9,0,0,9,9,0,0.00
2684,S,1,118,120,0.3,-1.1,8,0,0,8,8,0,0.00
2692,S,1,6,7,0.3,-1.4,10,0,0,10,10,0,0.00
2798,S,1,106,104,0.1,-1.0,9,0,0,9,9,0,0.00
2916,S,1,111,109,0.1,-0.9,9,0,0,9,9,0,0.00
2924,S,1,4,4,0.1,-0.7,10,0,0,10,10,0,0.00
3031,S,1,111,113,0.2,-0.7,9,0,0,9,9,0,0.00
3149,S,1,122,122,0.2,-0.8,9,0,0,9,9,0,0.00
3157,S,1,2,2,0.2,-0.8,11,0,0,11,11,0,0.00
3238,S,1,93,90,0.1,-0.9,10,0,0,10,10,0,0.00
3427,S,1,130,130,0.1,-1.0,9,0,0,9,9,0,0.00
3428,S,1,95,95,0.1,0.0,8,0,0,8,8,0,0.00
3639,S,1,126,128,0.0,0.8,9,0,0,9,9,0,0.00
3639,S,1,106,106,0.0,0.4,8,0,0,8,8,0,0.00
3758,S,1,102,103,0.0,0.2,8,0,0,8,8,0,0.00
3766,S,1,2,2,0.0,0.0,10,0,0,10,10,0,0.00
3872,S,1,100,102,-0.2,-0.0,10,0,0,10,10,0,0.00
3990,S,1,117,116,-0.2,-0.1,9,0,0,9,9,0,0.00
3999,S,1,14,13,-0.2,-0.1,9,0,0,9,9,0,0.00
4096,S,1,109,108,-0.2,-0.4,9,0,0,9,9,0,0.00
4218,S,1,118,120,-0.2,-0.6,8,0,0,8,8,0,0.00
4222,S,1,2,3,-0.2,-0.7,10,0,0,10,10,0,0.00
4323,S,1,101,103,-0.4,-1.5,10,1,0,11,9,0,0.00
4441,S,1,124,117,-0.4,-1.9,9,1,1,10,8,0,0.00
4450,S,1,14,13,-0.4,-2.1,9,1,1,10,8,0,0.00
4555,S,1,109,104,0.0,-0.5,9,0,0,9,9,0,0.00
4740,S,1,116,120,-0.0,0.4,8,0,0,8,8,0,0.00
4740,S,1,75,79,-0.0,-0.3,9,0,0,9,9,0,0.00
4876,S,1,113,114,-0.1,-0.9,9,0,0,9,9,0,0.00
4881,S,1,5,4,-0.1,-1.0,10,0,0,10,10,0,0.00
4994,S,1,116,113,-0.1,-0.4,9,0,0,9,9,0,0.00
5179,S,1,118,120,-0.1,-0.2,8,0,0,8,8,0,0.00
