t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
11,S,1,0,0,0.0,0.0,4,0,4,4,0,0.00
147,S,1,2,12,0.0,0.0,1,0,1,1,0,0.00
187,S,1,1,1,-0.0,-0.0,5,0,5,5,0,0.00
203,S,1,0,0,-0.0,-0.1,6,0,6,6,0,0.00
333,S,1,10,10,-0.0,0.0,0,0,0,0,0,0.00
380,S,1,0,1,-0.0,0.1,6,0,6,6,0,0.00
393,S,1,2,2,0.0,0.5,6,0,6,6,0,0.00
413,S,1,1,1,0.0,-0.1,7,0,7,7,0,0.00
531,S,1,21,20,0.0,0.0,-3,0,-3,-3,0,0.00
578,S,1,1,0,0.2,1.7,8,0,8,8,0,0.00
593,S,1,4,3,0.2,5.2,6,0,6,6,0,0.00
613,S,1,3,4,0.2,2.6,6,0,6,6,0,0.00
731,S,1,23,22,0.3,2.0,-3,0,-3,-3,0,0.00
778,S,1,1,-1,0.5,3.3,10,0,10,10,0,0.00
793,S,1,5,4,0.5,4.2,7,0,7,7,0,0.00
813,S,1,2,2,0.5,2.3,9,0,9,9,0,0.00
931,S,1,43,40,0.6,1.7,-13,0,-13,-13,0,0.00
979,S,1,-2,-4,0.9,4.3,13,0,13,13,0,0.00
994,S,1,6,4,0.9,-0.4,8,0,8,8,0,0.00
1131,S,1,46,41,1.0,0.4,-13,0,-13,-13,0,0.00
1178,S,1,-1,-3,1.4,4.9,14,0,14,14,0,0.00
1194,S,1,7,6,1.4,0.8,9,0,9,9,0,0.00
1213,S,1,3,4,1.4,0.4,11,0,11,11,0,0.00
1332,S,1,62,55,1.5,0.6,-21,0,-21,-21,0,0.00
1374,S,1,-1,-3,1.9,5.6,15,-1,14,16,0,0.00
1397,S,1,6,6,2.0,5.0,10,0,10,10,0,0.00
1414,S,1,5,5,2.0,1.9,11,0,11,11,0,0.00
1532,S,1,65,59,2.1,1.3,-21,0,-21,-21,0,0.00
1579,S,1,-1,-1,2.6,6.8,16,-1,15,17,0,0.00
1592,S,1,7,7,2.8,6.0,11,0,11,11,0,0.00
1614,S,1,7,3,2.8,2.8,12,0,12,12,0,0.00
1732,S,1,72,59,2.8,1.7,-22,0,-22,-22,0,0.00
1779,S,1,0,-1,3.6,10.4,17,-2,15,19,0,0.00
1792,S,1,10,9,3.9,8.4,11,0,11,11,0,0.00
1813,S,1,8,5,4.0,5.3,13,0,13,13,0,0.00
1962,S,1,86,72,3.9,3.2,-29,0,-29,-29,0,0.00
1979,S,1,48,40,4.8,9.3,-8,-2,-10,-6,0,0.00
1991,S,1,-3,-3,5.2,9.4,19,-1,18,20,0,0.00
2013,S,1,10,10,5.4,6.9,11,-1,10,12,0,0.00
2132,S,1,87,80,5.6,5.2,-32,-1,-33,-31,0,0.00
2179,S,1,-10,-9,6.0,7.7,23,-2,21,25,0,0.00
2191,S,1,8,9,6.2,6.1,12,-1,11,13,0,0.00
2213,S,1,11,11,6.3,3.4,11,-1,10,12,0,0.00
2332,S,1,80,76,6.2,2.1,-28,-1,-29,-27,0,0.00
2379,S,1,-6,-5,6.5,3.4,21,-2,19,23,0,0.00
2391,S,1,9,9,6.6,3.0,12,-1,11,13,0,0.00
2413,S,1,8,9,6.6,0.4,12,-1,11,13,0,0.00
2532,S,1,81,80,6.6,0.3,-30,-1,-31,-29,0,0.00
2579,S,1,-4,-5,6.8,2.3,20,-1,19,21,0,0.00
2591,S,1,8,8,7.0,3.0,13,-1,12,14,0,0.00
2613,S,1,12,10,7.0,1.1,11,-1,10,12,0,0.00
