HB:t=12,m=S,run=1,el=0,er=0,yaw=0.3,yr=0.0,pc=50,hd=-1,OL=49,OR=51
HB:t=187,m=S,run=1,el=304,er=249,yaw=3.3,yr=10.5,pc=-60,hd=-2,OL=-60,OR=-58
HB:t=187,m=S,run=1,el=287,er=268,yaw=3.3,yr=6.8,pc=-48,hd=0,OL=-48,OR=-48
HB:t=220,m=S,run=1,el=31,er=23,yaw=7.0,yr=106.8,pc=-45,hd=-10,OL=-55,OR=-35
HB:t=337,m=S,run=1,el=-162,er=-29,yaw=8.6,yr=75.0,pc=60,hd=-2,OL=58,OR=60
HB:t=384,m=S,run=1,el=-17,er=12,yaw=9.9,yr=52.1,pc=-45,hd=-3,OL=-48,OR=-42
HB:t=396,m=S,run=1,el=-24,er=-21,yaw=8.0,yr=-5.1,pc=60,hd=-1,OL=59,OR=60
HB:t=531,m=S,run=1,el=-298,er=-222,yaw=5.6,yr=-39.7,pc=60,hd=0,OL=60,OR=60
HB:t=578,m=S,run=1,el=-37,er=-21,yaw=2.4,yr=-58.9,pc=-17,hd=3,OL=-14,OR=-20
HB:t=581,m=S,run=1,el=-7,er=-4,yaw=2.4,yr=-38.3,pc=-60,hd=0,OL=-60,OR=-60
HB:t=601,m=S,run=1,el=-37,er=-32,yaw=0.7,yr=-88.6,pc=60,hd=4,OL=60,OR=56
HB:t=730,m=S,run=1,el=-377,er=-312,yaw=-1.1,yr=-47.2,pc=60,hd=0,OL=60,OR=60
HB:t=778,m=S,run=1,el=-47,er=-35,yaw=2.4,yr=18.3,pc=-10,hd=-7,OL=-17,OR=-3
HB:t=781,m=S,run=1,el=-6,er=-7,yaw=2.4,yr=11.9,pc=-60,hd=0,OL=-60,OR=-60
HB:t=801,m=S,run=1,el=-32,er=-34,yaw=5.2,yr=106.0,pc=60,hd=-9,OL=51,OR=60
HB:t=932,m=S,run=1,el=-348,er=-330,yaw=7.1,yr=54.7,pc=60,hd=-2,OL=58,OR=60
HB:t=978,m=S,run=1,el=-56,er=-45,yaw=8.0,yr=39.7,pc=5,hd=-2,OL=3,OR=7
HB:t=990,m=S,run=1,el=-21,er=-17,yaw=8.6,yr=23.9,pc=60,hd=-2,OL=58,OR=60
HB:t=1013,m=S,run=1,el=-36,er=-32,yaw=9.2,yr=20.9,pc=60,hd=-2,OL=58,OR=60
