t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
118,S,1,31,15,0.0,0.0,2,0,2,2,0,0.00
126,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
146,S,1,4,2,0.0,0.0,3,0,3,3,0,0.00
166,S,1,5,1,0.0,0.0,3,0,3,3,0,0.00
202,S,1,24,8,0.0,0.0,4,0,4,4,0,0.00
373,S,1,76,28,2.5,8.2,5,0,5,5,0,0.00
373,S,1,49,21,2.5,8.2,6,-1,5,7,0,0.00
393,S,1,8,3,2.5,8.2,7,-1,6,8,0,0.00
524,S,1,82,42,5.7,13.7,8,-2,6,10,0,0.00
527,S,1,13,7,5.7,13.7,8,-3,5,11,0,0.00
547,S,1,8,5,5.7,13.7,9,-3,6,12,0,0.00
567,S,1,8,6,5.7,13.7,9,-3,6,12,0,0.00
617,S,1,41,34,6.8,16.5,11,-4,7,15,0,0.00
788,S,1,104,108,11.5,25.8,10,-5,5,15,0,0.00
788,S,1,67,84,11.5,25.8,10,-7,3,17,0,0.00
808,S,1,10,14,11.5,25.8,10,-7,3,17,0,0.00
978,S,1,128,189,10.6,14.5,8,-8,0,16,0,0.00
978,S,1,43,102,10.6,14.5,9,-6,3,15,0,0.00
998,S,1,6,18,10.6,14.5,10,-6,4,16,0,0.00
1182,S,1,96,214,4.0,-6.3,8,-7,1,15,0,0.00
1183,S,1,53,113,4.0,-6.3,8,-1,7,9,0,0.00
1203,S,1,9,16,4.0,-6.3,9,-1,8,10,0,0.00
1387,S,1,91,163,-10.3,-39.7,8,-1,7,9,0,0.00
1388,S,1,47,81,-10.3,-39.7,9,7,16,2,0,0.00
1408,S,1,9,12,-10.3,-39.7,10,7,17,3,0,0.00
1582,S,1,142,126,-18.5,-46.9,9,9,18,0,0,0.00
1583,S,1,97,43,-18.5,-46.9,9,11,20,0,0,0.00
1603,S,1,18,4,-18.5,-46.9,10,11,21,0,0,0.00
1783,S,1,232,8,-15.0,-21.9,9,14,23,0,0,0.00
1783,S,1,152,0,-15.0,-21.9,9,8,17,1,0,0.00
1803,S,1,25,2,-15.0,-21.9,9,8,17,1,0,0.00
1983,S,1,273,37,9.4,46.9,8,10,18,0,0,0.00
1984,S,1,141,5,9.4,46.9,8,-7,1,15,0,0.00
2003,S,1,21,5,9.4,46.9,9,-7,2,16,0,0.00
2139,S,1,176,115,30.3,82.8,8,-10,0,18,0,0.00
2142,S,1,1,1,30.3,82.8,10,-19,0,29,0,0.00
2162,S,1,8,17,30.3,82.8,10,-20,0,30,0,0.00
2182,S,1,7,22,30.3,82.8,10,-20,0,30,0,0.00
2258,S,1,28,197,39.3,116.8,9,-20,0,29,0,0.00
2376,S,1,8,307,39.1,75.1,7,-20,0,27,0,0.00
2385,S,1,0,9,39.1,75.1,9,-20,0,29,0,0.00
2405,S,1,0,32,39.1,75.1,9,-20,0,29,0,0.00
2425,S,1,0,33,39.1,75.1,8,-20,0,28,0,0.00
2460,S,1,0,139,36.9,33.8,8,-20,0,28,0,0.00
2630,S,1,-1,381,17.9,-41.0,6,-20,0,26,0,0.00
2630,S,1,0,229,17.9,-41.0,6,-6,0,12,0,0.00
2650,S,1,0,29,17.9,-41.0,8,-6,2,14,0,0.00
2825,S,1,12,271,-6.6,-89.7,7,-4,3,11,0,0.00
2825,S,1,29,121,-6.6,-89.7,8,7,15,1,0,0.00
