HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=122,m=S,run=1,el=33,er=34,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=126,m=S,run=1,el=1,er=0,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=146,m=S,run=1,el=5,er=4,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=166,m=S,run=1,el=5,er=4,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=206,m=S,run=1,el=25,er=21,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=338,m=S,run=1,el=73,er=65,yaw=0.4,yr=1.2,pc=4,hd=0,OL=4,OR=4
HB:t=338,m=S,run=1,el=20,er=17,yaw=0.4,yr=1.2,pc=5,hd=0,OL=5,OR=5
HB:t=358,m=S,run=1,el=8,er=7,yaw=0.4,yr=1.2,pc=5,hd=0,OL=5,OR=5
HB:t=378,m=S,run=1,el=8,er=7,yaw=0.4,yr=1.2,pc=6,hd=0,OL=6,OR=6
HB:t=452,m=S,run=1,el=55,er=47,yaw=1.5,yr=9.1,pc=7,hd=0,OL=7,OR=7
HB:t=570,m=S,run=1,el=92,er=80,yaw=2.1,yr=7.7,pc=8,hd=-1,OL=7,OR=9
HB:t=578,m=S,run=1,el=4,er=3,yaw=2.1,yr=7.7,pc=9,hd=-1,OL=8,OR=10
HB:t=598,m=S,run=1,el=9,er=8,yaw=2.1,yr=7.7,pc=10,hd=-1,OL=9,OR=11
HB:t=618,m=S,run=1,el=9,er=8,yaw=2.1,yr=7.7,pc=10,hd=-1,OL=9,OR=11
HB:t=679,m=S,run=1,el=63,er=60,yaw=2.9,yr=10.9,pc=11,hd=-1,OL=10,OR=12
HB:t=801,m=S,run=1,el=118,er=114,yaw=3.3,yr=8.2,pc=9,hd=-2,OL=7,OR=11
HB:t=805,m=S,run=1,el=3,er=3,yaw=3.3,yr=8.2,pc=10,hd=-1,OL=9,OR=11
HB:t=825,m=S,run=1,el=11,er=12,yaw=3.3,yr=8.2,pc=10,hd=-1,OL=9,OR=11
HB:t=845,m=S,run=1,el=11,er=12,yaw=3.3,yr=8.2,pc=10,hd=-1,OL=9,OR=11
HB:t=885,m=S,run=1,el=45,er=47,yaw=3.4,yr=6.0,pc=10,hd=-1,OL=9,OR=11
HB:t=1056,m=S,run=1,el=118,er=124,yaw=3.4,yr=3.9,pc=9,hd=-2,OL=7,OR=11
HB:t=1057,m=S,run=1,el=69,er=75,yaw=3.4,yr=3.9,pc=9,hd=-1,OL=8,OR=10
HB:t=1077,m=S,run=1,el=11,er=12,yaw=3.4,yr=3.9,pc=10,hd=-1,OL=9,OR=11
HB:t=1207,m=S,run=1,el=115,er=119,yaw=2.8,yr=1.0,pc=9,hd=-1,OL=8,OR=10
HB:t=1211,m=S,run=1,el=18,er=18,yaw=2.8,yr=1.0,pc=9,hd=-1,OL=8,OR=10
HB:t=1231,m=S,run=1,el=11,er=11,yaw=2.8,yr=1.0,pc=10,hd=-1,OL=9,OR=11
HB:t=1251,m=S,run=1,el=11,er=11,yaw=2.8,yr=1.0,pc=10,hd=-1,OL=9,OR=11
HB:t=1321,m=S,run=1,el=69,er=73,yaw=2.1,yr=-3.9,pc=10,hd=-1,OL=9,OR=11
HB:t=1444,m=S,run=1,el=115,er=118,yaw=2.0,yr=-3.0,pc=9,hd=0,OL=9,OR=9
HB:t=1447,m=S,run=1,el=1,er=0,yaw=2.0,yr=-3.0,pc=10,hd=-1,OL=9,OR=11
HB:t=1467,m=S,run=1,el=11,er=11,yaw=2.0,yr=-3.0,pc=10,hd=0,OL=10,OR=10
HB:t=1487,m=S,run=1,el=10,er=11,yaw=2.0,yr=-3.0,pc=10,hd=0,OL=10,OR=10
HB:t=1553,m=S,run=1,el=77,er=78,yaw=1.4,yr=-5.7,pc=10,hd=0,OL=10,OR=10
HB:t=1671,m=S,run=1,el=122,er=123,yaw=1.2,yr=-4.4,pc=9,hd=0,OL=9,OR=9
HB:t=1680,m=S,run=1,el=3,er=4,yaw=1.2,yr=-4.4,pc=10,hd=0,OL=10,OR=10
HB:t=1700,m=S,run=1,el=12,er=12,yaw=1.2,yr=-4.4,pc=10,hd=0,OL=10,OR=10
HB:t=1720,m=S,run=1,el=11,er=11,yaw=1.2,yr=-4.4,pc=10,hd=0,OL=10,OR=10
HB:t=1755,m=S,run=1,el=45,er=46,yaw=1.2,yr=-3.1,pc=10,hd=0,OL=10,OR=10
HB:t=1887,m=S,run=1,el=118,er=118,yaw=1.1,yr=-2.3,pc=9,hd=0,OL=9,OR=9
HB:t=1887,m=S,run=1,el=29,er=27,yaw=1.1,yr=-2.3,pc=9,hd=0,OL=9,OR=9
HB:t=1907,m=S,run=1,el=10,er=10,yaw=1.1,yr=-2.3,pc=10,hd=0,OL=10,OR=10
HB:t=1927,m=S,run=1,el=11,er=11,yaw=1.1,yr=-2.3,pc=10,hd=0,OL=10,OR=10
HB:t=2000,m=S,run=1,el=71,er=72,yaw=0.9,yr=-3.0,pc=10,hd=0,OL=10,OR=10
